image_path,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,072,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,074,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,071,034,053,070,054,030,046,005,000,075,031,048,066,073,004,012,027
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0000.jpg,␣,␣,␣,삼천삼백육십만원,␣,␣,␣,␣,8.5%,✘,␣,␣,␣,24,␣,␣,✘,11.5,␣,␣,␣,✘,␣,␣,✔,"33,600,000","33,600,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,(주)에스엔피커뮤니케이션,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,신예염,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0001.jpg,␣,␣,␣,사천구백육십만원,␣,␣,␣,␣,12.2,✘,␣,"49,600,000",␣,60,␣,␣,✘,15.2,␣,␣,␣,✘,␣,␣,✔,"49,600,000",␣,✘,␣,✔,✔,␣,␣,␣,␣,✘,"35,000",␣,티에이치산업개발,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,민연솔,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0002.jpg,␣,␣,␣,이천팔백사십만원,␣,␣,␣,␣,5.1,✘,␣,␣,␣,12,␣,␣,✘,8.1,␣,␣,␣,✘,␣,␣,✔,"28,400,000","28,400,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,서현기계(주),␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,허성성,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0003.jpg,␣,␣,␣,이천팔백만원,␣,␣,␣,␣,9.8,✘,␣,␣,␣,36,␣,␣,✘,12.8,␣,␣,␣,✘,␣,␣,✔,"28,000,000","28,000,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,대한예수교장로회중원햇빛교회,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,변현서,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0004.jpg,␣,␣,␣,천팔백만원,␣,␣,␣,␣,6.7,✘,␣,␣,␣,48,␣,␣,✘,9.7,␣,␣,␣,✘,␣,␣,✔,"18,000,000","18,000,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,광전운수,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,정윤호,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0005.jpg,␣,␣,␣,천삼백구십만원,␣,␣,␣,␣,14.5,✘,␣,␣,␣,24,␣,␣,✘,17.5,␣,␣,␣,✘,␣,␣,✔,"1,3900,000","13,900,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,올리브떡볶이,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,황진윤나,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0006.jpg,␣,␣,␣,삼천칠백오십만원,␣,␣,␣,␣,7.3,✘,␣,␣,␣,12,␣,␣,✘,10.3,␣,␣,␣,✘,␣,␣,✔,"37,500,000","37,500,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,파리바게트(북수점),␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,임빛윤,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0007.jpg,␣,␣,␣,천삼백사십만원,␣,␣,␣,␣,11.9,✘,␣,␣,␣,60,␣,␣,✘,14.9,␣,␣,␣,✘,␣,␣,✔,"13,400,000","13,400,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,기독교한국침례회생명의빛교회,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,모재진,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0008.jpg,␣,␣,␣,삼천팔백만원,␣,␣,␣,␣,4.8,✘,␣,␣,␣,36,␣,␣,✘,7.8,␣,␣,␣,✘,␣,␣,✔,"38,000,000","38,000,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,멕시카나미룡대명점,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,길성빛,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0009.jpg,␣,␣,␣,사천칠백만원,␣,␣,␣,␣,8.1,✘,␣,␣,␣,48,␣,␣,✘,11.1,␣,␣,␣,✘,␣,␣,✔,"47,000,000","47,000,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,(주)이포에프,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,연아현,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
