image_path,015,017,022,033,002,041,032,040,050,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0000.jpg,␣,␣,␣,✘,␣,15,✘,01,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 성동구 왕십리 123, 레미안 아파트 101동 1001호",␣,✔,2025,␣,천초아,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,천초아,CHEONCHOA,␣,1980-08-23,␣,✘,✘,∅,010-1234-5678,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0001.jpg,␣,␣,␣,✘,␣,22,✘,03,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 종로구 우정국로 456, 현대 아파트 202동 2002호",␣,✘,2025,␣,추채유,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,추채유,CHUCHAEYU,␣,1980.09.12,␣,✘,✘,∅,010-9876-5432,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0002.jpg,␣,␣,␣,✘,␣,08,✘,05,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 영등포구 여의대로 789, 아이파크 아파트 303동 3003호",␣,✔,2025,␣,임서하나,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,임서하나,IMSEOHANA,␣,1980.09.28,␣,✘,✘,∅,010-2468-1357,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0003.jpg,␣,␣,␣,✘,␣,11,✘,07,␣,✘,✔,␣,␣,␣,␣,␣,␣,"울산광역시 동구 동해안로 567, 현대 아파트 101동 1001호",␣,✘,2025,␣,허연나래,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,허연나래,HEOYEONNARAE,␣,1980-10-05,␣,✘,✘,∅,010-8642-0975,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0004.jpg,␣,␣,␣,✘,␣,03,✘,09,␣,✘,✔,␣,␣,␣,␣,␣,␣,"제주특별자치도 제주시 노형동 123, 아이파크 아파트 301동 3003호",␣,✔,2025,␣,염호태,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,염호태,YEOMHOTAE,␣,1980-10-20,␣,✘,✘,∅,010-1357-9246,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0005.jpg,␣,␣,␣,✘,␣,29,✘,11,␣,✘,✔,␣,␣,␣,␣,␣,␣,"대전광역시 유성구 대덕대로 123, 아이파크 아파트 101동 1001호",␣,✘,2025,␣,안슬,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,안슬,ANSEUR,␣,1980-11-11,␣,✘,✘,∅,010-7531-8642,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0006.jpg,␣,␣,␣,✘,␣,04,✘,02,␣,✘,✔,␣,␣,␣,␣,␣,␣,"대전광역시 유성구 엑스포로 456, 래미안 아파트 201동 2002호",␣,✔,2025,␣,장태초,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,장태초,JANGTAECHO,␣,1980-11-26,␣,✘,✘,∅,010-3692-5814,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0007.jpg,␣,␣,␣,✘,␣,18,✘,04,␣,✘,✘,␣,␣,␣,␣,␣,␣,"서울특별시 강남구 테헤란로 1011, 롯데 아파트 101동 1004호",␣,✘,2025,␣,구본예재나래도,␣,␣,␣,✔,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,구본예재나래도,GUBONYEJAENARAEDO,␣,1980-12-03,␣,✘,✘,∅,010-5814-3692,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0008.jpg,␣,␣,␣,✘,␣,25,✘,06,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 강남구 테헤란로 1112, 캐슬 아파트 201동 2005호",␣,✔,2025,␣,우하현,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,우하현,UHAHYEON,␣,1980-12-19,␣,✘,✘,∅,010-4175-3096,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0009.jpg,␣,␣,␣,✘,␣,12,✘,8,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 여의도동 3456, 팰리스 아파트 301동 3006호",␣,✘,2025,␣,마나별,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,마나별,MANABYEOR,␣,81.1.7,␣,✘,✘,∅,010-6283-9571,␣,␣,␣
