image_path,015,002,014,008,011,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0000.jpg,␣,␣,␣,2025,(주)에스엔피커뮤니케이션,4567890123,␣,␣,234567-12-5678901,␣,∅,BNK부산은행,(주)에스엔피커뮤니케이션,1,✔,15
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0001.jpg,␣,␣,␣,2025,티에이치산업개발,5678901234,␣,␣,678901-45-9012345,␣,∅,경남은행,티에이치산업개발,03,✔,22
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0002.jpg,␣,␣,␣,2025,서현기계(주),6789012345,␣,␣,0123-45-6789012,␣,∅,광주은행,서현기계(주),05,✔,08
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0003.jpg,␣,␣,␣,2025,대한예수교장로회중원햇빛교회,7890123456,␣,␣,4567-89-0123456,␣,∅,전북은행,대한예수교장로회중원햇빛교회,07,✔,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0004.jpg,␣,␣,␣,2025,광전운수,8901234567,␣,␣,7890-23-3456789,␣,∅,제주은행,광전운수,09,✔,03
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0005.jpg,␣,␣,␣,2025,올리브떡볶이,9012345678,␣,␣,111111-11-2222222,␣,∅,K뱅크,올리브떡볶이,11,✔,29
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0006.jpg,␣,␣,␣,2025,파리바게트 ( 북수점 ),123456789,␣,␣,222222-22-3333333,␣,∅,OK저축은행,파리바게트 ( 북수점 ),02,✔,04
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0007.jpg,␣,␣,␣,2025,기독교한국침례회생명의빛교회,1122334455,␣,␣,333333-33-4444444,␣,∅,웰컴저축은행,기독교한국침례회생명의빛교회,04,✔,18
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0008.jpg,␣,␣,␣,2025,멕시카나미룡대명점,2233445566,␣,␣,444444-44-5555555,␣,∅,미래저축은행,멕시카나미룡대명점,06,✔,25
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0009.jpg,␣,␣,␣,2025,(주)이포에프,3344556677,␣,␣,555555-55-6666666,␣,∅,OK저축은행,(주)이포에프,08,✔,12
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0010.jpg,␣,␣,␣,2025,공장개발종합건설,4455667788,␣,␣,666666-66-7777777,␣,∅,신한저축은행,공장개발종합건설,10,✔,07
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0011.jpg,␣,␣,␣,2025,(주)한일통운,5566778899,␣,␣,777777-77-8888888,␣,∅,하나저축은행,(주)한일통운,12,✔,31
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0012.jpg,␣,␣,␣,2025,주식회사 남경전기,6677889900,␣,␣,888888-88-9999999,␣,∅,우리저축은행,주식회사 남경전기,01,✔,09
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0013.jpg,␣,␣,␣,2025,석재용달화물,7788990011,␣,␣,999999-99-0000000,␣,∅,KB저축은행,석재용달화물,03,✔,16
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0014.jpg,␣,␣,␣,2025,대한예수교장로회예심교회,8899001122,␣,␣,1000-10-1111111,␣,∅,NH저축은행,대한예수교장로회예심교회,05,✔,23
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0015.jpg,␣,␣,␣,2025,어상식품영농조합법인,1212121212,␣,␣,1234-78-9012345,␣,∅,제주은행,어상식품영농조합법인,07,✔,05
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0016.jpg,␣,␣,␣,2025,화원산업개발(주),2323232323,␣,␣,5678-90-1234567,␣,∅,카카오뱅크,화원산업개발(주),09,✔,19
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0017.jpg,␣,␣,␣,2025,사단법인사회적기업청람,3434343434,␣,␣,9012-12-3456789,␣,∅,제주은행,사단법인사회적기업청람,11,✔,14
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0018.jpg,␣,␣,␣,2025,대륙엔지니어링,4545454545,␣,␣,3456-34-5678901,␣,∅,SC제일은행,대륙엔지니어링,02,✔,28
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0019.jpg,␣,␣,␣,2025,부전수산,5656565656,␣,␣,7890-56-9012345,␣,∅,씨티은행,부전수산,04,✔,01
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0020.jpg,␣,␣,␣,2025,연천상운,6767676767,␣,␣,123456-78-2345678,␣,∅,우체국은행,연천상운,06,✔,17
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0021.jpg,␣,␣,␣,2025,대구컴퓨터학원,7878787878,␣,␣,567890-90-3456789,␣,∅,수협은행,대구컴퓨터학원,08,✔,24
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0022.jpg,␣,␣,␣,2025,(주)수호전자,8989898989,␣,␣,901234-12-4567890,␣,∅,신협,(주)수호전자,10,✔,10
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0023.jpg,␣,␣,␣,2025,(주)아주산업,9090909090,␣,␣,234567-34-6789012,␣,∅,새마을금고,(주)아주산업,12,✔,08
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0024.jpg,␣,␣,␣,2025,(주)세미레외장,101010101,␣,␣,678901-56-8901234,␣,∅,DGB대구은행,(주)세미레외장,01,✔,21
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0025.jpg,␣,␣,␣,2025,태백약초영농조합,1234500000,␣,␣,012345-78-9012345,␣,∅,BNK부산은행,태백약초영농조합,03,✔,30
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0026.jpg,␣,␣,␣,2025,(주)미래ENG,2345611111,␣,␣,456789-90-1234567,␣,∅,제주은행,(주)미래ENG,05,✔,13
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0027.jpg,␣,␣,␣,2025,(주)대상,3456722222,␣,␣,789012-12-2345678,␣,∅,광주은행,(주)대상,07,✔,27
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0028.jpg,␣,␣,␣,2025,(주)뉴컴퍼니,4567833333,␣,␣,1234567-34-3456789,␣,∅,전북은행,(주)뉴컴퍼니,09,✔,06
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/A0029.jpg,␣,␣,␣,2025,(주)광명도장산업,5678944444,␣,␣,5678901-56-4567890,␣,∅,토스뱅크,(주)광명도장산업,11,✔,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/C0000.jpg,LD7Z09R,수협은행,1258011896,2016,팽이림,089-98-62832,함학주,2405-87-583198,␣,␣,∅,␣,오뚜기 참깨라면,␣,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0000.jpg,HMLD099,미즈호은행,␣,␣,문들희,␣,구정기,333-176329-98398,␣,1955년 9월 5일,∅,모건스탠리,␣,11,✔,8
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0001.jpg,H9MBE9Z,NH농협은행,1946012125,2039,성조희,263-31-09494,천리아나,198-78763689-44,857-731738-05422,␣,∅,␣,SWC,11,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0002.jpg,␣,␣,1817919504,2000,노보광,␣,␣,222732-44-042810,2458-58-650145,␣,∅,␣,␣,8,✘,2
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0003.jpg,HXARK9F,카카오뱅크,9038545972,2026,김관성,␣,임상제,072-503705-464,382-538524-14143,1953-12-08,∅,중국은행,모드 크리에이션 뮌헨,2,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0004.jpg,HBFY0UI,␣,9269030860,2002,탁아비하,573-86-79398,진수오,275-084907-26347,2453-83-181228,␣,∅,␣,한온시스템,4,✘,29
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0005.jpg,HBWILN1,모건스탠리,9539001177,2002,최규서,414-93-84003,␣,␣,␣,1947.1.23,∅,국민은행,한국페인트잉크공업협동조합,1,✘,2
