image_path,015,017,002,008,016,013,006,018,009,011,005,000,003,007,001,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0000.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0001.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0002.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0003.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0004.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0005.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0006.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0007.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0008.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0009.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0010.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0011.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0012.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0013.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0014.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0015.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0016.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0017.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0018.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0019.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0020.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0021.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0022.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0023.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0024.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0025.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0026.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0027.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/A0028.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,␣,✔,✔,✘,✘,✔,✘,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/D0000.jpg,✘,␣,✘,✘,SP00NAB026,✘,✘,PRYKH8Y,✘,✘,✔,✘,✘,✘,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/D0001.jpg,✘,␣,✘,✘,SP00NAB026,✔,✘,␣,✘,✘,✔,✘,✘,✘,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/079/E0000.jpg,✘,9258153736,✔,✘,SP00NAB026,✘,✘,Z7D3WHU,✘,✘,✘,✔,✘,✔,✔,✘,✘,✘,✔
