image_path,021,010,015,017,022,002,014,020,029,028,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,027,024,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0000.jpg,✔,✘,(주)에스앤피커뮤니케이션,2025,␣,✘,15,천초아,␣,␣,15,✘,✘,✔,✘,✘,1,✔,✘,✔,✔,✘,␣,␣,1,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0001.jpg,✔,✘,티에이치산업개발,2025,␣,✘,22,추채유,␣,␣,22,✘,✘,✔,✘,✘,3,✔,✘,✔,✔,✘,␣,␣,3,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0002.jpg,✔,✘,서현기계(주),2025,␣,✘,8,임서하나,␣,␣,8,✘,✘,✔,✘,✘,5,✔,✘,✔,✔,✘,␣,␣,5,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0003.jpg,✔,✘,대한예수교장로회중원햇빛교회,2025,␣,✘,11,허연나래,␣,␣,11,✘,✘,✔,✘,✘,7,✔,✘,✔,✔,✘,␣,␣,7,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0004.jpg,✔,✘,광전운수,2025,␣,✘,3,염호태,␣,␣,3,✘,✘,✔,✘,✘,9,✔,✘,✔,✔,✘,␣,␣,9,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0005.jpg,✔,✘,올리브떡볶이,2025,␣,✘,29,안슬,␣,␣,29,✘,✘,✔,✘,✘,11,✔,✘,✔,✔,✘,␣,␣,11,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0006.jpg,✔,✘,파리바게트 ( 북수점 ),2025,␣,✘,4,장태초,␣,␣,4,✘,✘,✔,✘,✘,2,✔,✘,✔,✔,✘,␣,␣,2,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0007.jpg,✔,✘,기독교한국침례회생명의빛교회,2025,␣,✘,18,구본예재나래도,␣,␣,18,✘,✘,✔,✘,✘,4,✔,✘,✔,✔,✘,␣,␣,4,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0008.jpg,✔,✘,멕시카나미룡대명점,2025,␣,✘,25,우하현,␣,␣,25,✘,✘,✔,✘,✘,6,✔,✘,✔,✔,✘,␣,␣,6,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0009.jpg,✔,✘,(주)이포에프,2025,␣,✘,12,마나별,␣,␣,12,✘,✘,✔,✘,✘,8,✔,✘,✔,✔,✘,␣,␣,8,✘,✔,SP00NAB026,␣,2025
