image_path,015,017,022,033,002,041,032,040,050,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0000.jpg,1921.5.29,GANG SUNGEUM,삼화상운,✘,대한민국,28,✘,9,UO63ZCX,✘,␣,SM벡셀,미얀마,032-3648-4847,경기도 화성시 우정읍 화산리 400-1,␣,␣,␣,✘,2011,010-4678-8521,전대상,이름을,041-5951-0647,␣,✘,류단우,✘,9409945166,✔,✘,전북특별자치도 군산시 송산2길 8-1 (송풍동),21,9420000,예다우리,20,␣,편천수,SEONG LIJEU,033-318-6086,␣,8,✔,✔,∅,010-7690-8333,전북특별자치도 정읍시 상동 384-2,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0001.jpg,1938.10.2,␣,환경운동연합,✘,세르비아,27,✘,␣,U3DXID6,✘,손자,우리금융그룹,독일,032-7945-4796,강원특별자치도 원주시 소초면 평장골말길 15 (평장리),043-6784-5065,"충청북도 청주시 흥덕구 복대로219번길 46 (복대동, 웅진빌라)",␣,✘,2026,010-1080-8125,우연유,␣,043-5706-2723,CEO,✘,␣,✘,9222886302,✘,✔,경상북도 안동시 도산면 태자로 304-49 (태자리),␣,29460000,␣,10,딸,␣,TAG YEDEOG,064-6669-5185,2031.5.12,␣,✔,✔,∅,010-3549-7031,경상북도 구미시 장천면 여남리 102,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0002.jpg,1911.03.19,␣,SH에너지화학,✘,␣,9,✘,7,U9KLXPR,✔,조모,␣,␣,031-5540-8869,␣,031-3647-9713,세종특별자치시 전동면 수구동길 68-2 (미곡리),␣,✘,2027,␣,당유일,␣,032-3421-9621,␣,✔,␣,✘,1607351319,✔,✔,␣,26,"82,940,000",␣,␣,␣,국상철,DU YEONGCHE,062-1169-2001,2030년 10월 25일,26,✘,✘,∅,010-2105-8237,␣,구은하,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0003.jpg,1999.8.8,EUN A-ILIN-ALIN,␣,✘,␣,17,✘,␣,UETD9WH,✔,손자,오리온홀딩스,캄보디아,062-5727-2482,경기도 양평군 양평읍 충신로294번3길 10 (회현리),055-4754-1830,␣,지니고,✔,2018,010-4997-1495,␣,고을,051-1388-3245,␣,✔,팽희건,✘,9555940872,✔,✔,전북특별자치도 정읍시 소성면 작천1길 13 (중광리),␣,␣,␣,␣,딸,신세의,␣,032-8281-5435,1967.4.13,␣,✘,✘,∅,010-5414-8274,"서울특별시 은평구 통일로 749-3 (대조동, 서교아르체빌)",오승하,사원
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0004.jpg,1936-10-07,WON CHI-UN,위버스컴퍼니,✘,요르단,␣,✘,␣,U1TYG76,✔,친척,지니뮤직,북마케도니아,␣,␣,063-7979-6754,충청북도 단양군 매포읍 응실2길 27 (응실리),것으로,✔,2024,␣,이이바,말.,053-2209-2460,␣,✘,␣,✘,9716996764,✘,✘,전북특별자치도 남원시 노암동 597-18,␣,"8,510,000",␣,3,손자녀,범후아,BANG SEUNGHAG,␣,2033년 3월 22일,␣,✘,✘,∅,␣,경기도 안성시 양성면 동항리 169-1,␣,CFO
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0005.jpg,␣,BANG INHA,한국광물자원공사,✘,␣,20,✘,3,U5G9EZC,✔,본인,고려대학교,니카라과,032-8781-7306,울산광역시 중구 반구동 56-18,␣,경상북도 포항시 북구 용흥동 330-8,목재를,✔,␣,010-0999-1570,장기천,거부,055-8636-1830,전임,✘,단형국,✘,1465027953,✘,✔,경상북도 포항시 남구 장기면 영암길2번길 87 (영암리),7,65870000,␣,16,␣,허원겸,␣,␣,2036/4/9,␣,✘,✔,∅,010-1220-2610,전북특별자치도 임실군 오수면 군평리 79-1,금제윤,실무자
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0006.jpg,1969.03.18,JIN YUSEUNG,금호미쓰이화학,✘,에콰도르,10,✘,␣,UZTCE11,✔,본인,␣,몽골,␣,"경기도 의정부시 가능로152번길 9-12 (의정부동, 현대하이빌)",042-1261-6905,경상남도 김해시 생림면 봉림로 85 (봉림리),␣,✘,␣,010-2758-8556,임치민,내부에,063-8664-1451,사장,✘,구성림,✘,9278188200,✔,✘,경상남도 밀양시 단장면 감물1안길 73 (감물리),16,8480000,차멜로디,18,형제,좌태연,SA GONGSEO-WAN,␣,␣,25,✘,✘,∅,010-3977-6229,␣,␣,CTO
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0007.jpg,␣,MAENG TANHUI,체코관광청,✘,인도,10,✘,1,UGEIMZ0,✔,조부,␣,␣,032-3903-1275,␣,␣,␣,멥쌀로,✘,2016,␣,당두인,인도지나어족,051-4925-1931,CIO,✔,동문교,✘,1098571546,✘,✘,경상북도 청송군 현동면 거성리 574-12,␣,"64,750,000",␣,␣,␣,␣,␣,043-8752-5913,␣,␣,✘,✔,∅,010-6526-0129,부산광역시 금정구 금정로19번길 15-7 (장전동),연마의,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0008.jpg,2020/10/1,SIN MYEONG-YUN,자유교육연합,✘,그리스,␣,✘,␣,UJC761X,✘,부모,덕산네오룩스,온두라스,051-4389-4432,␣,02-888-0381,충청북도 충주시 충열4길 26 (단월동),움직이지,✘,␣,010-7432-8705,현효,파이프,␣,␣,✔,부비성,✘,9157531770,✘,✘,전라남도 영광군 군서면 백수로 1428-45 (만곡리),23,␣,하은안,13,손녀,양하루키,GUG HYEONMYEONG,063-3177-2026,2049년 12월 23일,26,✘,✔,∅,␣,충청북도 옥천군 군북면 석호1길 104 (석호리),승정근,CFO
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0009.jpg,1929.06.10,␣,웅진그룹,✔,방글라데시,␣,✘,1,U6FBBO8,✘,부,에일리언컴퍼니,볼리비아,␣,경기도 이천시 구만리로 116 (진리동),031-8763-8880,␣,201869,✘,2024,␣,␣,␣,033-4946-4547,부문장,✔,제승교,✘,1625577175,✘,✘,␣,2,"86,730,000",주한규,␣,손녀,경현복,JI UGYUN,063-1658-0900,1934-02-21,6,✘,✘,∅,010-8727-1938,강원특별자치도 속초시 설악산로 104-7 (도문동),홍모정,␣
