image_path,015,017,002,014,008,011,016,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0000.jpg,∅,␣,␣,✔,60,3,␣,GV80,강민준,차도진,"27,500,000",010.3456.1567,차도진,88104100,HD034188,5.5,10,25
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0001.jpg,∅,␣,␣,✔,36,2,␣,더 뉴 아반떼 CN7(가솔린),김서연,고은별,19800000,010-7890-1678,고은별,20350000,HD018698,6.2,22,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0002.jpg,∅,␣,␣,✔,60,1,␣,포터 Ⅱ (LPG) 특장,박지훈,류시현,"24,500,000",010-1234-1789,류시현,"32,551,604",HD034132,4.8,15,25
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0003.jpg,∅,␣,␣,✔,36,3,␣,포터Ⅱ(EV),최수아,배주은,"21,300,000",010.5678.1890,배주은,"41,390,000",HD020511,7,5,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0004.jpg,∅,␣,␣,✔,36,2,␣,포터Ⅱ(EV),윤지우,석현우,"21,300,000",010.9012.1901,석현우,"41,390,000",HD020511,5,18,25
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0005.jpg,∅,␣,␣,✔,36,1,␣,디올뉴 펠리세이드 7인승 (가솔린),송지훈,옥수연,"57,100,000",010.3456.2012,옥수연,"58,840,000",HD003948,6.8,28,25
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0006.jpg,∅,␣,␣,✔,60,03,␣,디올 뉴 싼타페 (HEV),권민서,황지훈,"44,500,000",010.7890.2123,황지훈,"54,410,000",HD031376,6.5,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0007.jpg,∅,␣,␣,✔,60,2,␣,포터Ⅱ(LPG),임준서,나해솔,"11,000,000",010.1234.2234,나해솔,"25,860,000",HD030903,7.2,8,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0008.jpg,∅,␣,␣,✔,60,1,␣,디올 뉴 싼타페,한서준,정재현,"29,500,000",010.5678.2345,정재현,"41,090,000",HD029497,7.8,20,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0009.jpg,∅,␣,␣,✔,60,3,␣,포터Ⅱ(LPG),서지연,이수진,"20,000,000",010.9012.2456,이수진,␣,HD022864,4.5,1,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0010.jpg,∅,␣,␣,✔,60,2,␣,쏘나타 디 엣지 HEV,고현우,최민재,"38,300,000",010-3456-2567,최민재,"40,379,000",HD024675,5.8,10,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0011.jpg,∅,␣,␣,✔,48,1,␣,THE 니로 HEV,문수현,김도연,"25,000,000",010.7890.2678,김도연,"30,380,000",KD026392,6,8,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0012.jpg,∅,␣,␣,✔,36,3,␣,The new 스포티지(가솔린),이민준,박서준,"10,000,000",010-1234-2789,박서준,"37,332,400",KD025916,7.5,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0013.jpg,∅,␣,␣,✔,60,2,␣,디 올 뉴 그랜저 HEV,김지우,손예지,"42,100,000",010-5678-2890,손예지,"44,290,000",HD034370,5.2,25,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0014.jpg,∅,␣,␣,✔,60,1,␣,포터Ⅱ(EV),박서준,강태현,"23,300,000",010-9012-2901,강태현,"41,850,000",HD03158,8.2,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0015.jpg,∅,␣,␣,✔,60,3,␣,디올뉴 팰리세이드 7인승 (가솔린),최수현,유수아,"16,000,000",␣,유수아,"58,186,930",HD035463,6.3,22,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0016.jpg,∅,␣,␣,✔,36,2,␣,레이,정민지,조현우,"11,700,000",␣,조현우,"19,380,000",KD020663,5.6,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0017.jpg,∅,␣,␣,✔,48,1,␣,봉고 (LPG),윤지훈,윤지혜,"18,800,000",␣,윤지혜,"20,980,000",KD001749,7.1,18,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0018.jpg,∅,␣,␣,✔,36,3,␣,G80,송민서,장민준,"59,000,000",␣,장민준,"67,000,000",HD033884,6.7,3,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0019.jpg,∅,␣,␣,✔,60,02,␣,EV3,배예나,송수연,"32,500,000",␣,송수연,"58,813,000",KD004297,4.3,20,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0020.jpg,∅,␣,␣,✔,60,01,␣,GV70,권준서,김예진,"36,900,000",␣,김예진,"49,805,000",H2803888,8,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0021.jpg,∅,␣,␣,✔,36,03,␣,K8,조서준,이우진,"20,000,000",␣,이우진,"55,515,943",K2357973,7.5,10,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0022.jpg,∅,␣,␣,✔,60,2,␣,기아 비스토 VAN,김도현,박하늘,"19,500,000",␣,박하늘,"28,110,000",KD004778,6.5,22,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0023.jpg,∅,␣,␣,✔,48,1,␣,카니발 4세대 (가솔린) 7인승,최지혜,최선우,"20,000,000",␣,최선우,"45,350,000",KD001387,4.7,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/180/A0024.jpg,∅,␣,␣,✔,48,03,␣,K5,정지훈,정수아,"21,000,000",␣,정수아,"41,310,000",KD026698,8.5,05,2025
