image_path,015,017,022,033,002,041,032,040,036,019,008,016,013,027,006,023,038,039,018,042,009,021,037,035,034,030,020,029,028,011,005,000,003,007,001,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0000.jpg,✘,✔,✘,✘,22,␣,✘,∅,01,✘,✔,✘,✘,✘,✘,✔,황정준민,✔,✔,␣,✘,✘,12,2025,✔,✘,✘,✘,✘,✔,✔,1986,✔,␣,03,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0001.jpg,✔,✔,✘,✘,9,␣,✘,∅,3,✔,✘,✘,✘,✘,✘,✘,허라태,✔,✘,␣,✔,✘,27,2025,✔,✘,✘,✘,✔,✘,✔,1986,✘,␣,4,✘,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0002.jpg,✘,✔,✘,✘,25,␣,✘,∅,5,✘,✘,✘,✔,✘,✘,✘,현솔아,✔,✘,␣,✘,✘,5,2025,✔,✘,✔,✔,✘,✘,✔,1986,✔,␣,4,✘,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0003.jpg,✔,✔,✘,✘,15,␣,✘,∅,7,✘,✔,✘,✘,✔,✘,✘,조별아,✔,✘,␣,✘,✔,18,2025,✔,✘,✘,✘,✘,✔,✔,1986,✘,␣,5,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0004.jpg,✘,✔,✔,✘,1,␣,✘,∅,9,✘,✘,✘,✘,✘,✘,✘,곽하은,✔,✘,␣,✔,✘,11,2025,✔,✘,✘,✘,✔,✘,✔,1986,✔,␣,6,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0005.jpg,✔,✔,✘,✘,17,␣,✘,∅,11,✘,✘,✘,✔,✘,✘,✔,채도예,✔,✘,␣,✘,✘,24,2025,✔,✘,✘,✘,✔,✘,✔,1986,✘,␣,6,✘,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0006.jpg,✘,✔,✘,✘,2,␣,✘,∅,2,✘,✔,✘,✘,✔,✘,✘,전영도,✔,✔,␣,✘,✘,8,2025,✔,✘,✘,✘,✘,✔,✔,1986,✔,␣,7,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0007.jpg,✔,✔,✘,✘,18,␣,✘,∅,4,✔,✘,✘,✘,✔,✘,✘,손별재태,✔,✘,␣,✔,✘,15,2025,✔,✘,✘,✘,✘,✘,✔,1986,✘,␣,7,✘,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0008.jpg,✘,✔,✘,✘,4,␣,✘,∅,6,✘,✘,✘,✔,✘,✘,✘,반시초,✔,✘,␣,✘,✘,22,2025,✔,✘,✔,✘,✔,✘,✔,1986,✔,␣,8,✘,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0009.jpg,✔,✔,✘,✘,20,␣,✘,∅,08,✘,✔,✘,✘,✔,✘,✘,송준라,✔,✘,␣,✘,✔,03,2025,✔,✘,✘,✘,✘,✔,✔,1986,✘,␣,08,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0010.jpg,✘,✔,✔,✘,08,␣,✘,∅,10,✘,✘,✘,✘,✔,✘,✘,심시서,✔,✘,␣,✔,✘,17,2025,✔,✘,✘,✘,✘,✘,✔,1986,✔,␣,09,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0011.jpg,✔,✔,✘,✘,24,␣,✘,∅,12,✘,✘,✘,✔,✘,✘,✔,최채재,✔,✘,␣,✘,✘,30,2025,✔,✘,✘,✘,✔,✘,✔,1986,✘,␣,09,✘,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0012.jpg,✘,✔,✘,✘,10,␣,✘,∅,01,✘,✔,✘,✘,✔,✘,✘,전솔빛,✔,✔,␣,✘,✘,06,2025,✔,✘,✘,✘,✘,✔,✔,1986,✔,␣,10,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0013.jpg,✔,✔,✘,✘,26,␣,✘,∅,03,✔,✘,✘,✘,✔,✘,✘,엄재민,✔,✘,␣,✔,✘,19,2025,✔,✘,✘,✘,✘,✘,✔,1986,✘,␣,10,✘,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0014.jpg,✘,✔,✘,✘,13,␣,✘,∅,05,✘,✘,✘,✔,✘,✘,✘,장곡채빛,✔,✘,␣,✘,✘,29,2025,✔,✘,✔,✘,✔,✘,✔,1986,✔,␣,11,✘,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0015.jpg,✔,✔,✘,✘,01,␣,✘,∅,07,✘,✔,✘,✘,✔,✘,✘,마나별,✔,✘,␣,✘,✔,09,2025,✔,✘,✘,✘,✘,✔,✔,1986,✘,␣,12,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0016.jpg,✘,✔,✔,✘,17,␣,✘,∅,09,✘,✘,✘,✘,✔,✘,✘,민태재,✔,✘,␣,✔,✘,22,2025,✔,✘,✘,✘,✘,✘,✔,1986,✔,␣,12,✘,✘,✔,✔,✘
