image_path,010,015,017,022,014,020,019,008,011,016,005,013,025,026,007,006,023,018,004,009,021,024,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0000.jpg,5,␣,␣,성용훈,␣,10,2017,✔,28,3,3,✘,9506388443,L19V0SA,␣,17,✔,✘,2030,2017,21,SP00NAB026,가시헌
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0001.jpg,3,3,선우율채,김창오,2018,2,2020,✔,5,21,␣,✔,1081383836,LKT4Q07,␣,2,✔,✘,␣,2029,20,SP00NAB026,서문찬하
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0002.jpg,␣,9,채혁성,우윤걸,2025,3,2020,✘,22,11,4,✘,9913057138,LYXT0MQ,소환욱,12,✔,✔,2021,2020,␣,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0003.jpg,␣,␣,␣,양우대,2027,1,2024,✔,6,19,␣,✘,1880986925,LZAJ3O7,사공지나,3,✔,✘,␣,2015,3,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0004.jpg,2,␣,␣,사장희,2017,3,2020,✔,13,␣,10,✘,1019959883,LMUT1AI,감세나,␣,✔,✔,2018,2026,␣,SP00NAB026,도다준
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0005.jpg,6,␣,␣,류서후,2029,3,2028,✔,10,9,7,✔,1781089090,LTSG9W7,문형준,3,✔,✘,2015,␣,11,SP00NAB026,편찬혁
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0006.jpg,9,7,윤휘건,방찬종,2025,7,2015,✘,3,13,5,✘,9636065395,LED8OBH,␣,20,✔,✘,2029,2029,18,SP00NAB026,황보두찬
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0007.jpg,12,9,␣,목루휘,␣,␣,2010,✔,24,22,11,✔,9262040080,LPVEB03,진종언,14,✔,✔,2030,2026,31,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0008.jpg,1,4,장명헌,금현권,␣,12,2017,✘,␣,17,␣,✘,9312337680,LIR3LBV,␣,␣,✘,✘,2029,2028,␣,SP00NAB026,나소현
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0009.jpg,3,6,예권민,곽찬슬,␣,6,␣,✔,21,20,␣,✘,9629915874,LX96FYC,문강지,25,✔,✘,␣,2030,16,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0010.jpg,␣,11,␣,어원경,2018,12,␣,✘,␣,15,4,✘,1602248440,LBO3K0D,␣,␣,✘,✔,␣,␣,22,SP00NAB026,김풍
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0011.jpg,11,6,백훈,황보미음,2020,5,2020,✘,␣,5,12,✔,9532766452,LCF49HS,윤미재,10,✔,✘,2027,2024,6,SP00NAB026,선가여
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0012.jpg,7,6,␣,온택우,2018,␣,2010,✔,13,24,12,✘,1718075633,L0VS46R,마효경,19,✔,✘,2028,2019,14,SP00NAB026,위온새미
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0013.jpg,2,␣,␣,단기한,2016,3,2012,✘,1,8,8,✘,1018116971,LOPH4ML,우예임,30,✔,✔,2026,2027,4,SP00NAB026,정호원
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0014.jpg,11,6,황보정향,사공차혜,2014,8,␣,✘,13,␣,6,✔,1850144637,L0WOWYY,␣,5,✘,✔,2026,␣,9,SP00NAB026,모다리나
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0015.jpg,␣,␣,␣,␣,2013,␣,␣,✘,20,6,4,✘,9378745880,L1QO3VR,␣,9,✘,✘,2020,2018,18,SP00NAB026,동귀혜
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0016.jpg,␣,␣,␣,고동우,␣,12,2016,✔,␣,20,5,✘,1803422933,LH47ISE,위훈민,13,✘,✘,2025,2027,15,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0017.jpg,4,␣,조학림,유매리,2028,␣,2019,✔,18,␣,4,✔,9347815989,LXG3BYV,안시완,8,✘,✔,2024,2023,14,SP00NAB026,선우보강
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0018.jpg,3,7,␣,송미곤,2011,3,2025,✔,3,␣,␣,✔,1241510638,LZ4QDN1,현유끼,14,✔,✘,2020,2026,15,SP00NAB026,당율준
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/C0019.jpg,␣,11,원성록,␣,2024,3,2014,✘,16,26,10,✔,9545385821,LQJNVIL,표지택,␣,✔,✔,2013,2030,28,SP00NAB026,오광재
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0000.jpg,␣,3,안산우,진룻,2031,12,2028,✔,␣,28,␣,✘,1359475662,␣,␣,␣,✘,✔,2030,2025,␣,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0001.jpg,8,␣,␣,원예현,2026,␣,2004,✔,␣,␣,␣,✔,9269629245,SMMKYWW,동해든,22,✔,✘,␣,2000,17,SP00NAB026,고창래
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0002.jpg,1,␣,우관훈,갈향순,␣,␣,2008,✔,29,␣,7,✘,1673114191,SULNIF6,제갈지,7,✔,✘,␣,␣,4,SP00NAB026,빈세황
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0003.jpg,7,2,가빛하늘,호리은,2019,10,␣,✘,17,9,10,✔,1816929039,STR8G3A,어찬정,␣,✘,✘,␣,2040,7,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0004.jpg,8,2,백름나,동준행,2016,12,2027,✘,␣,␣,7,✘,9020448194,SRWQQV9,␣,11,✘,✔,2002,2005,14,SP00NAB026,부예교
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0005.jpg,␣,10,추코우키,마준겸,2034,1,2021,✘,6,20,9,✘,␣,STWU5WT,허은빛,20,✘,✘,2006,2034,21,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0006.jpg,7,3,안산우,진룻,2031,12,2028,✔,␣,28,␣,✘,9561281275,SF7MMCA,␣,␣,✘,✔,2030,2025,␣,SP00NAB026,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0007.jpg,1,2,동청채,성자슈아,2032,␣,2024,✔,14,31,11,✘,␣,SJTI9OG,은승대,5,✘,✘,2012,␣,␣,SP00NAB026,승융
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0008.jpg,6,4,태부경,우아름별,2008,12,␣,✘,8,␣,␣,✔,1968828473,S1BCB2P,␣,27,✘,✔,␣,␣,␣,SP00NAB026,길교성
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0009.jpg,3,␣,승스라,␣,2014,3,2032,✔,␣,3,12,✘,1508412737,␣,서문재모,␣,✘,✔,␣,2024,15,SP00NAB026,추재봉
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/D0010.jpg,4,12,간정인,민정언,2029,9,2000,✔,␣,19,6,✔,1222885721,SRDC5QN,␣,␣,✘,✘,␣,␣,␣,SP00NAB026,지연경
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/E0000.jpg,␣,7,민재훤,백덕순,2011,7,␣,✘,␣,␣,3,✔,1114936114,ZAJ7EGC,하가양,28,✘,✔,2000,2019,18,SP00NAB026,채해금
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/E0001.jpg,␣,␣,송경담,추빛나래,2013,␣,2014,✘,15,␣,5,✔,9542884389,Z5W8LXR,설택림,␣,✘,✔,2030,␣,25,SP00NAB026,맹초희
/mnt/AI_NAS/Data/현대캐피탈/data/images/230/E0002.jpg,␣,10,손레오나,␣,2035,8,␣,✘,4,␣,5,✔,9691337534,ZB26ERC,라의윤,␣,✘,✘,2016,2001,␣,SP00NAB026,곽용석
