image_path,015,017,022,088,082,002,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0000.jpg,✘,✘,과장,␣,␣,10-40-1234-41,✘,✘,✘,✔,✘,✘,␣,✔,✔,✘,02-3150-1850,✘,✘,␣,위나호,✘,␣,현대커피탈,✘,␣,✘,␣,✘,␣,␣,✘,1994.02.25,␣,✔,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,"서울 세종대로 14, 14F",✘,✘,✘,프로세스혁신,✘,✘,✘,✔,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,대구시장,␣,✔,✔,✘,␣,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0001.jpg,✘,✘,␣,천영시,대표,11-41-5678-42,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,␣,✘,✘,천영시,천영시,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✔,2019.01.07,␣,✔,✘,✘,✘,✘,✘,␣,✔,✘,✔,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✔,␣,✘,Cheon Young Si,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,1984-11-09,␣,✔,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,인천시장,␣,✘,✔,✘,␣,␣,␣,✘,천영시
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0002.jpg,✘,✘,␣,␣,␣,1242901243,✘,✘,✘,✔,✔,✘,␣,✘,✘,✘,␣,✘,✘,␣,제갈초시,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✘,1994.02.25,␣,✔,✘,✘,✘,✘,✔,␣,✘,✘,✔,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,대전시장,␣,✘,✔,✘,␣,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0003.jpg,✘,✘,␣,␣,␣,13-43-3456-44,✘,✘,✘,✔,✘,✘,␣,✘,✘,✔,␣,✘,✘,␣,길태은은,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✘,2011.8.26,␣,✔,✘,✘,✘,✘,✘,␣,✘,✔,✔,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,세종시장,␣,✘,✔,✘,␣,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0004.jpg,✘,✘,␣,␣,␣,14-44-7890-45,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,␣,✘,✘,␣,이서현,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✘,1995.11.10,␣,✔,✘,✘,✘,✔,✘,␣,✘,✘,✔,✘,✘,AKLA54,✔,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,광주시장,␣,✘,✔,✘,␣,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0005.jpg,✘,✘,주무관,␣,␣,00-45-1234-46,✔,✘,✘,✔,✘,✘,␣,✔,✘,✘,052-229-7000,✘,✘,␣,양민,✘,␣,울산광역시청,✘,␣,✘,␣,✘,␣,␣,✘,2010.12.29,␣,✔,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,울산 남구 삼산로 260,✘,✘,✘,기획예산과,✘,✘,✘,✔,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,울산시장,␣,✔,✔,✘,␣,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0006.jpg,✘,✘,␣,선우아진,사장,01-46-5678-47,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,␣,✘,✘,선우아진,선우아진,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✔,1997.07.24,␣,✔,✘,✘,✘,✘,✘,␣,✔,✘,✔,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✔,␣,✘,Seon Woo A Jin,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,1984-12-07,␣,✔,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,인천시장,␣,✘,✔,✘,␣,␣,␣,✘,선우아진
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0007.jpg,✘,✘,␣,␣,␣,02-47-9012-48,✘,✘,✘,✔,✔,✘,␣,✘,✘,✘,␣,✘,✘,␣,마영슬,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✘,2023.12.15,␣,✔,✘,✘,✘,✘,✔,␣,✘,✘,✔,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,대전시장,␣,✘,✔,✘,␣,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0008.jpg,✘,✘,␣,␣,␣,03-48-3456-49,✘,✘,✘,✔,✘,✘,␣,✘,✘,✔,␣,✘,✘,␣,이진현,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✘,2011.05.24,␣,✔,✘,✘,✘,✘,✘,␣,✘,✔,✔,✘,✘,AKLA54,✘,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,서울시장,␣,✘,✔,✘,␣,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/255/A0009.jpg,✘,✘,␣,␣,␣,04-49-7890-50,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,␣,✘,✘,␣,하수은재,✘,␣,␣,✘,␣,✘,␣,✘,␣,␣,✘,1990.09.05,␣,✔,✘,✘,✘,✔,✘,␣,✘,✘,✔,✘,✘,AKLA54,✔,✘,␣,␣,␣,␣,✘,✘,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,✘,✘,✘,␣,␣,␣,서울시장,␣,✘,✔,✘,␣,␣,␣,✘,␣
