image_path,015,017,022,033,002,032,036,019,008,016,013,026,027,006,023,018,009,021,024,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0000.jpg,✔,␣,␣,홍수현,"2,580,000",✔,␣,␣,␣,␣,15,␣,안연현,␣,␣,␣,대륙엔지니어링,␣,␣,␣,∅,✔,KD025909,✘,홍수현,M29801,2025,1,✔,✘,␣,✘,✘,안연현,✔,01,염채별,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0001.jpg,✔,␣,␣,서도준,"2,580,000",✔,␣,␣,␣,␣,22,␣,설예민,␣,␣,␣,부전수산,␣,␣,␣,∅,✔,HD000194,✘,서도준,M29404,2025,1,✘,✘,␣,✘,✘,설예민,✔,3,황성빛,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0002.jpg,✔,␣,␣,선우수예,"52,400,000",✔,␣,␣,␣,␣,8,␣,탁예연,␣,␣,␣,연천상운,␣,␣,␣,∅,✔,H1282396,✘,선우수예,M29102,2025,1,✘,✘,␣,✘,✘,탁예연,✔,5,왕유민,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0003.jpg,✔,␣,␣,설예초호나래,35500000,✔,␣,␣,11,␣,11,␣,석도은,2025,␣,␣,제갈초시,␣,␣,␣,∅,✔,HD021999,✘,설예초호나래,M29103,2025,1,✔,✘,7,✘,✘,석도은,✔,7,최윤,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0004.jpg,✔,␣,␣,기초유,2500000,✔,␣,␣,3,␣,3,␣,유서영,2025,␣,␣,김대은은,␣,␣,␣,∅,✔,H7505804,✘,기초유,M29003,2025,1,✔,✘,9,✘,✘,유서영,✔,9,양슬서,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0005.jpg,✔,␣,␣,장준아,"15,690,000",✔,␣,␣,29,␣,29,␣,배서솔,2025,␣,␣,㈜ 아주산업,␣,␣,␣,∅,✔,K2802269,✘,장준아,M29303,2025,1,✔,✘,11,✘,✘,배서솔,✔,11,탁나솔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0006.jpg,✔,␣,␣,모유연,"6,900,000",✔,␣,␣,04,␣,04,␣,서솔지,2025,␣,␣,㈜ 세미레외장,␣,␣,␣,∅,✔,HD035329,✘,모유연,M29005,2025,1,✔,✘,02,✘,✘,서솔지,✔,02,하남재별,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0007.jpg,✔,␣,␣,구본채재,"4,560,000",✔,␣,␣,18,␣,18,␣,독고서민,2025,␣,␣,태백약초영농조합,␣,␣,␣,∅,✔,HD004762,✘,구본채재,MH2001,2025,1,✔,✘,4,✘,✘,독고서민,✔,4,조빛예,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0008.jpg,✔,␣,␣,변은솔,4600000,✔,␣,␣,25,␣,25,␣,하진채,2025,␣,␣,미래 ENG,␣,␣,␣,∅,✔,H5218944,✘,변은솔,M29004,2025,1,✔,✘,06,✘,✘,하진채,✔,06,연나래,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/261/A0009.jpg,✔,␣,␣,천라예,"7,470,000",✔,␣,␣,12,␣,12,␣,손나연,2025,␣,␣,㈜ 대상,␣,␣,␣,∅,✔,KD002963,✘,천라예,M29101,2025,1,✔,✘,08,✘,✘,손나연,✔,08,최나현,✔
