image_path,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0000.jpg,15,쏘나타,2025,✔,81다 8901,위나호,10-40-1234-41,01,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0001.jpg,22,K5,2025,✔,82가2345,천영시,11-41-5678,3,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0002.jpg,8,그랜저,2025,✔,83라 6789,제갈초시,12-42-9012-43,5,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0003.jpg,11,K8,2025,✔,84마 0123,길태은은,13-43-3456-44,7,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0004.jpg,03,아반떼,2025,✔,85 마 4567,이서현,14-44-7890-45,09,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0005.jpg,29,쏘울,2025,✔,86 가 8901,양민,00-45-1234-46,11,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0006.jpg,04,코나,2025,✔,87바 2345,선우아진,01-46-5678-47,02,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0007.jpg,18,니로,2025,✔,88마 6789,마영슬,02-47-9012-48,04,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0008.jpg,25,팰리세이드,2025,✔,89사 0123,이진현,03-48-3456-49,06,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0009.jpg,12,스포티지,2025,✔,90 가 4567,하수은재,04-49-7890-50,08,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0010.jpg,07,쏘나타,2025,✔,91 아 8901,곽현,05-50-1234-51,10,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0011.jpg,31,K5,2025,✔,92마 2345,차하나준,06-51-5678-52,12,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0012.jpg,9,그랜져,2025,✔,93자6789,최진초,07-52-9012-53,1,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0013.jpg,16,K8,2025,✔,94가 0123,차채연빛우,08-53-3456-54,03,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0014.jpg,23,아반떼,2025,✔,95차 4567,육수하나,09-54-7890-55,05,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0015.jpg,05,쏘울,2025,✔,96 마 8901,맹재빛,10-55-1234-56,07,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0016.jpg,19,코나,2025,✔,111바 8901,류슬준,11-56-5678-57,09,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0017.jpg,14,니로,2025,✔,112마 2345,하라영라,12-57-9012-58,11,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0018.jpg,28,팰리세이드,2025,✔,113사 6789,성하나예,13-58-3456-59,02,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0019.jpg,01,스포티지,2025,✔,114가 0123,마윤나래,14-59-7890-60,04,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0020.jpg,17,트랙스,2025,✔,115 아 4567,손우,00-60-1234-61,06,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0021.jpg,24,A 클래스,2025,✔,116 마 8901,염태연나래,01-61-5678-62,08,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0022.jpg,10,1시리즈,2025,✔,117자 2345,구하나,02-62-9012-63,10,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0023.jpg,08,A3,2025,✔,118 가 6789,원아태,03-63-3456-64,12,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0024.jpg,21,쏘나타,2025,✔,119자0123,황보유서,04-64-7890-65,01,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0025.jpg,30,K5,2025,✔,120마 4567,방도나,05-65-1234-66,03,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0026.jpg,10,그랜저,2025,✔,121카 8901,전도준,06-66-5678-67,5,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0027.jpg,26,K8,2025,✔,122 가 2345,길나래예,07.67.9012.68,07,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0028.jpg,06,아반떼,2025,✔,123타 6789,소나래별,08-68-3456-69,09,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/A0029.jpg,20,스포티지,2025,✔,124마 0123,지나래나,09-69-7890-70,11,␣,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0000.jpg,16,투싼 S 클래스,2029,✔,467로 9956,류귀나,13-04-537782-55,1,1876489541,ZXP6K2W,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0001.jpg,␣,␣,2018,✔,146마 0625,␣,␣,7,1298239730,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0002.jpg,17,포르쉐 코롤라,␣,✘,171보 0670,장호웅,41-89-807971-54,12,1887530751,ZX5H2MA,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0003.jpg,␣,쏘나타 콜로라도,2004,✘,36조 7719,엄재우,␣,␣,␣,ZSOQ561,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0004.jpg,␣,␣,␣,✔,33머 5233,신두이,39-13-655805-14,␣,9713298990,ZOI4Q90,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0005.jpg,21,␣,2036,✘,368부 7415,변인승,44-83-923331-00,1,9659051160,ZYIL50K,∅
