image_path,015,017,033,002,041,032,040,036,008,016,013,026,027,006,038,039,042,009,024,037,035,034,030,029,028,011,005,000,025,007,001,031,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0000.jpg,✘,✔,✘,26,9307424590,✘,∅,3,✘,✔,✘,삭과로,✘,✘,␣,✔,SFOI959,✔,✘,16,2019,✘,✔,✘,✔,✘,✘,2017,✔,␣,5,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0001.jpg,✘,✔,✘,␣,9373683947,✘,∅,10,✘,✘,✔,␣,✔,✘,경태복,✔,S751YLT,✘,✘,6,2022,✘,✘,✘,✘,✘,✘,2021,✔,␣,10,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0002.jpg,✔,✔,✘,16,9323411803,✔,∅,9,✘,✘,✘,␣,✘,✘,␣,✘,SBVRGG8,✔,✘,␣,␣,✘,✘,✘,✔,✔,✘,␣,✔,청소년을,10,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0003.jpg,✔,✘,✘,␣,1150087036,✔,∅,2,✘,✘,✘,많은,✔,✘,␣,✘,S7NSDW7,✘,✘,15,2019,✘,✔,✘,✘,✔,✔,2017,✘,병역,␣,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0004.jpg,✔,✘,✘,␣,9036428973,✘,∅,6,✘,✘,✘,뿌리,✘,✘,␣,✔,SO94AG4,✘,✘,␣,2012,✘,✘,✘,✔,✔,✘,␣,✘,연구,9,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0005.jpg,✔,✘,✘,14,9627678300,✔,∅,␣,✘,✘,✔,범에,✘,✘,송인유,✔,SLEGQPG,✘,✘,␣,2023,✘,✘,✘,✘,✘,✔,2024,✘,기르는,␣,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0006.jpg,✔,✘,✘,3,1113742236,✘,∅,9,✔,✔,✘,따위의,✘,✘,␣,✔,ST0JI6G,✘,✔,20,␣,✘,✔,✔,✘,✘,✘,2028,✔,부여를,␣,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0007.jpg,✘,✘,✘,␣,9430454168,✘,∅,10,✔,✘,✔,애액,✘,✔,␣,✘,SEMERCE,✘,✘,19,␣,✔,✘,✘,✘,✘,✘,␣,✔,점프대에서,␣,✘,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0008.jpg,✘,✘,✔,10,1639526169,✘,∅,11,✘,✔,✘,놀잇배로,✔,✘,␣,✔,SQNN88Z,✔,✔,16,2014,✘,✘,✘,✘,✔,✔,2012,✘,␣,11,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0009.jpg,✔,✔,✔,26,1389658162,✘,∅,11,✘,✔,✔,서양식의,✔,✘,배양향,✔,S4CF1AO,✔,✘,␣,2010,✔,✘,✔,✘,✘,✔,2025,✘,원반형의,␣,✘,✔,✘,✘
