image_path,021,015,017,022,033,034,002,032,030,020,029,028,019,011,016,000,013,001,031,027,023,018,012,009,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0000.jpg,✔,✘,✔,✘,1407650329,AQYIYW3,✘,∅,부희태,✘,␣,␣,✘,"여기거나,",✔,␣,✘,✔,✔,2018,␣,✘,✘,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0001.jpg,✘,✘,✘,✘,9503473132,AQUVZ1H,✘,∅,␣,✔,21,1,✘,장사하는,✘,␣,✔,✔,✘,2015,수,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0002.jpg,✘,✘,✔,✔,9161259689,ATOMN64,✘,∅,심아엘,✘,14,10,✘,달다.,✘,150-00-14111,✔,✘,✔,␣,␣,✘,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0003.jpg,✘,✘,✘,✔,9478343174,AI0K3H1,✔,∅,허엘리나,✔,␣,8,✘,25899고,✔,885-93-49997,✘,✘,✔,␣,␣,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0004.jpg,✘,✔,✘,✔,9861980033,A8P7E4N,✘,∅,시글라라,✘,2,2,✘,저절로,✘,561-42-67379,✘,✘,✔,␣,시장할,✘,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0005.jpg,✘,✘,✘,✘,1744815186,ACWJS2Y,✘,∅,␣,✘,␣,6,✘,강변을,✘,476-78-21668,✘,✘,✘,2030,있다.,✘,✔,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0006.jpg,✘,✘,✘,✔,1186730127,AWI2J5M,✘,∅,␣,✘,5,␣,✘,세금을,✘,␣,✔,✘,✔,2013,␣,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0007.jpg,✔,✘,✔,✘,9359466400,AMM6FXN,✘,∅,위교찬,✘,␣,9,✔,그는,✘,340-42-80946,✘,✔,✔,2028,만들어진,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0008.jpg,✘,✔,✔,✘,1730225882,AKP5NUE,✘,∅,␣,✘,␣,8,✔,␣,✔,180-20-80761,✘,✘,✘,2027,줄감돔,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/C0009.jpg,✘,✘,✘,✔,9593370067,A8Y1UJA,✘,∅,맹성유,✘,15,␣,✘,시역무를,✘,␣,✔,✘,✘,2014,따위가,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/D0000.jpg,✘,✘,✘,✘,9741485237,Z64RTJF,✘,∅,홍가세,✘,␣,10,✘,떠나다.,✘,␣,✘,✘,✔,2026,서로,✘,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/D0001.jpg,✔,✘,✘,✘,9387681134,␣,✘,∅,모사무엘,✘,␣,4,✘,갖춘,✘,379-15-62888,✔,✘,✔,2011,죽음.,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/D0002.jpg,✘,✘,✘,✘,␣,ZJFNCW3,✘,∅,경혜성,✘,␣,␣,✘,고압배전반,✘,820-03-18710,✘,✔,✔,2006,고용량,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/D0003.jpg,✘,✘,✘,✘,␣,Z4D7G8A,✘,∅,␣,✘,7,10,✘,␣,✘,698-42-48524,✘,✘,✔,␣,줌.,✔,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/D0004.jpg,✔,✘,✘,✔,1588924193,␣,✘,∅,양안영,✔,20,4,✘,절이다는,✘,351-78-47781,✘,✘,✔,2025,닷새가량.,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/D0005.jpg,✘,✘,✘,✘,␣,␣,✘,∅,제민이,✔,␣,12,✘,여창,✔,␣,✘,✔,✘,␣,취품하다01,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/D0006.jpg,✘,✘,✘,✘,9099318518,ZPBONTQ,✔,∅,음건아,✘,1,10,✘,자장강도,✔,661-79-64494,✘,✘,✘,2023,␣,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/E0000.jpg,✘,✘,✔,✘,9548916620,HRFTL7Q,✘,∅,경유마,✘,29,8,✘,나,✘,␣,✔,✘,✘,2005,␣,✘,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/379/E0001.jpg,✔,✔,✘,✘,␣,HMSU3C7,✔,∅,좌선엽,✘,17,5,✘,"무인,",✔,␣,✘,✘,✔,2016,놓은,✔,✔,✘,✔,✘
