image_path,015,017,022,033,002,032,019,008,016,013,026,027,006,023,018,009,021,024,035,034,200,030,020,029,028,011,005,000,003,007,001,025,031,201,004,012,014,010,202
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0000.jpg,5.5,"3,550만","411,700",05,010-3456-1901,01,8.5,길슬태,쏘나타,운용리스,40,✘,✘,"2,310만",60,✔,230만,✘,✔,길슬태,∅,✘,␣,✘,5,7,✔,길슬태,␣,IBK저축은행,1986.03.22,9,25,␣,대구광역시 남구 수내동 31,20,"13,860,000",1234-11-12345,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0001.jpg,12.3,"3,840만","832,200",22,010.7879.2012,3,15.3,엄진도연성,스포티지,금융리스,40,✘,✘,"2,610만",36,✔,260만,✘,✔,엄진도,∅,✘,␣,✘,5,01,✔,엄진도,␣,카카오뱅크,1986.4.9,9,25,␣,인천광역시 수성구 광안로 682,01,"16,632,000",1234.78.9012345,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0002.jpg,8.8,"7,890만","1,133,700",8,010.1234.2123,5,11.8,기민재,G80,운용리스,40,✘,✘,"4,890만",48,✔,490만,✘,✔,기민재,∅,✘,␣,✘,5,01,✔,기민재,␣,토스뱅크,1986.4.25,9,25,␣,대전광역시 남구 반포동 86,15,"20,196,000",5678.90.1234567,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0003.jpg,3.9,3000만원,394300,11,010 5678 2234,7,6.9,선서슬,아반떼,금융리스,40,✘,✘,2170만원,60,✔,220만원,✘,✔,선서슬,∅,✘,␣,✘,5,1,✔,선서슬,␣,SC제일은행,1986.5.15,9,25,␣,세종특별자치시 유성구 영동대로 507,29,23760000,9012-12-3456789,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0004.jpg,14.8,4040만원,746800,30,010 9012 2345,9,17.8,조호나래,쏘렌토,운용리스,40,✘,✘,2470만원,36,✔,250만원,✘,✔,조호나,∅,✘,␣,✘,5,2,✔,조호나,␣,씨티은행,1986.6.1,9,25,␣,광주광역시 서초구 송도과학로 374,5,46200000,3456-34-5678901,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0005.jpg,6.1,"6,340만","1,039,900",29,010-3456-2456,11,9.1,맹슬예,GV70,금융리스,40,✘,✘,"4,250만",48,✔,430만,✘,✔,맹슬예,∅,✘,␣,✘,5,2,✔,맹슬예,␣,우체국은행,1986.06.17,9,25,␣,울산광역시 강남구 상계동 95,18,"33,264,000",7890-56-9012345,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0006.jpg,10.5,"4,870만","541,600",04,010.7890.2567,02,13.5,허하슬,그랜저,운용리스,40,✘,✘,"3,120만",60,✔,310만,✘,✔,허하슬,∅,✘,␣,✘,5,3,✔,허하슬,␣,수협은행,1986.07.02,9,25,␣,인천광역시 해운대구 문화로 348,3,"61,380,000",123456-78-2345678,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0007.jpg,4.2,"4,950만","968,300",18,010.1234.2678,4,7.2,황보현하나,카니발,금융리스,40,✘,✘,"3,270만",36,✔,330만,✘,✔,황보현,∅,✘,␣,✘,5,3,✔,황보현,␣,신협,1986.07.18,9,25,␣,대전광역시 서초구 봉명로 120,17,"67,320,000",567890-90-3456789,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0008.jpg,12.0,"8,900만","1,284,400",25,010.5678.2789,06,15.0,공라수,GV80,운용리스,40,✘,✘,"5,610만",48,✔,560만,✘,✔,공라수,∅,✘,␣,✘,5,04,✔,공라수,␣,새마을금고,1986-08-04,9,25,␣,서울특별시 성동구 왕십리로 155,01,"73,260,000",901234-12-4567890,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/405/A0009.jpg,7.8,"4,830만","576,700",12,010.9012.2890,08,10.8,성서,팰리세이드,금융리스,40,✘,✘,"3,330만",60,✔,330만,✘,✔,성서라,∅,✘,␣,✘,5,04,✔,성서라,␣,DGB대구은행,1986-08-20,9,25,␣,서울특별시 종로구 우정국로 50,14,"79,200,000",234567-34-6789012,␣
