image_path,011,005,000,003,007,001,013,006,002,004,009,012,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0000.jpg,∅,01,대륙 엔지니어링,␣,␣,1101111675440,␣,15,␣,2025,염채별,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0001.jpg,∅,3,부전수산,␣,␣,1101111757751,␣,22,␣,2025,황성빛,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0002.jpg,∅,5,연천상운,␣,␣,1101111812026,␣,8,␣,2025,왕유민,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0003.jpg,∅,7,대구 컴퓨터 학원,␣,␣,1101111832917,␣,11,␣,2025,최윤,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0004.jpg,∅,9,㈜ 수호전자,␣,␣,1101111865702,␣,3,␣,2025,양슬서,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0005.jpg,∅,11,㈜ 아주산업,␣,␣,1101111964760,␣,29,␣,2025,탁나솔,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0006.jpg,∅,2,(주)세미레외장,␣,␣,1101111991119,␣,4,␣,2025,하남재별,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0007.jpg,∅,4,태백약초영농조합,␣,␣,1101112015752,␣,18,␣,2025,조빛예,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0008.jpg,∅,06,㈜ 미래 ENG,␣,␣,1101112054297,␣,25,␣,2025,연나래,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0009.jpg,∅,08,㈜ 대상,␣,␣,1101112238750,␣,12,␣,2025,최나현,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0010.jpg,∅,␣,(주)뉴컴퍼니,␣,␣,110110004660,␣,␣,␣,␣,권시지,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0011.jpg,∅,12,㈜ 광명도장산업,␣,␣,1101140025715,␣,31,␣,2025,소우하나,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0012.jpg,∅,1,㈜ 얼음골샘물,␣,␣,1143220032038,␣,9,␣,2025,허나래서,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0013.jpg,∅,03,삼성주택(주),␣,␣,1146340035081,␣,16,␣,2025,임별지,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0014.jpg,∅,05,삼성석유화학(주),␣,␣,1146410000716,␣,23,␣,2025,모우하나,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0015.jpg,∅,07,의료법인라파엘의료재단세명재활의학병원,␣,␣,1152110040944,␣,05,␣,2025,장솔현,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0016.jpg,∅,09,개인용달 (부산 90자 9450),␣,␣,1154110025017,␣,19,␣,2025,문라재,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0017.jpg,∅,11,현대운수,␣,␣,1301110011691,␣,14,␣,2025,황보빛초,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0018.jpg,∅,02,레드마켓,␣,␣,1342110132243,␣,28,␣,2025,전성준,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0019.jpg,∅,04,도원 건축사 사무소,␣,␣,1347110003791,␣,01,␣,2025,하남민유,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0020.jpg,∅,06,세림 메탈,␣,␣,1501110025200,␣,17,␣,2025,임하나하,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0021.jpg,∅,08,지윤사다리,␣,␣,1601110091803,␣,24,␣,2025,성빛예,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0022.jpg,∅,10,창하금속 (주),␣,␣,1717110051399,␣,10,␣,2025,인성태,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0023.jpg,∅,12,칠성 개발 (주),␣,␣,1717110059666,␣,08,␣,2025,하도채,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0024.jpg,∅,01,굿뜨모르겐,␣,␣,1801110308866,␣,21,␣,2025,한윤영,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0025.jpg,∅,03,삼양 건기,␣,␣,1801210008548,␣,30,␣,2025,추서도,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0026.jpg,∅,5,헤어스톡,␣,␣,1812110023536,␣,10,␣,2025,정호슬빛나,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0027.jpg,∅,7,세림엔지니어링 C,␣,␣,1101111361388,␣,26,␣,2025,신솔별,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0028.jpg,∅,09,주식회사 유일아이티엠,␣,␣,1101111471765,␣,06,␣,2025,홍현슬우,␣,✔,대표
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/A0029.jpg,∅,11,텀블랜드 학원,␣,␣,1101111644742,␣,20,␣,2025,홍윤유,␣,✔,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/C0000.jpg,∅,␣,대한민국한자교육연구회,대표이사,"시대에,",181-99-32674,A5BWIJ4,31,␣,2016,인선비,1334573117,✔,파트장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0000.jpg,∅,7,␣,대주주,선과,014-10-63600,ERLUZZV,31,␣,2008,␣,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0001.jpg,∅,4,␣,␣,준말.,925-46-40470,EWTX2II,␣,대표이사,2033,시온우,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0002.jpg,∅,3,그루블린,과점주주이사,날짜를,␣,E12ESKF,␣,대주주,2006,방경심,1750626482,✔,부장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0003.jpg,∅,␣,전국종합주류도매업중앙회,␣,있어,␣,EMIG700,28,최대주주,2018,봉다별,9603638273,✔,프로젝트 매니저
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0004.jpg,∅,9,한국외국기업협회,대표자,␣,919-36-85231,␣,␣,대주주,2012,윤태호,1829218496,✔,CFO
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0005.jpg,∅,1,한화에어로스페이스,과점주주이사,실린더,380-64-84746,␣,␣,␣,2034,두세실,1261405768,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0006.jpg,∅,7,OCI,최대주주,그림.,421-99-16306,␣,26,대주주,␣,␣,9826726905,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0007.jpg,∅,␣,␣,대주주,소정의,097-21-34583,␣,7,␣,2024,이일규,1355366455,✔,CTO
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0008.jpg,∅,12,칠성사이다,최대주주,␣,␣,␣,27,대주주,2009,석민제,1260701448,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0009.jpg,∅,3,딜라이브,대표자,맞추는,␣,␣,24,␣,␣,␣,9940773843,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0010.jpg,∅,9,␣,␣,이탈리아의,␣,␣,31,최대주주,␣,승수근,␣,✘,부사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0011.jpg,∅,8,␣,최대주주,␣,430-25-34886,␣,5,␣,2008,␣,9603298522,✘,연구원
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0012.jpg,∅,␣,스튜디오애니멀,대표자,긴,␣,EO0CWZZ,23,최대주주,␣,␣,␣,✔,본부장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0013.jpg,∅,7,␣,␣,옛날의,231-73-69105,EIVJ37Y,2,대주주,2016,탁상국,1088595607,✘,부문장
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/D0014.jpg,∅,7,동원데어리푸드,대표자,␣,888-18-19956,␣,11,대표자,␣,두희옥,1484616691,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/E0000.jpg,∅,8,에이치엘비생명과학,대표이사,␣,482-41-21232,T98J93E,␣,대주주,2031,제갈승건,9505435107,✔,대리
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/E0001.jpg,∅,11,␣,과점주주이사,흐르는,␣,␣,18,최대주주,2025,␣,9258145840,✔,사원
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/E0002.jpg,∅,4,신원,␣,␣,950-09-33795,T6N3HAX,23,대표자,2003,차태찬,9239543012,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/407/F0000.jpg,∅,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,9113735834,✘,␣
