image_path,015,017,022,033,051,002,041,032,040,050,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0000.jpg,시소안경원 신촌점,✘,✘,✔,A1DYHCN,052-8579-7292,C0RWVK,"41,530,000",␣,1525959156,✔,10개월,32-82-728778-16,053-9492-8236,␣,✔,✘,✘,추리향,✘,✘,✘,✘,␣,✘,✘,✘,"73,890,000","8,630,000",✘,"49,450,000",SP00NAB026,✔,꽂다.,✔,✔,✘,␣,✔,9009837780,G1R3FC30,✘,✘,나원유,✘,랜드크루저 파나메라,␣,10.2,✘,✘,102-24-86229,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0001.jpg,ㅎㄷ카페(홍대카페),✘,✘,✘,A4QWC26,␣,6MBVR0,"33,920,000",␣,1055436018,✘,19개월,20-25-851520-19,␣,␣,✔,✘,✔,천채성,✔,✘,✘,✘,␣,✘,✘,✘,␣,"9,550,000",✔,␣,SP00NAB026,✔,휴식하다01,✔,✘,✔,42.7,✘,1601032233,␣,✔,✔,손호선,✔,트레일블레이저 랜드크루저,"4,320,000",76.9,✔,✘,503-10-37212,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0002.jpg,한국문화정품관,✔,✘,✘,AACX7K6,041-2220-3454,␣,"47,810,000",␣,9936641781,✔,␣,35-47-443595-07,033-6868-0213,HDGQJ0,✔,✘,✘,␣,✘,✘,✘,✘,GV60 iX,✘,✘,✘,␣,"2,670,000",✘,"6,970,000",SP00NAB026,✘,곳이나,✘,✘,✔,79.7,✔,9900504186,␣,✘,✘,지효엘,✘,␣,75780000,53.8,✔,✘,893-76-61697,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0003.jpg,␣,✔,✘,✘,AJY6P6T,␣,␣,"27,350,000",␣,1572331217,✘,␣,53-67-037643-38,␣,HO4WBI,✘,✘,✘,호유엔,✘,✘,✘,✘,␣,✘,✘,✘,␣,9770000,✘,␣,SP00NAB026,✔,가는,✘,✘,✘,␣,✘,9311352563,TRIFKUIP,✔,✔,성한신,✘,트랙스 이쿼녹스,␣,47.7,✘,✘,962-97-38843,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0004.jpg,하늘아래뜰,✘,✘,✔,A0Z60D0,␣,OWAD4C,16230000,28,9897183850,✘,7개월,␣,043-8729-8680,H7IMKO,✔,✘,✔,진류건,✘,✔,✘,✘,타이칸 프리우스,✔,✘,✔,"97,880,000",␣,✔,"8,620,000",SP00NAB026,✔,␣,✘,✔,✘,74.8,✘,9051875969,OYKFHUBS,✘,✔,길주환,✔,GLE 5 시리즈,␣,␣,✘,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0005.jpg,가람국시,✘,✘,✔,A1BOSAF,061-5357-5789,␣,"99,380,000",17,9107180904,✔,17개월,52-65-324065-52,062-1143-8246,CIHRS7,✔,✘,✘,␣,✔,✘,✘,✔,크루즈 911,✘,✔,✘,85750000,␣,✔,"1,780,000",SP00NAB026,✘,수,✘,✔,✘,␣,✔,1274734137,GRB2W5QE,✘,✘,␣,✘,스타리아쉐보레 쏘나타,"68,410,000",47.1,✘,✔,756-21-51399,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0006.jpg,대성표구사,✘,✘,✘,AW6S54I,␣,␣,29440000,19,1325673647,✘,12개월,70-61-741292-79,064-8941-5099,TD17ED,✔,✘,✔,␣,✘,✔,✘,✔,르노 무쏘,✘,✘,✘,"1,440,000","8,190,000",✘,"74,810,000",SP00NAB026,✘,␣,✔,✘,✔,␣,✘,1972932242,LZEJLRTT,✘,✔,␣,✘,␣,"21,840,000",67.9,✔,✘,240-56-57153,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0007.jpg,␣,✘,✔,✘,AC376TP,032-0567-4912,␣,"2,660,000",8,1476338804,✔,17개월,92-51-436798-62,␣,UE70R6,✘,✘,✘,석경율,✔,✘,✔,✔,␣,✔,✘,✔,␣,␣,✘,␣,SP00NAB026,✘,둥근,✘,✔,✘,26.5,✘,9838883347,P8UVQO0Y,✔,✘,공인산,✘,카이엔 GV80,"9,890,000",80.1,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0008.jpg,카페 봇봇봇,✔,✘,✔,AM0YCLM,␣,HFHKKE,"9,570,000",16,9444491491,✘,␣,18-68-325410-06,042-7601-1204,PJ04OR,✔,✘,✔,␣,✘,✘,✘,✔,5 시리즈 iX,✔,✘,✘,"69,470,000",62970000,✘,␣,SP00NAB026,✔,␣,✘,✘,✔,78.6,✘,9618232242,4ML4R4OF,✔,✘,은서욱,✔,A3 싼타페,9620000,33.8,✔,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/416/C0009.jpg,망우리공원,✔,✘,✔,ATMJV33,054-8062-0773,␣,"88,720,000",␣,1775102772,✔,22개월,␣,␣,BHFERS,✘,✘,✘,연하나리,✘,✘,✔,✘,GV70 GLE,✘,✔,✘,␣,␣,✘,"93,960,000",SP00NAB026,✘,"농구에서,",✔,✘,✘,␣,✘,1944494838,A38US9KJ,✘,✔,석휘안,✔,␣,"83,380,000",19.9,✘,✔,␣,✘
