image_path,015,017,022,033,051,002,041,032,056,040,050,036,043,019,008,052,016,013,026,027,055,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0000.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1201110682808,␣,␣,✘,␣,✘,␣,이시우네,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,19830405,✘,✘,✔,✘,✘,✘,✔,␣,␣,류영태,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0001.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,2849110339612,␣,␣,✘,␣,✘,␣,명문건축,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,19830421,✘,✘,✔,✘,✘,✘,✔,␣,␣,차하나,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0002.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,2844710017189,␣,␣,✘,␣,✘,␣,은광전기조명,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,19830511,✘,✘,✔,✘,✘,✘,✔,␣,␣,장하나,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0003.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,2802110174595,␣,␣,✘,␣,✘,␣,청도체육관,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983-05-27,✘,✘,✔,✘,✘,✘,✔,␣,␣,강지솔,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0004.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,2802110174595,␣,␣,✘,␣,✘,␣,계명피아노교습소,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983-06-08,✘,✘,✔,✘,✘,✘,✔,␣,␣,하재나,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0005.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,2001210028319,␣,␣,✘,␣,✘,␣,(주)네트인정보기술,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983.06.24,✘,✘,✔,✘,✘,✘,✔,␣,␣,성유지,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0006.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,2001110028319,␣,␣,✘,␣,✘,␣,주식회사 더스쿠프,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983.07.14,✘,✘,✔,✘,✘,✘,✔,␣,␣,정나,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0007.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1911110094305,␣,␣,✘,␣,✘,␣,캐리어티에스(주),✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983-07-30,✘,✘,✔,✘,✘,✘,✔,␣,␣,유슬영,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0008.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1801111155084,␣,␣,✘,␣,✘,␣,에오스,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983-08-11,✘,✘,✔,✘,✘,✘,✔,␣,␣,도나래,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0009.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1701320001228,␣,␣,✘,␣,✘,␣,(주)두레원미래,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983-08-27,✘,✘,✔,✘,✘,✘,✔,␣,␣,곽하나,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0010.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,170111-0915366,␣,␣,✘,␣,✘,␣,NONAME,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,19830915,✘,✘,✔,✘,✘,✘,✔,␣,␣,여슬영,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0011.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1613110027100,␣,␣,✘,␣,✘,␣,(주)디엠산업,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983.10.1,✘,✘,✔,✘,✘,✘,✔,␣,␣,송서윤,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0012.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1501110221759,␣,␣,✘,␣,✘,␣,케이에스스마트,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983.10.17,✘,✘,✔,✘,✘,✘,✔,␣,␣,선우태,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0013.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,1983-11-03,␣,␣,✘,1358110326017,␣,␣,✘,␣,✘,␣,(주)중소기업산업연구원,✘,␣,✘,␣,✘,␣,✘,SP10BCP005,␣,␣,✔,전도은,␣,✘,✘,✔,✘,✘,✘,✔,␣,␣,␣,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0014.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,1983-11-19,␣,␣,✘,1349110140838,␣,␣,✘,␣,✘,␣,한국해항수산(주),✘,␣,✘,␣,✘,␣,✘,SP10BCP005,␣,␣,✔,하윤초,␣,✘,✘,✔,✘,✘,✘,✔,␣,␣,␣,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0015.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1348110418930,␣,␣,✘,␣,✘,␣,월드스틸(주),✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983-12-06,✘,✘,✔,✘,✘,✘,✔,␣,␣,하호우,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0016.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1344140002842,␣,␣,✘,␣,✘,␣,금암교회,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1983-12-22,✘,✘,✔,✘,✘,✘,✔,␣,␣,제갈지,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0017.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1341110656625,␣,␣,✘,␣,✘,␣,모든(장한평),✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1984-01-12,✘,✘,✔,✘,✘,✘,✔,␣,␣,진도슬,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0018.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1341110089719,␣,␣,✘,␣,✘,␣,만두빗는사람들,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1984-01-28,✘,✘,✔,✘,✘,✘,✔,␣,␣,장준나,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0019.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1314110533466,␣,␣,✘,␣,✘,␣,조은식품,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1984.02.15,✘,✘,✔,✘,✘,✘,✔,␣,␣,이준준,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0020.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1314110496870,␣,␣,✘,␣,✘,␣,(주)로봇택시,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1995.07.15,✘,✘,✔,✘,✘,✘,✔,␣,␣,김민준,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0021.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1313110056022,␣,␣,✘,␣,✘,␣,주)슈퍼카레이서,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1988-12-24,✘,✘,✔,✘,✘,✘,✔,␣,␣,이서연,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0022.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1313110034024,␣,␣,✘,␣,✘,␣,주)번개돌이,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,2002-03-08,✘,✘,✔,✘,✘,✘,✔,␣,␣,박도현,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0023.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1311110628362,␣,␣,✘,␣,✘,␣,주) 무지개다리,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1991-09-10,✘,✘,✔,✘,✘,✘,✔,␣,␣,최지우,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0024.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1301111180718,␣,␣,✘,␣,✘,␣,빵빵인테리어,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1999-05-22,✘,✘,✔,✘,✘,✘,✔,␣,␣,정우진,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0025.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1301110122932,␣,␣,✘,␣,✘,␣,무지개멘션,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1985-11-03,✘,✘,✔,✘,✘,✘,✔,␣,␣,강수아,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0026.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1243110005515,␣,␣,✘,␣,✘,␣,거북이익스프레스,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,2000.01.18,✘,✘,✔,✘,✘,✘,✔,␣,␣,윤지훈,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0027.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,1211710006746,␣,␣,✘,␣,✘,␣,코끼리디자인,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,1993.06.29,✘,✘,✔,✘,✘,✘,✔,␣,␣,장하윤,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/438/A0028.jpg,✘,✘,␣,✘,␣,✔,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,␣,␣,␣,✘,111511-0036462,␣,␣,✘,␣,✘,␣,씽씽모터스,✘,␣,✘,␣,✔,␣,✘,SP10BCP005,␣,␣,✘,␣,19970412,✘,✘,✔,✘,✘,✘,✔,␣,␣,임시우,✔,✘,✘,✘
