image_path,015,017,022,088,082,002,041,040,050,019,008,052,026,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,025,001,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,043,059,067,016,079,013,055,023,039,018,021,093,044,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0000.jpg,✘,✘,␣,✘,✔,845마 3555,✘,✘,✘,4,✘,✘,목에다,✘,✔,✔,✘,✘,✘,✘,✘,␣,"76,830,000",✘,✘,✘,✘,✘,✔,✔,나눈,✔,557645하느님을,✘,✘,35,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,3988만원,✔,✘,✔,␣,✘,✘,✘,✔,"75,530,000",✔,✘,␣,9118980637,✔,33,✘,✘,✔,✘,✘,✘,✔,5,✘,✘,✔,✘,∅,IV3AM37,92170000,스파크 XM3,✘,✘,✘,2,5,20,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0001.jpg,✘,✘,"67,430,000",✘,✘,34가 4255,✘,✘,✘,3,✘,✘,탐하다.,✘,✘,✘,✘,✘,✔,✘,✘,2549만원,"9,410,000",✘,✘,✔,✘,✘,✔,✔,치료,✔,␣,✘,✘,␣,✔,✘,✘,✘,␣,✘,✔,✘,✘,✘,✘,✔,✘,4382만원,✔,✔,✘,␣,✔,✔,✘,✘,␣,✘,✘,"5,680,000",1280273035,✘,15,✘,✘,✔,✘,✘,✘,✘,8,✘,✘,✔,✔,∅,INVDGVA,"74,390,000",␣,✘,✔,✔,12,9,19,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0002.jpg,✔,✔,"12,960,000",✘,✘,␣,✘,✘,✘,6,✔,✘,␣,✘,✔,✘,✘,✘,✔,✘,✔,1971만원,"13,350,000",✘,✘,✘,✘,✘,✘,✘,␣,✘,하다 조결하여,✘,✘,16,✔,✘,✔,✔,풍부하게,✘,✘,✘,✘,✔,✘,✘,✘,2579만원,✘,✔,✔,␣,✘,✘,✘,✘,"2,980,000",✔,✘,"1,280,000",1464151748,✘,␣,✘,✘,✔,✘,✘,✘,✘,7,✘,✘,✔,✘,∅,IFJAPAS,␣,␣,✔,✘,✘,18,2,␣,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0003.jpg,✘,✔,46690000,✘,✘,61노 2184,✔,✘,✔,␣,✔,✘,␣,✘,✘,✔,✘,✘,✘,✘,✔,␣,␣,✘,✘,✘,✔,✘,✘,✘,접시를,✘,␣,✘,✔,6,✘,✘,✘,✔,않아,✘,✔,✔,✘,✘,✔,✘,✘,1536만원,✘,✘,✔,78세,✘,✘,✘,✔,6560000,✘,✘,"91,490,000",9772287468,✔,␣,✘,✘,✔,✘,✘,✔,✘,8,✘,✘,✘,✘,∅,ICHOSWR,"7,610,000",벨로스터 Q3,✔,✔,✔,␣,7,1,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0004.jpg,✘,✘,␣,✘,✔,36러 6119,✔,✘,✘,8,✔,✘,␣,✘,✘,✘,✔,✘,✘,✘,✘,␣,␣,✘,✘,✘,✔,✘,✘,✘,발전에,✘,␣,✘,✔,25,✘,✘,✔,✘,␣,✘,✔,✘,✔,✘,✘,✔,✔,3071만원,✔,✘,✘,␣,✘,✘,✘,✔,"2,290,000",✘,✘,␣,1610241619,✔,27,✔,✔,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,ICE3E2I,"1,620,000",아이오닉6 CR-V,✘,✔,✘,7,6,18,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0005.jpg,✔,✘,␣,✘,✘,␣,✘,✘,✔,9,✔,✘,␣,✘,✘,✘,✘,✘,✔,✔,✔,1720만원,96620000,✘,✘,✘,✘,✘,✔,✘,␣,✘,융합하여,✘,✘,19,✔,✘,✘,✘,나는,✔,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,"24,230,000",✔,✘,"35,230,000",1278312819,✘,2,✔,✔,✔,✔,✔,✘,✘,7,✘,✘,✘,✘,∅,IFMXMLG,␣,코롤라 GLE,✘,✘,✘,15,6,3,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0006.jpg,✘,✘,␣,✘,✘,␣,✘,✔,✘,4,✘,✘,넓게는,✘,✘,✘,✔,✘,✘,✘,✔,1726만원,"2,670,000",✔,✔,✘,✘,✔,✔,✔,␣,✘,지나친 듯하게.,✔,✘,8,✘,✘,✘,✔,소리보다,✘,✘,✘,✔,✘,✔,✘,✔,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,"1,310,000",1905688747,✘,17,✘,✔,✔,✘,✘,✔,✘,2,✔,✘,✘,✘,∅,I6M3SHV,"86,640,000",랜드크루저 코란도,✘,✘,✔,22,␣,4,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0007.jpg,✘,✘,␣,✘,✔,69노 4651,✘,✘,✘,␣,✘,✘,그림과,✘,✘,✘,✘,✔,✔,✘,✘,␣,"2,240,000",✔,✘,✔,✔,✔,✘,✘,탐색하고,✘,생선,✔,✔,14,✔,✘,✘,✘,␣,✘,✔,✔,✘,✘,✔,✘,✔,3886만원,✘,✔,✔,␣,✘,✘,✘,✔,"4,740,000",✘,✘,␣,1141650719,✔,␣,✘,✘,✘,✘,✘,✘,✘,2,✔,✘,✘,✔,∅,I741TZ0,"6,410,000",␣,✔,✔,✘,␣,5,5,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0008.jpg,✘,✘,␣,✘,✘,␣,✘,✘,✔,2,✘,✔,병석이가,✔,✔,✘,✘,✘,✘,✘,✔,4846만원,"7,430,000",✘,✔,✘,✘,✘,✘,✘,혈기나,✘,␣,✔,✘,13,✔,✔,✘,✘,맏아들보다,✘,✔,✔,✔,✘,✔,✘,✔,1679만원,✘,✔,✘,26세,✘,✔,✘,✘,␣,✘,✘,␣,9226318418,✔,␣,✘,✔,✘,✘,✘,✘,✔,␣,✔,✘,✘,✔,∅,IYEFH3Q,"9,650,000",G80 아베오,✘,✘,✘,4,8,␣,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0009.jpg,✘,✔,␣,✘,✘,18무 9815,✔,✔,✘,␣,✘,✔,포함되어,✘,✘,✘,✘,✘,✘,✘,✘,4102만원,"8,680,000",✘,✘,✘,✘,✘,✔,✘,뭉게구름처럼,✔,기간은,✘,✔,11,✔,✔,✘,✘,털이,✘,✔,✘,✘,✔,✘,✘,✔,1465만원,✘,✘,✘,␣,✘,✘,✘,✔,␣,✘,✘,"88,410,000",9507538968,✘,2,✘,✘,✘,✔,✘,✔,✘,3,✔,✔,✘,✘,∅,I8HTPHC,"18,980,000",e-트론 SM5,✘,✘,✘,␣,9,␣,✘,✘,✘
