image_path,021,010,015,017,022,002,032,030,014,020,029,028,019,008,011,016,005,000,013,003,026,025,001,031,023,018,004,009,027,024,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0000.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,이시우네,✔,␣,␣,✔,␣,␣,류영태,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0001.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,명문건축,✔,␣,␣,✔,␣,␣,차하나,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0002.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,은광전기조명,✔,␣,␣,✔,␣,␣,장하나,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0003.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,청도체육관,✔,␣,␣,✔,␣,␣,강지솔,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0004.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,계명피아노교습소,✔,␣,␣,✔,␣,␣,하재나,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0005.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)네트인정보기술,✔,␣,␣,✔,␣,␣,성유지,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0006.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주식회사 더스쿠프,✔,␣,␣,✔,␣,␣,정나,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0007.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,캐리어티에스 ㈜,✔,␣,␣,✔,␣,␣,유슬영,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0008.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,에오스,✔,␣,␣,✔,␣,␣,도나래,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0009.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)두레원미래,✔,␣,␣,✔,␣,␣,곽하나,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0010.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,NONAME,✔,␣,␣,✔,␣,␣,여슬영,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0011.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)디엠산업,✔,␣,␣,✔,␣,␣,송서윤,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0012.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,케이에스스마트,✔,␣,␣,✔,␣,␣,선우태,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0013.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)중소기업산업연구원,✔,␣,␣,✔,␣,␣,전도은,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0014.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,한국해양수산,✔,␣,␣,✔,␣,␣,하윤조,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0015.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,월드스틸 ㈜,✔,␣,␣,✔,␣,␣,하호우,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0016.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,금암교회,✔,␣,␣,✔,␣,␣,제갈지,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0017.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,모든(장한평),✔,␣,␣,✔,␣,␣,진도슬,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0018.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,만두빗는사람들,✔,␣,␣,✔,␣,␣,장준나,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0019.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,조은식품,✔,␣,␣,✔,␣,␣,이준준,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0020.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)로봇택시,✔,␣,␣,✔,␣,␣,김민준,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0021.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)슈퍼카레이서,✔,␣,␣,✔,␣,␣,이서연,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0022.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)번개돌이,✔,␣,␣,✔,␣,␣,박도현,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0023.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)무지개다리,✔,␣,␣,✔,␣,␣,최지우,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0024.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,빵빵인테리어,✔,␣,␣,✔,␣,␣,정우진,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0025.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,무지개멘션,✔,␣,␣,✔,␣,␣,강수아,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0026.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,거북이익스프레스,✔,␣,␣,✔,␣,␣,윤지훈,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0027.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,코끼리디자인,✔,␣,␣,✔,␣,␣,장하윤,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0028.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,씽씽모터스,✔,␣,␣,✔,␣,␣,임시우,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/A0029.jpg,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,별똥별택배,✔,␣,␣,✔,␣,␣,한아린,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0000.jpg,␣,2031,2034,21,␣,✘,P0K6FYX,∅,✔,␣,␣,␣,✘,✘,4,8,✔,✘,␣,✘,␣,␣,✘,1182680402,권하섭,부철완,✘,✔,␣,✔,14
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0001.jpg,␣,2036,2032,2,20,✘,PAHZF5O,∅,✔,2023,␣,␣,✔,✘,9,6,✘,✘,홍나혜,✔,␣,␣,✔,1564198508,␣,␣,✔,✘,␣,✘,24
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0002.jpg,2,2038,2026,␣,9,✘,PQVFE9P,∅,✘,2013,␣,␣,✘,✘,7,2,✘,✔,단수지,✘,␣,␣,✘,␣,␣,␣,✘,✘,␣,✔,21
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0003.jpg,12,␣,␣,␣,19,✘,PFIFL9U,∅,✘,2016,␣,␣,✘,✘,␣,2,✔,✘,홍본율,✔,␣,␣,✔,9326535023,구성회,유로앤,✔,✔,␣,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0004.jpg,8,2012,2000,16,31,✘,␣,∅,✘,2003,␣,␣,✘,✘,␣,9,✘,✔,␣,✘,␣,␣,✘,1788096553,반근선,은요운,✘,✘,␣,✘,30
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0005.jpg,7,␣,2033,10,␣,✘,P44MQLW,∅,✘,␣,␣,␣,✔,✘,␣,7,✔,✘,성유기,✘,␣,␣,✔,␣,이춘채,승기안,✘,✘,␣,✔,8
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0006.jpg,␣,2011,2006,␣,␣,✘,␣,∅,✔,␣,␣,소황성,✘,✘,␣,2,✘,✘,제종언,✘,␣,␣,✔,␣,␣,전의론,✔,✔,12,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0007.jpg,␣,2009,2023,28,11,✔,␣,∅,✔,2036,␣,␣,✘,✔,5,8,✘,✘,␣,✘,␣,␣,✘,␣,간소타,탁이원,✘,✘,␣,✘,27
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0008.jpg,11,2015,2031,16,20,✘,P7AOFXT,∅,✔,␣,␣,␣,✔,✘,4,10,✘,✔,갈의린,✘,␣,␣,✘,1635776063,␣,지래온,✔,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0009.jpg,␣,␣,2036,19,␣,✔,PQUPRX2,∅,✘,2037,␣,␣,✔,✘,10,␣,✘,✘,곽율립,✔,␣,␣,✘,9644073342,␣,최진표,✘,✘,␣,✘,27
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/D0010.jpg,3,␣,2037,23,24,✘,PCPYTHH,∅,✘,␣,␣,␣,✔,✘,12,␣,✔,✔,임요안나,✘,␣,␣,✘,1555539584,성수녕,음부강,✘,✔,␣,✔,26
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/E0000.jpg,␣,2006,2009,␣,16,✔,LO0LGWG,∅,✘,␣,␣,␣,✘,✔,␣,7,✘,✘,강윤설,✘,␣,␣,✘,1103349082,배민효,시로희,✔,✘,␣,✔,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/E0001.jpg,1,2017,␣,␣,␣,✘,␣,∅,✔,2015,␣,␣,✘,✔,␣,␣,✘,✘,␣,✘,␣,␣,✘,␣,시사민,␣,✘,✘,␣,✘,30
/mnt/AI_NAS/Data/현대캐피탈/data/images/531/F0000.jpg,12,␣,␣,9,␣,✘,L2CX2MJ,∅,✔,2034,␣,␣,✘,✘,6,␣,✔,✘,␣,✘,␣,␣,✘,9896095734,엄한률,배래인,✔,✘,␣,✔,31
