image_path,015,017,022,033,002,032,040,036,019,008,016,013,026,027,006,023,038,039,018,009,021,024,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0000.jpg,서울 강남구 역삼동 1127,✔,✔,2025.05.15,␣,✔,␣,현현영,5,✘,✔,15,김민준,현현영,✔,✘,∅,␣,2025,␣,김민준,✔,✔,강남지점,자택,␣,15,␣,␣,2025,2020,김민준,010-1234-5678,✘,1985.03.10,✔,김민준,현대 쏘나타,5,오토갤러리,12 가 3456
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0001.jpg,부산 해운대구 마린시티 1238,✘,✔,2025.02.10,␣,✔,␣,허빛유,02,✘,✘,10,이서연,허빛유,✔,✘,∅,␣,2025,␣,이서연,✔,✔,해운대지점,대리점,␣,10,␣,␣,2025,2021,이서연,010-9876-5432,✘,19921125,✔,이서연,쏘렌토,02,시온모터스,23가 7890
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0002.jpg,대전 서구 둔산동 123-21,✔,✔,2025.01.15,␣,✔,␣,지시윤,␣,✘,✔,15,박도현,지시윤,✔,✘,∅,␣,␣,␣,박도현,✔,✔,대전 지점,사업장,␣,␣,␣,␣,2025,2022,박도현,010-5555-1212,✘,1988.07.03,✔,박도현,제네시스 G80,01,탑모터스,34 가 5678
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0003.jpg,광주 북구 용봉동 11-21,✔,✔,2025.09.01,␣,✔,␣,제갈윤,09,✘,✔,01,최지우,제갈윤,✔,✘,∅,␣,2025,␣,최지우,✔,✔,북구지점,자택,␣,01,␣,␣,2025,2023,최지우,010-2222-3333,✘,1995-01-20,✔,최지우,현대 코나,09,탑모터스,45가 6789
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0004.jpg,인천 연수구 송도 2585,✔,✔,2025.11.15,␣,✔,␣,문솔나,11,✘,✔,15,정현우,문솔나,✔,✘,∅,␣,2025,␣,정현우,✔,✔,인천지점,대리점,␣,15,␣,␣,2025,2020,정현우,010-4444-5555,✘,1982-05-12,✔,정현우,기아 스포티지,11,우주모터스,56가 8901
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0005.jpg,울산 남구 삼신동 123-58,✔,✔,2025.04.05,␣,✔,␣,장곡민도,4,✘,✔,5,윤수아,장곡민도,✔,✘,∅,␣,2025,␣,윤수아,✔,✔,울산지점,사업장,␣,5,␣,␣,2025,2021,윤수아,010-6666-7777,✘,1990.09.08,✔,윤수아,현대 팰리세이드,4,아라모터스,67가 9012
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0006.jpg,대구 수성구 65-98,✔,✔,2025.3.1,␣,✔,␣,변호채,3,✘,✔,1,장우재,변호채,✔,✘,∅,␣,2025,␣,장우진,✔,✔,대구지점,자택,␣,1,␣,␣,2025,2023,장우진,010-8888-9999,✘,1987-02-15,✔,장우진,G90,3,자동차뱅크,78가 0123
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0007.jpg,전주 완산구 33-85,✔,✔,2025.10.20,␣,✔,␣,전라하,10,✘,✔,20,송하윤,전라하,✔,✘,∅,␣,2025,␣,송 하윤,✔,✔,전주지점,대리점,␣,20,␣,␣,2025,2019,송 하 윤,010.1111.2222,✘,1993.06.22,✔,송 하윤,현대 쏘나타,10,나눔모터스,89 가 1234
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0008.jpg,제주 제주시 연동 25-93,✔,✔,2025.07.08,␣,✔,␣,옥 영 아,␣,✘,✔,08,강지훈,옥영아,✔,✘,∅,␣,␣,␣,강 지 훈,✔,✔,제주 지점,사업장,␣,␣,␣,␣,2025,2022,강 지 훈,010-3333-4444,✘,1989.12.05,✔,강 지 훈,기아 레이,07,인천 모터스,90가 2345
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0009.jpg,강릉 경도동 25~74,✔,✔,2025.1.12,␣,✔,␣,유별나래,01,✘,✔,12,한서준,유별나래,✔,✔,∅,␣,2025,␣,한 서 준,✔,✔,강릉지점,자택,␣,12,␣,␣,2025,2021,한 서 준,010.5555.6666,✘,1996.04.18,✔,한 서 준,현대 아반떼,01,통진점 현대자동차,01가 3456
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0010.jpg,춘천 중앙로 12-47,✔,✔,2025.05.10,␣,✔,␣,채은채,5,✘,✔,10,임준서,채은채,✘,✘,∅,␣,2025,␣,임준서,✔,✔,춘천지점,대리점,␣,10,␣,␣,2025,2020,임준서,010-7777-8888,✔,1984-08-29,✔,임준서,기아 쏘렌토,5,럭키모터스,12가 4567
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0011.jpg,청주 흥덕구 33-85,✘,✔,2025.2.25,␣,✔,␣,맹서하,2,✘,✘,25,서예진,맹서하,✔,✔,∅,␣,2025,␣,서 예진,✘,✔,청주 지점,사업장,␣,25,␣,␣,2025,2023,서 예진,010 9999-0000,✘,1991.2.14,✔,서예진,제네시스 GV70,2,S&모터스,23가 5678
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0012.jpg,천안 서북구 14-78,✘,✔,␣,␣,✔,␣,송서성,8,✘,✘,18,신동욱,송서성,✘,✘,∅,␣,2025,␣,신동욱,✔,✔,천안지점,자택,␣,18,␣,␣,2025,2022,신동욱,010.2222.1111,✘,1986.09.03,✔,신동욱,현대코나,8,청솔모터스,34가 6789
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0013.jpg,나주 빛가람동 12-747,✔,✔,2025.12.3,␣,✔,␣,변현,12,✘,✔,03,권보람,변현,✔,✘,∅,␣,2025,␣,권보람,✔,✔,나주지점,대리점,␣,03,␣,␣,2025,2021,권보람,010-4444-3333,✘,1994-07-27,✔,권보람,기아스포티지,12,AMG모터스,45가 7890
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0014.jpg,포항 남구 1235,✘,✔,2025.06.15,␣,✔,␣,염우재,6,✘,✔,15,조현우,염우재,✔,✘,∅,␣,2025,␣,조 현우,✔,✔,포항 지점,사업장,␣,15,␣,␣,2025,2020,조 현 우,010-6666-5555,✘,1983-11-11,✔,조 현 우,현대 팰리세이드,6,AMG모터스,56가 8901
