image_path,015,034,030,036,029,028,011,013,025,026,031,027,023,038,012,024,014,010,037,035
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0000.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,15,이지혜,✘,✔,2025,␣,✘,5,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0001.jpg,✔,␣,␣,SP00OAA025,✘,␣,✔,✔,10,이서연,✘,✔,2025,␣,✘,02,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0002.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,23,김민지,✘,✔,2025,␣,✘,06,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0003.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,13,최현우,✘,✔,2025,␣,✘,07,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0004.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,27,정수아,✘,✔,2025,␣,✘,07,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0005.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,9,강지훈,✘,✔,2025,␣,✘,8,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0006.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,23,윤서연,✘,✔,2025,␣,✘,8,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0007.jpg,✔,␣,␣,SP00OAA025,✘,␣,✔,✔,05,장동건,✘,✔,2025,␣,✘,09,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0008.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,19,송하늘,✘,✔,2025,␣,✘,09,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0009.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,8,한지민,✘,✔,2025,␣,✘,10,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0010.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,22,임준서,✘,✔,2025,␣,✘,10,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0011.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,5,서예진,✘,✔,2025,␣,✘,11,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0012.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,19,신동욱,✘,✔,2025,␣,✘,11,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0013.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,8,권보람,✘,✔,2025,␣,✘,12,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0014.jpg,✘,␣,␣,SP00OAA025,✘,␣,✔,✘,22,조현우,✘,✔,2025,␣,✘,12,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0015.jpg,✘,␣,␣,SP00OAA025,✔,강민준,✔,✔,02,미래기획,✘,✔,2025,␣,✘,01,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0016.jpg,✘,␣,␣,SP00OAA025,✔,김서연,✔,✔,16,한빛개발건설,✘,✔,2025,␣,✘,01,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0017.jpg,✔,␣,␣,SP00OAA025,✔,박지훈,✔,✔,02,새롬정보통신,✘,✔,2025,␣,✘,02,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0018.jpg,✘,␣,␣,SP00OAA025,✔,이하윤,✔,✔,16,영진무역상사,✘,✔,2025,␣,✘,2,✘,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/594/A0019.jpg,✘,␣,␣,SP00OAA025,✔,최현우,✔,✔,10,금강철물,✘,✔,2025,␣,✘,03,✘,✘,␣,✘
