image_path,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,042,100,009,024,045,058,102,101,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,043,103,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078,104
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0000.jpg,✘,✘,␣,✔,✘,BAN MIHYEON,✘,✔,✘,시이앙,6,✘,제주특별자치도 제주시 일도이동 375-9,✘,✘,✘,빈덕용,055-3542-0090,✘,✘,✘,AULM37,✔,␣,✔,✘,✘,✔,✘,1900-05-08,✘,경상남도 거창군 마리면 말흘리 18-8,055-5475-7767,2013,✘,␣,␣,차동미,✘,900-58606382-37,␣,love.com,인천광역시 동구 화수동 278-25,단지.,✘,✘,2035/4/27,간배근,␣,11,✘,ON SU-YA,␣,2026,JEONG OLLIBI-ASALANG,공일준,✔,✔,SC제일은행,31,노르웨이,␣,1899968246,✘,파트장,✔,✔,uxzfo4tco,␣,✔,␣,msn.com,✘,✘,␣,␣,✔,여자,✔,✘,064-3599-9885,✘,✘,2006.11.17,✘,✘,✘,날마다,✘,✔,␣,␣,␣,1584198122,도환일,기구.,DBS은행,숭배론,7,␣,042-3755-0880,✘,✘,U8E8JBT
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0001.jpg,✘,✘,␣,✔,✔,TAG YONG-A,✘,✔,✘,한별아,␣,✘,경기도 부천시 원미구 상동 439-7,✔,✘,✘,국한열,043-9772-4472,✘,✔,✔,AULM37,✔,업신여기거나,✔,✘,✘,✘,✔,1900/3/12,✘,전북특별자치도 전주시 덕진구 송천동2가 909-1,␣,2026,✘,251-09-02598,불가리아,호정길,✔,737549-66-777163,␣,netzero.net,충청남도 아산시 온여고길9번길 13-1 (온천동),큰,✔,✔,2003.2.11,민호형,010-0893-1924,28,✘,BYEON JIN-ON,고되게.,2030,JEONG INNYEONG,정희승,✔,✘,부산은행,7,네팔,bxjdk-7_hddf,1737374430,✔,␣,✘,✘,covyu0sctaz-m,27,✘,ok4uki6-c,␣,✘,✔,배혜선,alumni.stanford.edu,✔,남자,✔,✘,054-8829-3905,✘,✔,␣,✘,✔,✘,떨어지며,✔,✔,239-934833-45,␣,1930.12.29,1626647076,태승근,생주,중국교통은행,개착하여,7,063-13-01311,062-1791-6531,✔,✘,UQKCT1B
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0002.jpg,✘,✔,기타 인쇄물 출판업,✘,✔,␣,✘,✘,✘,주내애,6,✔,충청남도 홍성군 홍성읍 대내길 159 (내법리),✘,✔,✘,형가녕,␣,✔,✘,✘,AULM37,✘,␣,✔,✔,✔,✔,✘,␣,✘,경상남도 창녕군 영산면 장척길 23 (신제리),055-5362-8534,␣,✔,␣,아르헨티나,␣,✘,6171-95-351481,␣,␣,세종특별자치시 장군면 몸티길 2-10 (송학리),␣,✔,✘,2002.12.22,황이샘,010-6862-5240,2,✘,␣,␣,2017,JU JONGMIN,호명하,✘,✘,␣,␣,스웨덴,bdpx-wg,9786490083,✘,전임,✘,✘,␣,14,✘,tngeh8uxth,peoplepc.com,✘,✔,␣,lavabit.com,✔,␣,✘,✘,042-9826-4019,✘,✔,␣,✔,✘,✔,"내상,",✔,✘,␣,손자녀,␣,1643626790,선신위,급제를,전북은행,␣,3,868-23-57347,␣,✔,✔,U0BS7MV
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0003.jpg,✘,✘,석유 정제물 재처리업,✘,✔,␣,✘,✘,✘,␣,␣,✔,␣,✘,✘,✘,범양일,␣,✘,✘,✔,AULM37,✔,␣,✔,✘,✘,✘,✘,2014.7.18,✔,경상북도 경주시 건천읍 용명리 2284-4,043-7782-6503,␣,✔,␣,에콰도르,␣,✘,910556-10-928228,불가리아,juilliard.edu,"경기도 파주시 탄현면 한록산길 65 (성동리, 광명프라테크)",센,✔,✔,1938년 3월 18일,위준용,010-3736-3450,24,✘,WANG YU-IL,바깥쪽에,␣,GO DA-YEONG,␣,✘,✘,␣,13,키르기스스탄,cofc2_a,1668014621,✘,인턴,✘,✘,␣,6,✘,eg3n7dwam,purdue.edu,✔,✘,구서음,web.dev,✘,남자,✔,✘,062-8313-2015,✔,✔,␣,✘,✔,✘,발사할,✘,✘,4689-30-815964,손자,␣,1593558305,␣,␣,한국산업은행,자세를,␣,␣,062-2908-3607,✘,✘,UULW0C3
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0004.jpg,✘,✔,␣,✔,✘,GAN HUICHEON,✘,✔,✔,␣,11,✔,전라남도 무안군 일로읍 용산리 45-16,✘,✔,✘,선우초이,␣,✘,✘,✘,AULM37,✘,"맥암,",✔,✘,✘,✘,✘,␣,✘,충청남도 논산시 상월면 상월로740번길 84 (상도리),063-570-3658,2017,✘,␣,팔레스타인,음현범,✔,␣,아일랜드,hanyang.ac.kr,"경기도 하남시 동남로424번길 80 (감일동, 산내들어린이집)",␣,✘,✘,1934.05.30,견가형,␣,␣,✔,␣,사람들의,2025,BAE SIHWAN,설대환,✘,✘,중국은행,␣,레바논,fefnyen16,9476977281,✘,파트장,✘,✔,meuryypvir8f,3,✘,␣,mail.jason.pe.kr,✘,✘,윤루카,␣,✘,여자,✘,✘,␣,✘,✘,2031년 2월 8일,✘,✔,✔,저서에,✔,✘,␣,␣,␣,9078579912,연자령,␣,부산은행,나폴레옹이,9,748-89-58912,061-581-1617,✘,✘,U2TJYU9
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0005.jpg,✘,✔,신선 식품 및 단순 가공 식품 도매업,✘,✘,YUN SEUL-ONG,✘,✘,✘,안정철,4,✘,␣,✘,✘,✘,견유우토,062-7360-8915,✔,✘,✘,AULM37,✘,뒤,✔,✔,✘,✔,✘,2026-12-05,✘,␣,␣,2017,✔,␣,␣,␣,✘,021401-55-078028,␣,o2.pl,전라남도 함평군 함평읍 기각리 898-8,␣,✘,✔,␣,함경욱,010-6700-7586,19,✘,WI ALI-YEONG,하는,2023,DO JONGGUG,␣,✔,✘,신한은행,10,체코,␣,9553741496,✘,부문장,✘,✔,␣,20,✔,␣,iu.edu,✘,✘,황종휘,␣,✘,␣,✘,✘,031-5607-3606,✘,✘,1908.06.15,✘,✘,✘,도교로,✘,✘,281-026596-43,␣,␣,1833004411,남민걸,돋치다.,NH농협은행,구허날무하여,␣,577-48-52117,041-6443-8351,✔,✘,UFTVNF5
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0006.jpg,✘,✘,조경관리 및 유지 서비스업,✔,✘,SON NO-ELLA,✘,✘,✘,␣,␣,✘,충청북도 옥천군 동이면 적하리 212,✘,✔,✘,감문채,054-2743-2292,✘,✘,✘,AULM37,✘,␣,✔,✔,✘,✘,✘,␣,✔,␣,␣,␣,✘,␣,예멘,␣,✘,9200-55-743663,␣,chol.com,"경기도 수원시 권선구 당진로 41 (당수동, 씨티플라자I)",␣,✘,✘,1995년 8월 20일,␣,010-4883-9456,22,✘,␣,전액을,2025,YUG YU-WI,␣,✘,✘,␣,26,타지키스탄,␣,9501550136,✔,부장,✘,✘,k06i7c3v6,7,✘,mt4_wbd,foxmail.com,✘,✘,␣,plqwl0.4,✘,␣,✔,✘,054-2734-3743,✘,✔,␣,✘,✘,✘,패반,✔,✘,␣,␣,2029-07-29,9879557785,윤원철,이극스위치,␣,또는,3,890-78-16289,␣,✔,✘,UBPMFAY
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0007.jpg,✔,✘,"비철금속 제련, 정련 및 합금 제조업",✔,✘,PI AEGA,✘,✘,✘,우홍식,5,✘,인천광역시 중구 신도시북로140번길 51-9 (운서동),✔,✘,✔,␣,062-8983-4377,✘,✘,✘,AULM37,✔,삼.,✘,✔,✘,✔,✘,␣,✘,경기도 안양시 만안구 안양동 848-1 (만안초등학교),␣,2021,✔,␣,루마니아,␣,✔,␣,우크라이나,jacobs-university.de,␣,바탕이,✘,✘,2011/5/5,우동륜,␣,12,✘,YANG DO-UI,큰,2012,␣,␣,✔,✘,NH농협은행,8,이란,wk6uw0ew1,9406311664,✘,파트장,✘,✔,fqdzu0ek5kl2,␣,✘,␣,␣,✘,✘,␣,␣,✘,남자,✘,✔,␣,✔,✔,1933/2/9,✘,✘,✔,␣,✘,✘,819-991305-590,아들,2013.03.22,1493211377,사지혜,하는,하나은행,␣,1,468-71-20208,064-2414-4543,✘,✘,U6GWTYS
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0008.jpg,✔,✔,목재 가구 제조업,✘,✘,PI SAN-A,✘,✔,✘,명윤기,1,✘,␣,✘,✔,✘,␣,␣,✘,✘,✔,AULM37,✘,바르고,✔,✔,✘,✘,✘,1997년 5월 3일,✘,전라남도 광양시 진월면 선소중앙길 13 (선소리),041-3109-5079,␣,✘,601-49-08008,카타르,육금산,✘,␣,␣,ncsu.edu,␣,␣,✘,✘,1926/10/6,호치윤,␣,18,✔,␣,오대에는,2029,␣,␣,✘,✔,부산은행,␣,온두라스,l4p5y_u,9015974478,✘,팀장,✘,✘,fy7hk4w,18,✘,␣,prodigy.net,✘,✘,␣,␣,✘,␣,✘,✔,062-8526-7706,✘,✔,␣,✔,✘,✘,진동수,✘,✘,166-015281-24142,기타,2003.09.16,1845270696,금승규,있어,NH농협은행,␣,11,␣,052-1148-9851,✘,✘,UO4MGEK
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0009.jpg,✘,✔,주점업,✘,✘,GIL ALOM,✘,✘,✘,␣,8,✘,␣,✔,✔,✘,음서음,063-2463-2116,✘,✘,✔,AULM37,✘,우유의,✘,✔,✔,✘,✘,1971.11.29,✔,"충청남도 천안시 동남구 동면 동산1길 60-1 (동산리, 동산노인회관)",033-4037-3661,␣,✘,349-61-80307,말레이시아,사공은찬,✔,767-744386-677,␣,␣,제주특별자치도 서귀포시 보목동 1233-5,가벼워,✘,✔,␣,가한슬,010-1014-4696,29,✘,EUN GIJUN,␣,2019,␣,노소의,✔,✘,수협은행,20,쿠웨이트,aq.wxro1,1561023172,✔,부회장,✔,✘,xmvweamw,6,✔,hf1nj.n77f4,kyonggi.ac.kr,✘,✘,선우택진,lu.se,✔,남자,✔,✘,041-4395-3669,✘,✘,1991-03-11,✘,✘,✘,␣,✘,✘,3628-82-041941,손녀,1991/12/28,1043904832,유성도,경기도,한국산업은행,하다,8,486-87-31060,␣,✘,✘,U6QZTB0
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0010.jpg,✘,✘,중앙은행,✘,✘,BANG JEONGSEON,✔,✘,✔,윤온후,11,✘,␣,✘,✘,✘,현가이,␣,✘,✘,✔,AULM37,✔,짓지,✔,✘,✘,✘,✘,2022.10.27,✔,부산광역시 영도구 흰여울길 335 (영선동4가),062-8617-1217,2017,✔,979-80-98574,중국,␣,✘,661-211033-06840,␣,␣,␣,지킴.,✘,✔,␣,좌하웅,␣,28,✔,GAN TALA,␣,␣,GAM INGYU,␣,✘,✘,하나은행,28,루마니아,ovkbt2i6ic,9233221449,✔,␣,✔,✘,zg8zrnhpa2,22,✔,i3scpqqo2,␣,✘,✘,␣,company.co.kr,✘,␣,✘,✔,053-1155-0009,✘,✘,␣,✘,✘,✔,비슷한,✘,✔,445-707591-74,조모,2011/7/9,1503932784,노설해,얻은,␣,짝은,3,963-06-04159,02-763-3365,✘,✘,UW22BDA
/mnt/AI_NAS/Data/현대캐피탈/data/images/627/C0011.jpg,✘,✔,␣,✘,✘,SIM SEONGGON,✘,✘,✘,김코하루,9,✔,␣,✘,✘,✔,진루기,␣,✔,✔,✔,AULM37,✘,겉으로,✘,✘,✘,✘,✘,1912.10.28,✘,␣,062-6454-6942,2011,✘,707-09-97506,벨라루스,좌잔디,✔,␣,슬로바키아,prodigy.net,충청남도 천안시 동남구 풍세면 가송리 33-3,␣,✘,✘,␣,␣,010-9060-9156,27,✘,SA GONGTAEGGYEONG,사람의,2024,␣,␣,✘,✔,부산은행,18,카자흐스탄,yuxn91pg,9457703342,✔,␣,✔,✘,␣,8,✔,zca1hmq8aaqv,␣,✘,✘,박기언,␣,✘,남자,✘,✘,042-4965-6417,✔,✘,1982.8.11,✘,✘,✔,␣,✘,✘,␣,모,1950년 12월 26일,1528954694,␣,␣,␣,␣,8,209-58-26815,043-8797-9473,✘,✘,URVV6OQ
