image_path,011,005,000,003,007,001,013,006,002,004,009,012,010,014,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0000.jpg,✔,✘,2025,오토갤러리,2025,01,␣,✔,15,✔,15,9COTTT002,오토갤러리,␣,01
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0001.jpg,✔,✘,2025,시온모터스,2025,02,␣,✔,28,✔,28,9COTTT002,시온모터스,␣,02
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0002.jpg,✔,✘,2025,탑모터스,2025,03,␣,✔,10,✔,10,9COTTT002,탑모터스,␣,03
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0003.jpg,✔,✘,2025,우주모터스,2025,04,␣,✔,05,✔,05,9COTTT002,우주모터스,␣,04
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0004.jpg,✔,✘,2025,아라모터스,2025,05,␣,✔,20,✔,20,9COTTT002,아라모터스,␣,05
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0005.jpg,✔,✘,2025,자동차뱅크,2025,06,␣,✔,12,✔,12,9COTTT002,자동차뱅크,␣,06
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0006.jpg,✔,✘,2025,나눔모터스,2025,7,␣,✔,3,✔,3,9COTTT002,나눔모터스,␣,7
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0007.jpg,✔,✘,2025,인천모터스,2025,8,␣,✔,18,✔,18,9COTTT002,인천모터스,␣,8
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0008.jpg,✔,✘,2025,럭키모터스,2025,9,␣,✔,25,✔,25,9COTTT002,럭키모터스,␣,9
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0009.jpg,✔,✘,2025,S&K모터스,2025,10,␣,✔,01,✔,01,9COTTT002,S&K모터스,␣,10
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0010.jpg,✔,✘,2025,청솔모터스,2025,11,␣,✔,14,✔,14,9COTTT002,청솔모터스,␣,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0011.jpg,✔,✘,2025,AMG모터스,2025,12,␣,✔,08,✔,08,9COTTT002,AMG모터스,␣,12
