image_path,015,017,022,082,002,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,061,065,051,033,062,032,085,056,074,036,043,059,067,016,079,013,055,023,038,039,018,021,044,037,035,057,080,069,084,071,034,053,070,054,030,046,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0000.jpg,오토갤러리,␣,"9,600,000",␣,강민준,✘,✘,✘,그랜저,✘,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025.2.28.,2023,✘,✘,✘,✘,✔,␣,✔,✔,KWA1234567890ABCDE,✘,✘,44,✔,✘,✘,✘,✘,␣,1,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,C02811,␣,✔,✘,"144,000",✘,✘,␣,"32,567",3,✔,✘,✘,␣,✔,␣,␣,✘,✘,류홍승,✔,␣,0.3,✘,L2GEARL,✘,␣,✔,✔,✔,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0001.jpg,시온모터스,␣,␣,␣,최서연,✘,✘,✘,G80,✔,✘,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,25.3.10,2021,✘,✔,✘,✘,✔,␣,✔,✘,JNB9876543210FGHIL,✘,✘,45,✘,✘,✘,✘,✘,␣,2,✘,␣,✘,␣,✘,✔,␣,✘,✘,␣,C02633,␣,✔,✘,␣,✘,✘,␣,"68,234",2,✔,✘,✘,␣,✔,␣,␣,✘,✔,최정희,✔,␣,0.2,✘,L8HFKQX,✘,␣,✔,✔,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0002.jpg,탑모터스,␣,"28,753,000",␣,이도현,✘,✘,✘,그랜져HG,✘,✔,✘,✔,␣,✔,✘,✘,✘,∅,✘,✘,25.4.5,2015,✘,✘,✘,✘,✔,␣,✔,✘,LMC6543210987JKLMN,✘,✘,40,✔,✘,✘,✘,✘,␣,3,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,C06727,␣,✔,✘,"432,000",✘,✘,␣,"112,456",2,✔,✘,✘,␣,✔,␣,␣,✘,✘,박건영,✔,␣,0.3,✘,L4JCLMV,✔,␣,✔,✔,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0003.jpg,리아모터스,␣,"9600,000",␣,한지민,✘,✘,✘,GV70,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,✔,✘,25.5.20,2023,✘,✔,✘,✘,✔,␣,✔,✔,PQR4321098765OPQRS,✘,✘,44,✘,✘,✘,✘,✘,␣,4,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,K01411,␣,✔,✘,144000,✘,✘,␣,"15,987",1,✔,✘,✘,␣,✔,␣,␣,✘,✔,김인원,✔,␣,0.2,✘,L9XBTZN,✘,␣,✔,✔,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0004.jpg,우주모터스,␣,65432000,␣,송준호,✘,✘,✘,LANDROVER,✔,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,25.6.12,2016,✘,✘,✘,✘,✔,␣,✔,✘,STU7890123456TUVWX,✘,✔,35,✔,✘,✘,✘,✘,␣,5,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,U01412,U01412,✔,✘,"1,008,000",✘,✘,␣,87654,2,✔,✘,✘,␣,✔,␣,␣,✘,✘,안광희,✔,␣,0.3,✘,L1WDSYH,✘,␣,✔,✔,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0005.jpg,아라모터스,␣,"9600,000",␣,윤서정,✘,✘,✘,GV70,✘,✘,✘,✔,␣,✘,✘,✘,✘,∅,✘,✘,2025.7.1,2024,✘,✔,✘,✔,✘,␣,✘,✘,VWX0987654321YZABC,✘,✘,45,✘,✔,✔,✘,✘,␣,␣,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,C05945,␣,✘,✔,"144,000",✘,✘,␣,"8,321",1,✔,✘,✘,␣,✘,␣,␣,✘,✔,김미래,✘,␣,0.2,✘,L6QRFJG,✘,␣,✔,✔,✘,✔,✔,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0006.jpg,자동차뱅크,␣,"34,567,000",␣,정우진,✘,✘,✘,JEEPII,✘,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-08-18,2021,✘,✘,✘,✘,✘,␣,✘,✔,ABC1234567890DEFGH,✘,✘,39,✔,✔,✘,✘,✘,␣,␣,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,C01790,␣,✘,✔,"528,000",✘,✘,␣,"54,321",3,✔,✘,✘,␣,✔,␣,␣,✘,✘,차주용,✘,␣,0.3,✘,L3YHVPL,✘,␣,✔,✔,✔,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0007.jpg,나눔모터스,␣,"21,890,000",␣,신예지,✘,✘,✘,프리우스V,✔,✘,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-09-03,2017,✘,✔,✘,✔,✘,␣,✘,✘,DEF9876543210IJKLM,✘,✘,41,✘,✔,✘,✘,✘,␣,␣,✘,␣,✘,␣,✘,✔,␣,✘,✘,␣,C01884,␣,✘,✔,"336,000",✘,✘,␣,"76,543",2,✔,✘,✘,␣,✘,␣,2010308571,✘,✔,태양모터스자동차매매상사,✘,␣,0.2,✘,L8ZCNKB,✘,␣,✔,✔,✘,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0008.jpg,인천모터스,␣,"35,678,000",␣,김태현,✘,✘,✘,K8,✘,✔,✘,✔,␣,✔,✘,✘,✘,∅,✘,✘,2025-10-25,2024,✘,✘,✘,✔,✘,␣,✘,✘,GHI6543210987NOPQR,✘,✘,41,✔,✔,✘,✘,✘,␣,␣,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,C03712,␣,✘,✔,"544,000",✘,✘,␣,"3,210",3,✔,✘,✘,␣,✘,␣,8102600654,✘,✘,차주름,✘,␣,0.3,✘,L5XJGRM,✔,␣,✔,✔,✘,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0009.jpg,통진점현대자동차,␣,"32,456,000",␣,박수아,✘,✘,✘,올뉴그랜져,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,✔,✘,2025-11-08,2023,✘,✔,✘,✔,✘,␣,✘,✔,JKL4321098765STUVW,✘,✘,43,✘,✔,✘,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,MF0D56,␣,✘,✔,"496,000",✔,✘,␣,"25,789",2,✘,✘,✘,␣,✘,␣,1274417436,✘,✔,ALLCAR모터스,✘,␣,0.2,✘,L2LBTWQ,✘,␣,✔,✘,✘,✔,✔,✔,✘
