image_path,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0000.jpg,✘,✘,✘,␣,✘,4567890123,✔,␣,✘,(주)에스앤피커뮤니케이션,ANEW63,✘,010-4455-6677,␣,␣,서울특별시 성동구 왕십리로 155 101동 112호,✘,␣,␣,✘,✔,장곡유하,✘,✘,✘,✘,✘,CHEONCHOA,팀장,천초아,2025,광고,✔,1987-05-18,서울특별시 성동구 왕십리로 155 101동 112호,S&P Communication Co.,✘,✘,✘,전략기획팀,✘,␣,대한민국,␣,␣,15,1981-04-18,010-4455-6677,␣,✘,✔,␣,✔,서울특별시 성동구 왕십리로 155 101동 112호,대한민국,✘,✘,␣,✘,✘,BNK부산은행,JANGGOGYUHA,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,234567-12-5678901,✘,naver.com,␣,✔,01,✘,(주)에스엔피커뮤니케이션,spcommunication,✔,15,✘,1980-08-23,✘,␣,␣,01,␣,(주)에스엔피커뮤니케이션,✘,✘,✘,여,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0001.jpg,✘,✘,✘,␣,✘,567-89-01234,✘,␣,✘,티에이치산업개발,ANEW63,✘,010-5566-7788,␣,␣,서울특별시 종로구 우정국로 50 101동 272호,✔,␣,␣,✘,✘,남재서민,✘,✘,✘,✘,✘,CHUCHAEYU,부장,추채유,2025,부동산 개발,✔,1983-12-03,서울특별시 종로구 우정국로 50 101동 272호,TH Industrial Development,✘,✘,✘,사업개발팀,✘,␣,대한민국,␣,␣,22,1981-04-30,010-5566-7788,␣,✘,✔,␣,✔,서울특별시 종로구 우정국로 50 101동 272호,대한민국,✘,✘,␣,✘,✘,경남은행,NAMJAESEOMIN,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,678901-45-9012345,✘,daum.net,␣,✔,03,✘,티에이치산업개발,thindustrialdevelopment,✔,22,✘,1980-09-12,✔,␣,␣,03,␣,티에이치산업개발,✘,✘,✘,여,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0002.jpg,✘,✘,✘,␣,✘,678-90-12345,✔,␣,✘,서현기계(주),ANEW63,✘,010-6677-8899,␣,␣,서울특별시 영등포구 여의대로 70 102동 244호,✘,␣,␣,✘,✘,구초우은,✘,✘,✘,✘,✘,IM SEO HA NA,과장,임서하나,2025,기계제조,✔,1986-06-09,서울특별시 영등포구 여의대로 70 102동 244호,Seo Hyun Machinery Co.,✘,✘,✔,미래전략팀,✘,␣,대한민국,␣,␣,08,1981-05-12,010-6677-8899,␣,✘,✔,␣,✔,서울특별시 영등포구 여의대로 70 102동 244호,대한민국,✘,✘,␣,✘,✘,광주은행,GU CHO UEUN,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,0123-45-6789012,✘,gmail.com,␣,✔,05,✘,서현기계(주),seohyunmachinery,✔,08,✘,1980-09-28,✘,␣,␣,05,␣,서현기계,✘,✘,✘,여,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0003.jpg,✘,✘,✘,␣,✘,7890123456,✘,␣,✘,대한예수교장로회중원햇빛교회,ANEW63,✘,010-7788-9900,␣,␣,울산광역시 동구 동해안로 100 102동 032호,✔,␣,␣,✘,✘,인도슬,✘,✘,✘,✘,✘,HEOYEONNARAE,대리,허연나래,2025,종교 (기독교),✔,1989-01-25,울산광역시 동구 동해안로 100 102동 032호,Jungwon Haebit Presbyterian Church,✘,✘,✘,시장분석팀,✘,␣,대한민국,␣,␣,11,1981-05-27,010-7788-9900,␣,✘,✔,␣,✔,울산광역시 동구 동해안로 100 102동 032호,대한민국,✘,✘,␣,✘,✘,전북은행,INDOSEUR,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,4567-89-0123456,✘,naver.com,␣,✔,07,✘,대한예수교장로회중원햇빛교회,jungwonhaebitpresbyterianchurch,✔,11,✘,1980-10-05,✘,␣,␣,07,␣,대한예수교장로회중원햇빛교회,✘,✘,✔,여,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0004.jpg,✘,✘,✘,␣,✘,8901234567,✔,␣,✘,광전운수,ANEW63,✘,010-8899-0011,␣,␣,제주특별자치도 제주시 노형동 244-1 103동 023호,✘,␣,␣,✘,✘,명예서,✘,✘,✔,✘,✘,YEOMHOTAE,사원,염호태,2025,택시,✔,1980-04-12,제주특별자치도 제주시 노형동 244-1 103동 023호,Gwangjeon Transportation,✘,✘,✘,경쟁정보팀,✘,␣,대한민국,␣,␣,03,1981-06-04,010-8899-0011,␣,✘,✔,␣,✔,제주특별자치도 제주시 노형동 244-1 103동 023호,대한민국,✘,✘,␣,✘,✘,제주은행,MYEONGYESEO,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,7890-23-3456789,✘,daum.net,␣,✔,09,✘,광전운수,gwangjeontransportation,✔,03,✘,1980-10-20,✘,␣,␣,09,␣,광전운수,✘,✘,✘,남,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0005.jpg,✘,✘,✘,␣,✘,9012345678,✘,␣,✔,올리브떡볶이,ANEW63,✘,010-9900-1122,␣,␣,대전광역시 유성구 대덕대로 91 103동 312호,✔,␣,␣,✘,✘,유유영,✘,✘,✘,✘,✘,ANSEUR,연구원,안슬,2025,음식점 (분식),✔,1985-10-31,대전광역시 유성구 대덕대로 91 103동 312호,Olive Tteokbokki,✘,✘,✘,신규 사업팀,✘,␣,대한민국,␣,␣,29,1981-06-20,010-9900-1122,␣,✘,✔,␣,✔,대전광역시 유성구 대덕대로 91 103동 312호,대한민국,✘,✘,␣,✘,✘,K뱅크,YUYUYEONG,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,111111-11-2222222,✘,gmail.com,␣,✔,11,✘,올리브떡볶이,olivetteokbokki,✔,29,✘,1980-11-11,✘,␣,␣,11,␣,올리브 떡볶이,✘,✘,✘,여,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0006.jpg,✘,✘,✘,␣,✘,123456789,✔,␣,✘,파리바게트 ( 북수점 ),ANEW63,✘,010-0011-2233,말일,␣,대전광역시 유성구 엑스포로 147 103동 112호,✘,␣,␣,✘,✘,염우영채,✘,✘,✘,✘,✘,JANGTAECHO,책임,장태초,2025,종교 (기독교),✔,1988-06-17,대전광역시 유성구 엑스포로 147 103동 112호,Paris Baguette (Buksu Branch),✘,✘,✘,사업 전략팀,✘,␣,대한민국,␣,␣,04,1981-07-10,010-0011-2233,␣,✔,✔,␣,✔,대전광역시 유성구 엑스포로 147 103동 112호,대한민국,✘,✘,␣,✘,✘,OK저축은행,YEOMUYEONGCHAE,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,222222-22-3333333,✘,naver.com,␣,✔,02,✘,파리바게트 ( 북수점 ),parisbaguettebuksubranch,✔,04,✘,1980-11-26,✘,␣,␣,02,␣,파리바게트 (북수점),✘,✘,✘,남,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0007.jpg,✘,✘,✘,␣,✘,1122334455,✘,␣,✘,기독교한국침례회생명의빛교회,ANEW63,✘,010-1234-0000,␣,␣,서울특별시 강남구 테헤란로 207 103동 054호,✔,␣,␣,✘,✔,인현시,✘,✘,✘,✘,✘,GUBONYEJAENARAEDO,매니저,구본예재나래도,2025,종교 (기독교),✔,1981-02-07,서울특별시 강남구 테헤란로 207 103동 054호,Saemyeongui Bit Baptist Church,✘,✘,✘,성장 전략팀,✘,␣,대한민국,␣,␣,18,1981-07-25,010-1234-0000,␣,✘,✔,␣,✔,서울특별시 강남구 테헤란로 207 103동 054호,대한민국,✘,✘,␣,✘,✘,웰컴저축은행,INHYEONSI,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,333333-33-4444444,✘,daum.net,␣,✔,04,✘,기독교한국침례회생명의빛교회,saemyeonguibitbaptistchurch,✔,18,✘,1980-12-03,✘,␣,␣,04,␣,기독교한국침례회생명의빛교회,✘,✘,✘,남,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0008.jpg,✘,✘,✘,␣,✘,2233445566,✔,␣,✘,멕시카나미룡대명점,ANEW63,✘,010-5678-1111,␣,␣,서울특별시 강남구 테헤란로 226 103동 344호,✘,␣,␣,✘,✘,하현예,✘,✘,✘,✘,✘,UHAHYEON,주임,우하현,2025,음식점 (치킨),✔,1984-08-21,서울특별시 강남구 테헤란로 226 103동 344호,Mexicana Myeongryong Daemyeong Branch,✘,✘,✘,혁신 전략팀,✘,␣,대한민국,␣,␣,25,1981-08-02,010-5678-1111,␣,✘,✔,␣,✔,서울특별시 강남구 테헤란로 226 103동 344호,대한민국,✘,✘,␣,✘,✘,미래저축은행,HAHYEONYE,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,444444-44-5555555,✘,gmail.com,␣,✔,06,✘,멕시카나미룡대명점,mexicanamyeongryongdaemyeongbranch@gmail.com,✔,25,✘,1980-12-19,✔,␣,␣,06,␣,멕시카나미룡대명점,✘,✘,✘,남,✔,한국,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/070/A0009.jpg,✘,✘,✘,␣,✘,334-45-56677,✘,␣,✘,(주)이포에프,ANEW63,✘,010-9012-2222,␣,␣,서울특별시 여의도동 64-7 103동 192호,✔,␣,␣,✘,✘,채예현,✘,✘,✘,✘,✘,MANABYEOR,나,마나별,2025,의류 제조,✔,1987.11.8.,서울특별시 여의도동 64-7 103동 192호,Epo F Co.,✘,✘,✔,디지털 전략팀,✘,␣,대한민국,␣,␣,12,1981-08-18,010-9012-2222,␣,✘,✔,␣,✔,서울특별시 여의도동 64-7 103동 192호,대한민국,✘,✘,␣,✘,✘,OK저축은행,CHAEYEHYEON,✘,✘,␣,✘,✘,✘,✘,␣,✔,✘,2025,555555-55-6666666,✘,naver.com,␣,✔,08,✘,(주)이포에프,epofco,✔,12,✘,1981-01-07,✘,␣,␣,08,␣,(주)이포에프,✘,✘,✘,남,✔,한국,✘,␣,✘
