image_path,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,034,053,054,030,046,005,000,031,048,066,004,012,027
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0000.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,팀장,␣,✘,✘,✘,(주)에스앤피커뮤니케이션,␣,✘,✘,✘,✘,✘,␣,15,✘,✘,✔,2025,✔,␣,␣,01,␣,␣,CHEONCHOA,␣,잔혹유하,␣,✘,✘,␣,␣,1980-08-23,␣,✘,✘,␣,50%,천초하,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0001.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,부장,␣,✘,✘,✘,티에이치산업개발,␣,✘,✘,✘,✘,✘,␣,22,✘,✘,✔,2025,✔,␣,␣,03,␣,␣,CHUCHAEYU,␣,남재서민,␣,✘,✘,␣,␣,1980-09-12,␣,✘,✘,␣,50%,추채유,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0002.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,과장,␣,✘,✘,✘,서현기계(주),␣,✘,✘,✘,✘,✘,␣,08,✘,✘,✔,2025,✔,␣,␣,05,␣,␣,IMSEOHANA,␣,구초우은,␣,✘,✘,␣,␣,1980-09-28,␣,✘,✘,␣,30%,임서하나,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0003.jpg,✘,✘,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,대리,␣,✘,✘,✘,대한예수교장로회중원햇빛교회,␣,✘,✘,✘,✘,✘,␣,11,✘,✔,✔,2025,✔,␣,␣,07,␣,␣,HEOYEONNARAE,␣,인도슬,␣,✘,✘,␣,␣,1980-10-05,␣,✘,✘,␣,␣,허연나래,␣,3-1,␣,␣,✘,␣,✘,✘,✘,␣,∅,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0004.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✔,␣,✘,✘,␣,사원,␣,✘,✘,✘,광전운수,␣,✘,✘,✘,✘,✘,␣,03,✘,✘,✔,2025,✔,␣,␣,09,␣,␣,YEOMHOTAE,␣,명예서,␣,✘,✘,␣,␣,1980-10-20,␣,✘,✘,␣,20%,염호태,␣,2-1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0005.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,연구원,␣,✘,✘,✘,올리브떡볶이,␣,✘,✘,✘,✘,✘,␣,29,✘,✘,✔,2025,✔,␣,␣,11,␣,␣,ANSEUR,␣,유유영,␣,✘,✘,␣,␣,1980-11-11,␣,✘,✘,␣,100%,안슬,␣,①,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0006.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,책임,␣,✘,✘,✘,파리바게트 ( 북수점 ),␣,✘,✘,✘,✘,✘,␣,04,✘,✘,✔,2025,✔,␣,␣,02,␣,␣,JANGTAECHO,␣,염우영채,␣,✘,✘,␣,␣,1980-11-26,␣,✘,✘,␣,100%,장태초,␣,①,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0007.jpg,✘,✘,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,매니저,␣,✘,✘,✘,기독교한국침례회생명의빛교회,␣,✘,✘,✘,✘,✘,␣,18,✘,✔,✔,2025,✔,␣,␣,04,␣,␣,GUBONYEJAENARAEDO,␣,인현시,␣,✘,✘,␣,␣,1980-12-03,␣,✘,✘,␣,␣,구본예재나래도,␣,3-1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0008.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,주임,␣,✘,✘,✘,멕시카나미룡대명점,␣,✘,✘,✘,✘,✘,␣,25,✘,✘,✔,2025,✔,␣,␣,06,␣,␣,UHAHYEON,␣,하현예,␣,✘,✘,␣,␣,1980-12-19,␣,✘,✘,␣,100%,우하현,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0009.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,기획자,␣,✘,✘,✘,(주)이포에프,␣,✘,✘,✘,✘,✘,␣,12,✘,✘,✔,2025,✔,␣,␣,08,␣,␣,MANABYEOR,␣,채예현,␣,✘,✘,␣,␣,1981 01 07,␣,✘,✘,␣,45%,마나별,␣,①,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0010.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,담당자,␣,✘,✘,✘,공장개발종합건설,␣,✘,✘,✘,✘,✘,␣,07,✘,✘,✔,2025,✔,␣,␣,10,␣,␣,UNASEO,␣,소라초,␣,✘,✘,␣,␣,1981 01 21,␣,✘,✘,␣,33%,우나서,␣,①,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0011.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✔,␣,✘,✘,␣,책임매니져,␣,✘,✘,✘,(주)한일통운,␣,✘,✘,✘,✘,✘,␣,31,✘,✘,✔,2025,✔,␣,␣,12,␣,␣,HWANGHOSEOJAE,␣,설재수,␣,✘,✘,␣,␣,1981-02-09,␣,✘,✘,␣,19%,황호서재,␣,2-1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0012.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✔,␣,✘,✘,␣,차장,␣,✘,✘,✘,주식회사 남경전기,␣,✘,✘,✘,✘,✘,␣,09,✘,✘,✔,2025,✔,␣,␣,01,␣,␣,CHABICHYUN,␣,반현재,␣,✘,✘,␣,␣,1981 02 25,␣,✘,✘,␣,23%,차빛윤,␣,2-1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0013.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,과장,␣,✘,✘,✘,석재용달화물,␣,✘,✘,✘,✘,✘,␣,16,✘,✘,✔,2025,✔,␣,␣,03,␣,␣,SINHANACHO,␣,윤초도,␣,✘,✘,␣,␣,1981-03-14,␣,✘,✘,␣,100%,신하나초,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0014.jpg,✘,✘,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,대리,␣,✘,✘,✘,대한예수교장로회예심교회,␣,✘,✘,✘,✘,✘,␣,23,✘,✔,✔,2025,✔,␣,␣,05,␣,␣,BAEGADO,␣,안초초,␣,✘,✘,␣,␣,1981-03-29,␣,✘,✘,␣,␣,백아도,␣,3-1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0015.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,팀장,␣,✘,✘,✘,어상식품영농조합법인,␣,✘,✘,✘,✘,✘,␣,2025⇒07⇒05,✘,✘,✔,2025⇒07⇒05,✔,␣,␣,2025⇒07⇒05,␣,␣,GEUMBYEORSEONGHO,␣,신서우,␣,✘,✘,␣,␣,1984.11.09,␣,✘,✘,␣,34,금별성호,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0016.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,부장,␣,✘,✘,✘,화원산업개발(주),␣,✘,✘,✘,✘,✘,␣,19,✘,✘,✔,2025,✔,␣,␣,09,␣,␣,SEORSUMIN,␣,강우도,␣,✘,✘,␣,␣,1984.11.25,␣,✘,✘,␣,78,설수민,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0017.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,과장,␣,✘,✘,✘,사단법인사회적기업청람,␣,✘,✘,✘,✘,✘,␣,14,✘,✔,✔,2025,✔,␣,␣,11,␣,␣,NANARAERA,␣,홍수슬,␣,✘,✘,␣,␣,1984-12-07,␣,✘,✘,␣,97,나나래라,␣,3-1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0018.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,대리,␣,✘,✘,✘,대륙엔지니어링,␣,✘,✘,✘,✘,✘,␣,28,✘,✘,✔,2025,✔,␣,␣,02,␣,␣,IMJUNYE,␣,한영진,␣,✘,✘,␣,␣,1984-12-23,␣,✘,✘,␣,74,임준예,␣,①,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0019.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,사원,␣,✘,✘,✘,부전수산,␣,✘,✘,✘,✘,✘,␣,01,✘,✘,✔,2025,✔,␣,␣,04,␣,␣,YUGBYEORHYEON,␣,성연빛,␣,✘,✘,␣,␣,1985.01.14,␣,✘,✘,␣,45,육별현,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0020.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,연구원,␣,✘,✘,✘,연천상운,␣,✘,✘,✘,✘,✘,␣,17,✘,✘,✔,2025,✔,␣,␣,06,␣,␣,HWANGJEONGSORHYEON,␣,남궁영나래,␣,✘,✘,␣,␣,1985.01.30,␣,✘,✘,␣,29,황정솔현,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0021.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,책임,␣,✘,✘,✘,대구컴퓨터학원,␣,✘,✘,✘,✘,✘,␣,24,✘,✘,✔,2025,✔,␣,␣,08,␣,␣,HWANGBOSEOHA,␣,박채지,␣,✘,✘,␣,␣,1985-02-16,␣,✘,✘,␣,59,황보서하,␣,1,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0022.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,매니저,␣,✘,✘,✘,(주)수호전자,␣,✘,✘,✘,✘,✘,␣,10,✘,✘,✔,2025,✔,␣,␣,10,␣,␣,HANEUNRA,␣,탁태솔,␣,✘,✘,␣,␣,1985.3.4,␣,✘,✘,␣,71,한은라,␣,①,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0023.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,주임,␣,✘,✘,✘,(주)아주산업,␣,✘,✘,✘,✘,✘,␣,08,✘,✘,✔,2025,✔,␣,␣,12,␣,␣,JUNARAESEONGHAYUN,␣,신빛지,␣,✘,✘,␣,␣,1985-03-22,␣,✘,✘,␣,68,주나래성하윤,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0024.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,기획자,␣,✘,✘,✘,(주)세미레외장,␣,✘,✘,✘,✘,✘,␣,21,✘,✘,✔,2025,✔,␣,␣,01,␣,␣,MOJUNEUN,␣,마성서,␣,✘,✘,␣,␣,1985-04-08,␣,✘,✘,␣,97,모준은,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0025.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,담당자,␣,✘,✘,✘,태백약초영농조합,␣,✘,✘,✘,✘,✘,␣,30,✘,✘,✔,2025,✔,␣,␣,03,␣,␣,GANGASEUR,␣,장곡유은,␣,✘,✘,␣,␣,1985-04-24,␣,✘,✘,␣,68,강아슬,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0026.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,책임매니저,␣,✘,✘,✘,(주)미래ENG,␣,✘,✘,✘,✘,✘,␣,13,✘,✘,✔,2025,✔,␣,␣,5,␣,␣,YUGEUNYE,␣,백연진,␣,✘,✘,␣,␣,1985-05-14,␣,✘,✘,␣,58,육은예,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
