image_path,021,010,015,017,022,002,030,014,020,029,028,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,027,024,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0000.jpg,␣,15,15,✔,✘,✘,␣,1,␣,␣,SP00NAB026,␣,2025,(주)에스앤피커뮤니케이션,천초아,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,1,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0001.jpg,␣,22,22,✔,✘,✘,␣,3,␣,␣,SP00NAB026,␣,2025,티에이치산업개발,추채유,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,3,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0002.jpg,␣,08,08,✔,✘,✘,␣,05,␣,␣,SP00NAB026,␣,2025,서현기계(주),임서하나,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,5,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0003.jpg,␣,11,11,✔,✘,✘,␣,7,␣,␣,SP00NAB026,␣,2025,대한예수교장로회중원햇빛교회,허연나래,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,7,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0004.jpg,␣,03,03,✔,✘,✘,␣,09,␣,␣,SP00NAB026,␣,2025,광전운수,염호태,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,9,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0005.jpg,␣,29,29,✔,✘,✘,␣,11,␣,␣,SP00NAB026,␣,2025,올리브떡볶이,안슬,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,11,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0006.jpg,␣,4,4,✔,✘,✘,␣,2,␣,␣,SP00NAB026,␣,2025,파리바게트 ( 북수점 ),장태초,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,2,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0007.jpg,␣,18,18,✔,✘,✘,␣,4,␣,␣,SP00NAB026,␣,2025,기독교한국침례회생명의빛교회,구본예재나래도,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,4,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0008.jpg,␣,25,25,✔,✘,✘,␣,6,␣,␣,SP00NAB026,␣,2025,멕시카나미룡대명점,우하현,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,6,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/080/A0009.jpg,␣,12,12,✔,✘,✘,␣,08,␣,␣,SP00NAB026,␣,2025,(주)이포에프,마나별,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,6,✘,␣,✔
