image_path,011,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0000.jpg,␣,␣,✔,✔,주우지은나,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0001.jpg,␣,␣,✔,✔,정윤영솔,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0002.jpg,␣,␣,✔,✔,권현별,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0003.jpg,␣,␣,✔,✔,신예시,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0004.jpg,␣,␣,✔,✔,엄나래솔,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0005.jpg,␣,␣,✔,✔,현별수,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0006.jpg,␣,␣,✔,✔,채솔은,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0007.jpg,␣,␣,✔,✔,모성진,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0008.jpg,␣,␣,✔,✔,방솔진,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0009.jpg,␣,␣,✔,✔,강라,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0010.jpg,␣,␣,✔,✔,맹초라,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0011.jpg,␣,␣,✔,✔,하남우나,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0012.jpg,␣,␣,✔,✔,반준하,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0013.jpg,␣,␣,✔,✔,홍호서,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0014.jpg,␣,␣,✔,✔,전시별,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0015.jpg,␣,␣,✔,✔,최유시,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0016.jpg,␣,␣,✔,✔,박진우,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0017.jpg,␣,␣,✔,✔,노유진,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0018.jpg,␣,␣,✔,✔,여연민,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0019.jpg,␣,␣,✔,✔,류도유,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0020.jpg,␣,␣,✘,✔,양연진,✔,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0021.jpg,␣,␣,✔,✔,육영윤,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0022.jpg,␣,␣,✔,✔,사공연,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0023.jpg,␣,␣,✔,✔,박현우,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0024.jpg,␣,␣,✔,✔,홍나현,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0025.jpg,␣,␣,✔,✔,맹민서,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0026.jpg,␣,␣,✔,✔,차재우,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0027.jpg,␣,␣,✔,✔,나연수,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0028.jpg,␣,␣,✔,✔,공시빛,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/A0029.jpg,␣,␣,✔,✔,서문우,✘,␣,✘,␣,SP13BCK003,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/D0000.jpg,SSZFEFG,␣,✘,✘,␣,✔,14,✘,␣,SP13BCK003,1054349532,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/D0001.jpg,SGR5Y07,␣,✘,✘,진진언,✔,9,✘,2030,SP13BCK003,1779527627,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/D0002.jpg,SJCPS0S,␣,✔,✔,사공율교,✘,21,✔,␣,SP13BCK003,1636275797,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/D0003.jpg,S1K4NJH,2,✘,✘,상학성,✔,15,✘,␣,SP13BCK003,9349143235,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/D0004.jpg,SF8ZHKM,␣,✘,✘,탁영걸,✘,30,✘,2031,SP13BCK003,9201197331,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/096/E0000.jpg,␣,10,✘,✔,현셀린,✔,16,✘,2014,SP13BCK003,9526697028,✘
