image_path,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,021,024,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0000.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,1,✘,✘,✘,␣,황정준민,✘,12,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0001.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,3,✘,✘,✘,␣,허라태,✘,27,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0002.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,5,✘,✘,✘,␣,현솔아,✘,5,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0003.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,07,✘,✘,✘,␣,조별아,✘,18,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0004.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,9,✘,✘,✘,␣,곽하은,✘,11,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0005.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,11,✘,✘,✘,␣,채도예,✘,24,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0006.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,02,✘,✘,✘,␣,전영도,✘,28,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0007.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,04,✘,✘,✘,␣,손별재태,✘,15,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0008.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,06,✘,✘,✘,␣,반시초,✘,22,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/107/A0009.jpg,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,08,✘,✘,✘,␣,송준라,✘,03,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
