image_path,010,015,017,002,014,020,019,008,011,016,005,000,013,003,007,001,006,018,004,009,021,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0000.jpg,010-3456-1901,1,황정준민,12,2025,␣,9C1CCC004,HWANGJEONGJUNMIN,␣,12,강남대로 지점,2025,✘,현대자동차 강남대로 지점,황정준민,1,6789055555,✔,✔,860322-3252134,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0001.jpg,010-7890-2012,3,허라태,27,2025,␣,9C1CCC004,HEORATAE,␣,27,구정 대리점,2025,✘,현대자동차 구정 대리점,허라태,03,7890166666,✔,✔,860409-3814372,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0002.jpg,010-1234-2123,5,현솔아,5,2025,␣,9C1CCC004,HYEONSORA,␣,5,수서역 대리점,2025,✘,현대자동차 수서역 대리점,현솔아,5,8901277777,✔,✔,860425-3509820,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0003.jpg,010-5678-2234,7,조별아,18,2025,␣,9C1CCC004,JOBYERA,␣,18,개포지점,2025,✘,현대자동차 개포지점,조별아,7,9012388888,✔,✔,860515-4949838,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0004.jpg,010.9012.2345,9,곽하은,11,2025,␣,9C1CCC004,GWAGHAEUN,␣,11,율곡 대리점,2025,✘,현대자동차 율곡 대리점,곽하은,9,123499999,✔,✔,860601-3007987,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0005.jpg,010 3456 2456,11,채도예,24,2025,␣,9C1CCC004,CHAEDOYE,␣,24,신사대리점,2025,✘,현대자동차 신사대리점,채도예,11,1111200000,✔,✔,860617-3948127,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0006.jpg,010 7890 2567,2,전영도,8,2025,␣,9C1CCC004,JEON YEONDO,␣,8,신대치 대리점,2025,✘,현대자동차 신대치 대리점,전영도,2,2222311111,✔,✔,860702-3105610,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0007.jpg,010 1234 2678,4,손별재태,15,2025,␣,9C1CCC004,SON BYEORJAETAE,␣,15,강남청담지점,2025,✘,현대자동차 강남청담지점,손별재태,4,3333422222,✔,✔,860718-4670945,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0008.jpg,010 5678 2789,6,반시초,22,2025,␣,9C1CCC004,BANSICHO,␣,22,남서울대리점,2025,✘,현대자동차 남서울대리점,반시초,6,4444533333,✔,✔,860804-4590928,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0009.jpg,010-9012-2890,08,송준라,03,2025,␣,9C1CCC004,SONGJUNRA,␣,03,도곡중앙 대리점,2025,✘,현대자동차 도곡중앙 대리점,송준라,08,5555644444,✔,✔,860820-3442483,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0010.jpg,010-3456-2901,10,심시서,17,2025,␣,9C1CCC004,SIMSISEO,␣,17,경복 대리점,2025,✘,현대자동차 경복 대리점,심시서,10,6666755555,✔,✔,860908-4558393,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0011.jpg,010-7890-3012,12,최채재,30,2025,␣,9C1CCC004,CHOECHAEJAE,␣,30,도산대로 지점,2025,✘,현대자동차 도산대로 지점,최채재,12,7777866666,✔,✔,860924-3770437,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0012.jpg,010-1234-3123,01,전솔빛,06,2025,␣,9C1CCC004,JEONSORBICH,␣,06,대치 지점,2025,✘,현대자동차 대치 지점,전솔빛,01,8888977777,✔,✔,861010-3087409,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0013.jpg,010-5678-3234,03,엄재민,19,2025,␣,9C1CCC004,EOM JAE MIN,␣,19,올림픽 지점,2025,✘,현대자동차 올림픽 지점,엄재민,03,9999088888,✔,✔,861026-3835912,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0014.jpg,010-9012-3345,05,장곡채빛,29,2025,␣,9C1CCC004,JANG GO GCHAEBICH,␣,29,고덕 대리점,2025,✘,현대자동차 고덕 대리점,장곡채빛,05,12123 00000,✔,✔,861113-4985817,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0015.jpg,010-3456-3456,07,마나별,09,2025,␣,9C1CCC004,MANABYEOR,␣,09,성내지점,2025,✘,현대자동차 성내 지점,마나별,07,2323411111,✔,✔,861201-3561654,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0016.jpg,010-7890-3567,9,민태재,22,2025,␣,9C1CCC004,MINTAEJAE,␣,22,길동대리점,2025,✘,현대자동차 길동 대리점,민태재,9,34345 22222,✔,✔,861217-4370516,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0017.jpg,010-1234-3678,11,양솔은,05,2025,␣,9C1CCC004,YANG SOREUN,␣,05,천호대리점,2025,✘,현대자동차 천호대리점,양솔은,11,4545633333,✔,✔,870118-4173531,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0018.jpg,010-5678-3789,02,염민빛지,14,2025,␣,9C1CCC004,YEOM MIN BICHJI,␣,14,강북중앙지점,2025,✘,현대자동차 강북중앙지점,염민빛지,02,5656744444,✔,✔,870203-4284757,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0019.jpg,010-9012-3890,04,성유채,02,2025,␣,9C1CCC004,SEONG YUCHAE,␣,02,강북대리점,2025,✘,현대자동차 강북대리점,성유채,04,6767855555,✔,✔,870219-4210115,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0020.jpg,␣,06,변도하,15,2025,␣,9C1CCC004,BYEON DOHA,␣,15,우이대리점,2025,✘,기아자동차 우이대리점,변도하,06,7878966666,✔,✔,870308-3344109,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0021.jpg,010-7890-4012,8,반채,28,2025,␣,9C1CCC004,BAN CHAE,␣,28,수유 대리점,2025,✘,기아자동차 수유 대리점,반채,8,8989077777,✔,✔,870324-3586814,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0022.jpg,010-1234-4123,10,신나나,1,2025,␣,9C1CCC004,SINNANA,␣,1,강남영동 지점,2025,✘,기아자동차 강남영동 지점,신나나,10,9090188888,✔,✔,870411-4399802,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0023.jpg,010-5678-4234,12,서재래,11,2025,␣,9C1CCC004,SEOJAERAE,␣,11,대치 갤러리 지점,2025,✘,기아자동차 대치갤러리 지점,서재래,12,1012 99999,✔,✔,870427-4268775,␣,✔
