image_path,005,000,003,007,001,006,002,004,009,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0000.jpg,황정준민,2025,현대자동차 강남대로 지점,∅,01,✔,12,1986.03.22,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0001.jpg,허라태,2025,현대자동차 구정 대리점,∅,3,✔,27,1986.4.9,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0002.jpg,현솔아,2025,현대자동차 수서역 대리점,∅,5,✔,5,1986.04.25,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0003.jpg,조별아,2025,현대자동차 개포 지점,∅,7,✔,18,1986-5-15,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0004.jpg,곽하은,2025,현대자동차 율곡 대리점,∅,9,✔,11,1986-06-01,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0005.jpg,채도예,2025,현대자동차 신사대리점,∅,11,✔,24,1986.6.17,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0006.jpg,전영도,2025,현대자동차 신대치대리점,∅,2,✔,8,1986.7.2,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0007.jpg,손별재태,2025,현대자동차 강남청담지점,∅,4,✔,15,1986.7.18,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0008.jpg,반시초,2025,현대자동차 남서울대리점,∅,6,✔,22,1986.8.4,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0009.jpg,송준라,2025,현대자동차 도곡중앙 대리점,∅,08,✔,03,1986년 08월 20일,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0010.jpg,심시서,2025,현대자동차 경복 대리점,∅,10,✔,17,1986년 09월 08일,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0011.jpg,최채재,2025,현대자동차 도산대로 지점,∅,12,✔,30,1986년 09월 24일,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0012.jpg,전솔빛,2025,현대자동차 대치 지점,∅,01,✔,06,1986년 10월 10일,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0013.jpg,엄재민,2025,현대자동차 올림픽 지점,∅,03,✔,19,1986.10.26,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0014.jpg,장곡채빛,2025,현대자동차 고덕 대리점,∅,05,✔,29,1986.11.13,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0015.jpg,마나별,2025,현대자동차 성내 지점,∅,07,✔,09,1986.12.01,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0016.jpg,민태재,2025,현대자동차 길동 대리점,∅,09,✔,22,1986.12.17,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0017.jpg,양솔은,2025,현대자동차 천호대리점,∅,11,✔,05,19870118,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0018.jpg,염민빛지,2025,현대자동차 강북중앙지점,∅,02,✔,14,1987.02.03,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0019.jpg,성유채,2025,현대자동차 강북 대리점,∅,04,✔,02,19870219,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0020.jpg,변도하,2025,기아자동차 우이대리점,∅,06,✔,15,19870308,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0021.jpg,반채,2025,기아자동차 수유 대리점,∅,8,✔,28,1987.03.24,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0022.jpg,신나나,2025,기아자동차 강남 영동지점,∅,10,✔,1,1987-04-11,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0023.jpg,서재래,2025,기아자동차 대치갤러리 지점,∅,12,✔,11,1987-04-27,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0024.jpg,윤영하,2025,기아자동차 도곡 지점,∅,01,✔,23,1987-05-17,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0025.jpg,엄빛예,2025,기아자동차 동산로 대리점,∅,3,✔,31,1987.06.03,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0026.jpg,반민하,2025,기아자동차 신사 대리점,∅,5,✔,10,1987.06.19,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0027.jpg,류우윤,2025,기아자동차 발산 대리점,∅,7,✔,25,1987.07.05,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0028.jpg,황정나,2025,기아자동차 토리 대리점,∅,9,✔,7,1987.07.21,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/A0029.jpg,백지예,2025,기아자동차 연신내 대리점,∅,11,✔,18,1987.8.7,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/D0000.jpg,문한종,2028,␣,∅,6,✘,␣,1933.2.8,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/D0001.jpg,␣,␣,"선법에서,",∅,␣,✔,28,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/D0002.jpg,␣,2035,␣,∅,␣,✔,␣,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/D0003.jpg,탁영기,2035,간편하게,∅,12,✔,25,1986-12-02,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/D0004.jpg,강하요,␣,세선02,∅,␣,✔,31,1946-03-27,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/122/D0005.jpg,␣,2012,분출한다.,∅,5,✔,16,1939-10-07,␣,␣
