image_path,015,017,033,002,041,032,040,036,008,016,013,026,027,006,038,039,042,009,024,037,035,034,030,029,028,011,005,000,025,007,001,031,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0000.jpg,✘,✘,✘,1,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,강민준,✔,␣,✘,✔,10,2025,✘,✘,✘,✘,✔,✔,1980,✘,␣,1,✔,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0001.jpg,✔,✔,✘,15,␣,✔,∅,2,✘,✘,✘,␣,✘,✘,김서연,✔,␣,✔,✔,22,25,✘,✘,✘,✔,✘,✔,1980,✘,␣,1,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0002.jpg,✘,✔,✔,2,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,박지훈,✔,␣,✘,✔,15,2025,✘,✘,✔,✘,✘,✔,80,✘,␣,2,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0003.jpg,✘,✘,✘,18,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,최수아,✔,␣,✘,✔,5,25,✔,✘,✘,✘,✔,✔,1980,✘,␣,2,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0004.jpg,✔,✔,✘,5,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,윤지우,✔,␣,✔,✔,18,2025,✘,✘,✘,✔,✘,✔,1980,✘,␣,3,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0005.jpg,✘,✔,✘,20,␣,✔,∅,1,✘,✘,✔,␣,✘,✘,송지훈,✔,␣,✘,✔,28,25,✘,✘,✔,✘,✘,✔,80,✘,␣,3,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0006.jpg,✘,✘,✔,10,␣,✘,∅,03,✔,✔,✘,␣,✔,✘,권민서,✔,␣,✘,✔,12,2025,✘,✘,✘,✘,✔,✔,1980,✘,␣,04,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0007.jpg,✔,✔,✘,25,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,임준서,✔,␣,✔,✔,8,2025,✔,✘,✘,✔,✘,✔,1980,✘,␣,04,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0008.jpg,✘,✔,✘,8,␣,✘,∅,01,✘,✘,✔,␣,✘,✘,한서준,✔,␣,✘,✔,20,2025,✔,✘,✔,✘,✘,✔,1980,✘,␣,5,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0009.jpg,✘,✘,✘,22,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,서지연,✔,␣,✘,✔,1,2025,✔,✘,✘,✘,✔,✔,1980,✘,␣,5,✘,✘,✔,✘
