image_path,015,017,022,033,051,002,041,032,040,050,036,043,019,052,016,013,027,023,038,018,100,042,009,021,024,045,102,044,037,101,035,049,034,053,054,030,020,029,028,046,011,000,003,025,001,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0000.jpg,✘,tp8tcy2sy,␣,␣,✘,OG BOM-A,␣,✘,␣,✘,✘,✘,✘,AKLA54,✔,tks8.l322.q,✘,✘,␣,monash.edu,2015,␣,경상남도 창원시 의창구 북면 마산리 369-3,g2rlt27dj0x,0843-31-066428,"경기도 시흥시 동서로 1039-4 (조남동, 조남동다세대주택)",␣,✘,✔,6,✘,✘,✘,1072988974,SFQ4MVY,✔,✘,✔,✔,✘,010-3507-2425,9305035132,2013년 월 일,␣,␣,✘,✘,✘,여자,␣,cantab.net,경상남도 거제시 장승포동 283-1 (해양식당)
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0001.jpg,✘,␣,␣,8,✘,IN UNGYEOL,그 외 기타 금융업,✔,867-67-45979,✘,✔,✘,✘,AKLA54,✔,ixqaobdzq,✔,✘,THART 띠아트,cyworld.com,2025,061-9612-8861,제주특별자치도 제주시 추자면 예초리 157-1,wo95q8mit,0286-30-514338,충청북도 청주시 서원구 사창동 138-18,␣,✔,✘,10,✔,✘,✘,1100076654,SBRME35,✔,✘,✘,✘,✘,010-0492-5006,9822516369,년 5월 20일,␣,견범준,✘,✘,✘,여자,041-2833-6833,␣,부산광역시 서구 아미동2가 108-18
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0002.jpg,✘,jpd624y.vim,␣,␣,✘,LA HAES-SAL,편조의복 제조업,✘,␣,✘,✔,✘,✔,AKLA54,✘,␣,✘,✔,해동복국,epost.de,2025,␣,경기도 화성시 송산면 지화리 512,srr5-wysls0,152-701434-240,광주광역시 남구 효천안길 21-2 (임암동),27,✘,✘,11,✘,✘,✘,1242528272,S3TTP7E,✔,✘,✔,✘,✘,␣,1533682045,년 1월 16일,␣,␣,✘,✘,✘,여자,031-6489-1362,att.net,대전광역시 중구 대둔산로31번길 62-21 (안영동)
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0003.jpg,✘,lvx_v_8c1vky,empas.com,13,✘,YEO ADAM,␣,✘,085-14-54897,✔,✘,✘,✔,AKLA54,✔,pu1uhhos,✘,✘,마망갸또,laposte.net,2019,␣,경기도 양평군 양평읍 남북로 108 (공흥리),zaoar0o9,227-114175-657,␣,15,✔,✘,12,✘,✘,✔,1290264722,SYGFRPC,✘,✔,✘,✘,✘,␣,9129811618,2016년 2월 5일,소시에테제네랄,조덕형,✘,✘,✔,여자,02-791-0280,␣,경기도 화성시 금곡동 491-7
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0004.jpg,✘,␣,att.net,6,✔,MOG SUGI,␣,✘,430-97-50466,✔,✘,✘,✘,AKLA54,✘,␣,✔,✘,안다즈 서울강남,kyonggi.ac.kr,2012,041-9010-6807,충청남도 예산군 덕산면 상가리 399-9,␣,353-766575-48,전라남도 여수시 소라면 복산리 175-1,␣,✘,✘,␣,✘,✘,✔,1367282406,SZ3J44S,✔,✘,✔,✘,✘,␣,1465496418,년 9월 14일,모건스탠리,␣,✔,✘,✘,␣,054-9835-8304,oakland.edu,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0005.jpg,✘,is4lwjhd-r83j,netsgo.com,␣,✘,HA JO-YUN,신발 도매업,✔,␣,✔,✘,✘,✘,AKLA54,✘,p179946h2,✘,✘,␣,chollian.net,␣,␣,전라남도 고흥군 도덕면 오마안길 23-16 (오마리),jhaa911,6243-84-451067,␣,20,✘,✔,8,✔,✘,✔,1246518661,S4PMS8M,✘,✘,✔,✘,✘,010-7591-5371,9512000800,년 2월 24일,중국은행,곽효신,✘,✘,✘,여자,055-5615-0681,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0006.jpg,✔,co_5x-9,␣,␣,✘,JIN CHA-YUL,기타 작물 재배업,✔,790-75-78822,✘,✘,✘,✘,AKLA54,✘,␣,✘,✘,라뷰티코아 청담 세이엇데이점,␣,2027,042-1127-0085,전북특별자치도 익산시 주현동 220-11,␣,643-90217040-69,␣,␣,✘,✘,12,✘,✔,✘,9476178323,S10IUMV,✔,✘,✔,✘,✘,010-9480-4874,1459292675,2014년 월 2일,ANZ은행,␣,✘,✔,✔,여자,061-8959-9844,␣,경상남도 함양군 안의면 강변로 161 (이전리)
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0007.jpg,✘,k55l29ipdxo.v,ieee.org,25,✘,SEON GASEUL,그 외 기타 금융업,✘,201-51-71951,✘,✔,✘,✘,AKLA54,✘,mr4785yahx,✘,✔,앤트러사이트 합정점,hunter.cuny.edu,2023,␣,␣,h0c8cud-,1763-72-386303,경상남도 산청군 금서면 향양리 630,␣,✘,✔,1,✘,✘,✔,9428227113,S2E3UXG,✔,✘,✔,✘,✔,010-7162-6222,1064683621,2026년 2월 21일,부산은행,심나해,✘,✘,✔,남자,053-4022-1322,ncsu.edu,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0008.jpg,✘,r63vt5gto2ckb,ibm.net,␣,✘,␣,"과실, 음료용 및 향신용 작물 재배업",✘,␣,✘,✘,✘,✘,AKLA54,✘,u-sglwzt,✔,✘,␣,hawaii.edu,2013,032-4399-4571,␣,h3lh_ce,518-610896-79,경상남도 통영시 도산면 도산일주로 399 (오륜리),27,✘,✘,5,✘,✘,✘,1056006554,SQPOOYL,✘,✘,✘,✘,✔,010-6966-5791,1884637061,2029년 8월 26일,␣,원선결,✔,✘,✘,␣,␣,husky.neu.edu,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/254/C0009.jpg,✘,p-j6ztu7,northwestern.edu,19,✔,YEOM BAEG,"철물, 공구, 창호 및 건설자재 소매업",✔,166-12-29613,✔,✘,✘,✘,AKLA54,✘,znl9uo733,✘,✘,옴레스토랑 마포공덕점,␣,2023,␣,␣,t-v8hui,␣,충청남도 천안시 서북구 입장면 양대리 33-5,␣,✘,✘,12,✔,✘,✔,9270785501,S83N6DE,✔,✔,✘,✔,✘,010-0028-8830,1150748045,년 8월 19일,␣,␣,✘,✔,✔,여자,064-5097-9470,japanmail.com,강원특별자치도 횡성군 횡성읍 마산로71번길 21 (마산리)
