image_path,015,017,002,014,019,008,011,016,005,000,013,003,007,001,006,018,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0000.jpg,대륙엔지니어링,∅,대륙엔지니어링,15,␣,홍수현,✔,✔,␣,홍수현,01,␣,✘,강남지점,␣,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0001.jpg,부전수산,∅,부전수산,22,␣,서도준,✔,✔,␣,서도준,3,␣,✔,서초지점,서도준,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0002.jpg,연천상운,∅,연천상운,8,␣,선우수예,✔,✔,␣,선우수예,5,␣,✔,잠실지점,선우수예,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0003.jpg,대구컴퓨터학원,∅,대구컴퓨터학원,11,␣,설예초호나래,✔,✔,␣,설예초호나래,7,␣,✔,종로지점,설예초호나래,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0004.jpg,(주)수호전자,∅,(주)수호전자,3,␣,기초유,✔,✔,␣,기초유,9,␣,✔,분당지점,기초유,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0005.jpg,㈜ 아주산업,∅,(주)아주산업,29,␣,장준아,✔,✔,␣,장준아,11,␣,✔,판교지점,장준아,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0006.jpg,(주)세미레외장,∅,(주)세미레외장,04,␣,모유연,✔,✔,␣,모유연,02,␣,✔,광명지점,모유연,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0007.jpg,태백약초영농조합,∅,태백약초영농조합,23,␣,구본채재,✔,✔,␣,구본채재,5,␣,✔,천안지점,구본채재,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0008.jpg,(주)미래ENG,∅,(주)미래ENG,05,␣,변은솔,✔,✔,␣,변은솔,07,␣,✔,대전지점,변은솔,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0009.jpg,㈜ 대상,∅,(주)대상,12,␣,천라예,✔,✔,␣,천라예,08,␣,✔,울산지점,천라예,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0010.jpg,(주)뉴컴퍼니,∅,(주)뉴컴퍼니,07,␣,류예현,✔,✔,␣,류예현,10,␣,✔,부산지점,류예현,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0011.jpg,(주)광명도장산업,∅,(주)광명도장산업,31,␣,임나래슬,✔,✔,␣,임나래슬,12,␣,✔,인천지점,임나래슬,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0012.jpg,㈜ 얼음골샘물,∅,(주)얼음골샘물,9,␣,민나수,✔,✔,␣,민나수,1,␣,✔,대구지점,민나수,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0013.jpg,삼성주택㈜,∅,삼성주택(주),16,␣,금유현,✔,✔,␣,금유현,03,␣,✔,광주지점,금유현,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0014.jpg,삼성석유화학(주),∅,삼성석유화학(주),23,␣,허태현,✔,✔,␣,허태현,05,␣,✔,제주지점,허태현,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0015.jpg,의료법인라파엘의료재단세명재활의학병원,∅,의료법인라파엘의료재단세명재활의학병원,05,␣,하남슬,✔,✔,␣,하남슬,07,␣,✔,강릉지점,하남슬,␣,␣,✔,2025,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/265/A0016.jpg,개인용달(부산90자9450),∅,개인용달(부산90자9450),19,␣,최채라,✔,✔,␣,최채라,09,␣,✔,전주지점,최채라,␣,␣,✔,2025,✔
