image_path,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,101,083,076,049,081,020,029,064,028,011,072,077,003,025,001,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,084,034,053,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0000.jpg,✘,✘,국방 행정,✔,✘,YU MAKEOSEU,✘,✔,✘,류에리카,9487291711,✘,경상남도 함양군 서하면 옥환길 86-91 (운곡리),✘,✘,경기도 성남시 수정구 수진동 4180,✘,경늘해랑,␣,✘,✘,✔,✔,아이들은,✔,✔,✘,✘,✘,1928.10.03,✔,␣,2020,✔,␣,✘,␣,␣,콜롬비아,juilliard.edu,경상남도 김해시 명법동 1,느낌을,✘,✘,1966-09-17,최광운,␣,U1E9IGM,✘,NAM BISEUL,연결되는,ABOL02,YUG HOSEOG,␣,✘,✘,한국은행,25,벨라루스,j3ngyk-,✔,␣,✘,✔,fwstn4_6zc,20,✘,t6hgt_6u,pm.me,✘,✔,승우심,northwestern.edu,✘,남자,✘,✘,✘,␣,✘,✘,␣,✔,✘,667483-33-023860,␣,1954/5/7,1015577808,사태은,␣,중국교통은행,␣,␣,876-21-16407,␣,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0001.jpg,✔,✘,"철강 압연, 압출 및 연신제품 제조업",✘,✔,JE ASIN,✔,✔,✘,␣,9296656699,✘,␣,✘,✘,충청남도 논산시 양촌면 남산리 411,✔,인자윤,054-0274-0820,✘,✔,✘,✘,사기그릇을,✔,✘,✘,✘,✘,1915.07.01,✔,041-2067-6567,␣,✘,483-11-27908,✔,심혜옥,221-984583-43767,온두라스,adobe.com,␣,물곬으로,✘,✘,␣,황태휘,010-3116-9856,U6BNNA8,✔,YU JUNHYEOG,␣,ABOL02,GI JONGGU,허자함,✘,✘,JP모건체이스,␣,크로아티아,␣,✘,파트장,✔,✔,zzsk5od,15,✘,␣,fmail.ru,✘,✔,제난주,␣,✘,여자,✔,✘,✘,␣,✘,✘,␣,✘,✘,5351-42-571077,손자,␣,1380900872,범마리나,거꾸로,␣,"집행에서,",␣,552-84-76595,␣,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0002.jpg,✔,✘,␣,✘,✘,␣,✘,✔,✘,␣,1027711743,✘,서울특별시 은평구 구산동 152-3 (구산초등학교),✘,✘,경상남도 밀양시 상남면 대성3길 11 (기산리),✘,␣,␣,✔,✘,✔,✔,헐,✔,✘,✘,✘,✘,␣,✔,031-2004-6793,2012,✘,896-85-47016,✘,예한나김,671-03968699-24,마카오,iemail.com,경상북도 예천군 감천면 금댕이길 105 (대맥리),견디다.,✘,✘,1945/9/21,형노라,010-0968-3056,UTMFXSV,✘,␣,그,ABOL02,HAM GYEONGHUI,류경희,✘,✘,카카오뱅크,14,␣,l9176r9ku2k8,✘,␣,✘,✔,jdggfx1xla8,21,✘,mg908j6,alum.mit.edu,✘,✘,유용규,juno.com,✘,여자,✘,✘,✘,2015.11.13,✘,✔,행동은,✘,✘,202402-41-918556,자매,␣,1496624497,편장한,␣,한국산업은행,"기침,",␣,␣,053-8883-3523,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0003.jpg,✔,✘,기타 플라스틱 제품 제조업,✔,✘,SEOG HALYEONG,✔,✔,✘,유정승,1568229622,✘,전라남도 보성군 보성읍 우산리 41-2 (마리솔빌리지),✘,✔,경상남도 창원시 마산합포구 산호동 31-48,✘,연송리,063-8707-2033,✘,✘,✔,✘,␣,✔,✘,✘,✘,✘,1909.10.1,✘,043-4046-4931,2021,✘,966-68-39267,✘,␣,␣,시리아,juilliard.edu,␣,세상.,✘,✘,1963.09.03,권영준,010-3881-3386,U7EFH4N,✘,␣,␣,ABOL02,SO NA-U,시명향,✘,✘,␣,␣,␣,␣,✘,␣,✘,✔,zvfhh8yn,26,✘,smeanu6.olq8,jredmail.com,✘,✘,␣,␣,✔,여자,✔,✘,✘,1945-05-29,✔,✘,이귀하여,✘,✔,␣,조부,1986년 5월 15일,9551587924,␣,우선,소시에테제네랄,쓰일,10,␣,041-7620-7703,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0004.jpg,✘,✔,␣,✔,✘,U HWIGYEONG,✔,✔,✘,금금주,1338428729,✘,␣,✔,✔,경상남도 합천군 삼가면 일부리 383-2,✔,경근민,051-7459-8408,✘,✘,✘,✘,␣,✔,✘,✘,✔,✘,1954.06.15,✘,062-8778-5462,2026,✘,␣,✔,채나람,␣,몰디브,husky.neu.edu,␣,불.,✘,✘,1935.03.14,␣,010-6523-8146,UR45BOX,✔,HYEON ELLA,울리는,ABOL02,SEON GEON-YEOB,␣,✔,✘,도이체방크,20,␣,␣,✔,프로젝트 매니저,✔,✘,oyweutx,20,✘,pxi0kw4.b99,␣,✘,✔,명솔윤,␣,✘,여자,✘,✘,✔,1996.05.05,✘,✘,심판의,✘,✘,␣,배우자,2015년 5월 8일,1340855496,␣,요망한,␣,"새,",10,␣,061-1458-8271,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0005.jpg,✘,✘,특수학교,✘,✘,YUN SONGJAE,✔,✔,✘,기준검,9208129835,✔,서울특별시 광진구 자양로32길 44-17 (구의동),✘,✔,경상북도 청송군 주왕산면 하의리 384-2,✘,부모건,041-8222-7861,✔,✔,✘,✔,␣,✔,✘,✔,✔,✘,1999.02.05,✔,␣,␣,✘,␣,✘,팽하룬,619-67719547-69,␣,icloud.com,경상북도 경산시 용성면 외촌1길 135 (외촌리),␣,✔,✘,1999.3.30,사공미이,010-6358-4366,UYIB1B2,✘,␣,엮은,ABOL02,KIM AMA-YA,팽유태,✘,✘,␣,24,루마니아,b1q746h1,✘,본부장,✘,✘,n2kdqqjhpkj,␣,✘,␣,glover.com,✘,✘,옥원택,o2.pl,✘,여자,✘,✔,✔,␣,✘,✘,␣,✘,✔,␣,␣,␣,9321547423,␣,저체온수술,한국은행,용어.,1,639-16-34036,033-0437-0089,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0006.jpg,✘,✘,␣,✔,✔,WON SAE-AN,✘,✔,✘,갈지엽,9514234698,✘,경상남도 하동군 적량면 고절리 1246-5,✘,✘,제주특별자치도 서귀포시 성산읍 신천서로 39-1 (신천리),✘,␣,␣,✔,✘,✘,✘,중국을,✔,✘,✘,✘,✘,2043.5.30,✘,␣,2029,✘,␣,✔,␣,␣,쿠바,apple.com,경기도 수원시 영통구 원천동 30-5 (수양아파트),␣,✘,✘,2042년 1월 25일,맹담,010-0465-0800,U9DX5KX,✘,BANG HYEON-O,␣,ABOL02,JI AESIM,␣,✔,✘,한국수출입은행,17,이라크,saydzhc0,✘,␣,✘,✘,␣,␣,✘,c4-_fle,amazon.com,✘,✔,엄수남,gatorzone.com,✘,남자,✔,✘,✘,2019년 1월 31일,✘,✘,이르는,✘,✘,793-687047-61670,형제자매,1978/10/14,1015904614,견리브가,뜻을,␣,차량,␣,608-17-60680,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0007.jpg,✘,✘,운송장비용 연료 소매업,✔,✘,CHEON GEONGUG,✔,✘,✘,팽영규,1027025890,✘,␣,✘,✘,충청북도 음성군 금왕읍 각구실길223번길 139 (각회리),✘,왕하움,052-1751-5180,✔,✔,✘,✘,␣,✘,✘,✘,✘,✘,2015.7.7,✔,042-8393-2187,␣,✘,719-63-22688,✔,반빈우,␣,␣,␣,서울특별시 노원구 상계동 101-101,␣,✔,✔,␣,천태흥,␣,UEP30BX,✔,MOG SIJI,먹감나무농,ABOL02,O HEONJUN,␣,✘,✔,ANZ은행,1,이탈리아,o2qy941gk,✘,␣,✘,✔,bi09jsp4eu,30,✘,oju8vw6,howard.edu,✔,✘,고은택,fau.edu,✘,여자,✔,✘,✔,␣,✔,✔,␣,✔,✘,876-127017-38062,손자,1993-05-21,1751028898,원보배,결합한,␣,이용하여,6,799-19-64171,␣,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0008.jpg,✘,✔,"오디오, 스피커 및 기타 음향 기기 제조업",✘,✔,MUN TAEGIL,✘,✔,✔,␣,1053811854,✘,대구광역시 달서구 달구벌대로344길 15-12 (두류동),✘,✔,경상북도 경주시 황성동 485-7,✘,좌마리,063-4358-6978,✘,✘,✔,✔,마지막,✔,✘,✘,✔,✔,1916/3/7,✔,043-1375-0187,2022,✘,309-22-97640,✘,␣,␣,␣,␣,전북특별자치도 전주시 완산구 서완산동2가 80-17,␣,✘,✔,1960년 11월 16일,손명환,010-2783-1273,UF1TOID,✘,␣,테이프,ABOL02,GIL NAMJU,한종열,✔,✘,중국은행,␣,␣,s37dniayfdpvo,✘,␣,✘,✘,hc-uo.cubzw,␣,✘,␣,␣,✘,✘,상오연,hanmir.com,✔,남자,✘,✘,✘,1904/4/27,✘,✔,쓰인다.,✘,✘,3821-95-271433,손자,␣,9180291232,용재룡,것은,한국은행,독차지하려는,7,␣,063-9501-6868,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0009.jpg,✘,✔,␣,✘,✘,␣,✘,✔,✘,민무헌,9946473115,✘,␣,✔,✔,경기도 남양주시 화도읍 가곡리 273-36,✘,황보진협,031-1961-1186,✘,✔,✘,✘,빼앗다.,✔,✘,✔,✘,✘,1947.8.19,✔,032-6375-9180,␣,✔,␣,✔,은아마네,814296-57-146935,룩셈부르크,␣,␣,그렇게,✘,✘,1948년 2월 9일,상닻별,010-1947-5955,UH1Q536,✘,␣,따위를,ABOL02,KIM LO-UL,␣,✔,✔,␣,␣,␣,tb5.bp3rp21y,✔,주임,✘,✘,ds4_iqrov_,␣,✘,fxk4jp2m9f,␣,✘,✘,장사희,ncsu.edu,✘,남자,✘,✔,✘,1966-08-17,✘,✘,상태에,✘,✘,␣,조부모,1923.09.19,1056440174,단자연,바치거나,␣,사다리꼴에서,6,185-89-12495,␣,✔,✘
