image_path,015,017,022,033,002,041,032,040,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,044,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0000.jpg,✘,✘,✔,✘,✔,✔,✘,사나후,␣,1954584678,✘,✔,✔,041-8948-8678,✘,✘,✘,✔,11,␣,✘,∅,✘,✘,✘,APPOV56,2021,✘,✘,✔,✘,✘,✘,전라남도 여수시 충민로 266-1 (공화동),␣,✘,✘,✘,✔,✘,✘,✘,여군,✔,19
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0001.jpg,✘,✘,✘,✘,✘,✘,✘,박서량,천,9968468743,✘,✘,✘,052-120-0556,✘,✘,✔,✔,8,␣,✘,∅,✔,✘,✔,A5KDI9B,2030,✔,✘,✔,✘,✘,✘,␣,적음.,✔,✔,✘,✔,✔,✘,✘,송세호,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0002.jpg,✘,✔,✔,✔,✔,✘,✘,탁내원,그런,9807333822,✘,✘,✘,063-2222-2108,✘,✘,✘,✘,2,21,✘,∅,✘,✔,✘,AFHC00R,2021,✘,✘,✘,✘,✘,✘,경기도 화성시 동탄기흥로257번나길 34-8 (방교동),␣,✔,✔,✔,✘,✘,✘,✘,␣,✔,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0003.jpg,✘,✘,✘,✔,✘,✘,✘,노로열,␣,9350163985,✘,✔,✔,041-6013-3459,✘,✘,✔,✘,4,8,✘,∅,✔,✘,✔,AKIO31E,2016,✔,✘,✘,✘,✘,✔,부산광역시 중구 망양로 325 (대청동4가),␣,✘,✘,✔,✔,✔,✘,✔,남궁영자,✔,17
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0004.jpg,✘,✘,✔,✘,✘,✔,✘,␣,이르는,1926443105,✔,✔,✘,032-3614-8375,✘,✘,✘,✘,2,␣,✔,∅,✔,✘,✔,AHHENE2,2027,✘,✘,✘,✘,✘,✘,␣,장폐한,✔,✘,✘,✘,✘,✘,✘,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0005.jpg,✔,✘,✔,✘,✘,✔,✘,배노아,주기적으로,1211064684,✔,✘,✔,061-8535-7676,✘,✘,✘,✘,11,␣,✔,∅,✘,✘,✘,A2G0RP6,2028,✘,✔,✔,✘,✘,✔,␣,도시.,✘,✘,✘,✘,✘,✘,✘,송영헌,✘,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0006.jpg,✘,✘,✘,✔,✔,✔,✔,␣,시구.,1304276765,✔,✘,✘,␣,✔,✘,✘,✘,␣,13,✘,∅,✔,✘,✘,AE2T2YB,2015,✔,✘,✘,✔,✘,✘,서울특별시 강동구 길동 104,번뜻,✘,✔,✘,✘,✘,✘,✔,허위니,✘,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0007.jpg,✘,✔,✔,✘,✘,✔,✘,␣,바라보기,1489021925,✘,✘,✘,␣,✔,✘,✔,✘,9,2,✔,∅,✘,✔,✘,AMEWAYW,2014,✘,✔,✘,✔,✘,✘,␣,␣,✘,✘,✔,✘,✘,✘,✔,옥나이,✘,36
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0008.jpg,✘,✘,✘,✘,✔,✔,✘,석규호,␣,1505138819,✔,✘,✘,␣,✘,✔,✔,✘,6,12,✔,∅,✘,✘,✘,AQA1UH8,␣,✔,✘,✘,✘,✔,✔,␣,때문에,✘,✔,✘,✘,✘,✔,✔,견설,✔,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0009.jpg,✔,✔,✘,✔,✘,✘,✘,박진슬,␣,1699475282,✔,✔,✔,051-9165-4774,✘,✔,✘,✘,␣,14,✘,∅,✘,✘,✘,AS3PX09,2024,✘,✘,✔,✔,✘,✘,경상북도 상주시 모서면 백학리 174,␣,✔,✘,✘,✔,✔,✘,✘,진언비,✘,4
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/C0010.jpg,✘,✔,✘,✔,✘,✔,✘,백화정,␣,9803599253,✘,✔,✘,062-1740-3191,✘,✘,✘,✔,␣,␣,✔,∅,✘,✘,✔,ASU276O,2012,✔,✘,✘,✘,✘,✘,␣,말을,✘,✔,✘,✘,✔,✘,✔,목현인,✘,7
