image_path,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,102,101,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0000.jpg,␣,✘,␣,✔,✘,og Jaejae,✘,✘,␣,01,옥재재,␣,␣,␣,✘,␣,␣,ALRC53,010-3456-2456,✘,00-15-1234-16,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1981,␣,옥재재,✘,✘,␣,✘,✘,␣,✘,✘,␣,2025,✘,✘,✔,␣,발렉스건설기계,␣,15,␣,✔,✘,✘,␣,✘,29,세종시장,✘,✘,␣,✔,✘,␣,␣,␣,␣,✘,✘,␣,1991.02.08,␣,09,✘,✔,✔,✘,✘,1988,␣,✔,␣,␣,␣,␣,␣,␣,24,195990231716,✘,✘,␣,✘,✘,11,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0001.jpg,␣,✘,␣,✔,✘,WANGJINNA,✘,✘,␣,3,왕진나,␣,␣,␣,✘,␣,␣,ALRC53,010.7890.2567,✘,01.16.5678.17,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1981,␣,왕진나,✘,✘,␣,✘,✘,␣,✘,✘,␣,2025,✘,✘,✔,␣,이화발레학원,␣,22,␣,✔,✘,✘,␣,✘,15,대전시장,✘,✘,␣,✘,✘,␣,␣,␣,␣,✘,✘,␣,2005.02.18,␣,7,✘,✔,✔,✘,✘,1981,␣,✔,␣,␣,␣,␣,␣,␣,11,199883781830,✘,✘,␣,✘,✘,12,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0002.jpg,␣,✘,␣,✔,✘,MINSORNA,✘,✘,␣,5,민솔나,␣,␣,␣,✘,␣,␣,ALRC53,010.1234.2678,✘,02.17.9012.18,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1981,␣,민솔나,✘,✘,␣,✘,✘,␣,✘,✘,␣,2025,✘,✘,✔,␣,케리홈치킨,␣,8,␣,✔,✘,✘,␣,✘,10,경기시장,✘,✘,␣,✘,✘,␣,␣,␣,␣,✘,✘,␣,2012.06.06,␣,12,✘,✔,✔,✘,✘,1984,␣,✔,␣,␣,␣,␣,␣,␣,27,196147065096,✘,✘,␣,✘,✘,12,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0003.jpg,␣,✘,␣,✔,✘,MYEONGRACHAE,✘,✘,␣,7,명라채,␣,␣,␣,✘,␣,␣,ALRC53,01056782789,✘,03-18-3456-19,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1982,␣,명라채,✘,✘,␣,✘,✘,␣,✘,✘,␣,2025,✘,✘,✔,␣,개별용달 ( 김상남 ),␣,11,␣,✔,✘,✘,␣,✘,2,대구시장,✘,✘,␣,✘,✘,␣,␣,␣,␣,✘,✘,␣,2020.07.10,␣,4,✘,✔,✔,✘,✘,1987,␣,✔,␣,␣,␣,␣,␣,␣,3,197238132241,✘,✘,␣,✘,✘,1,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0004.jpg,␣,✘,␣,✔,✘,IMYUNRA,✘,✘,␣,9,임윤라,␣,␣,␣,✘,␣,␣,ALRC53,01090122890,✘,04-19-7890-20,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1982,␣,임윤라,✘,✘,␣,✘,✘,␣,✘,✘,␣,2025,✘,✘,✔,␣,대한냉장유통,␣,3,␣,✔,✘,✘,␣,✘,19,부산시장,✘,✘,␣,✘,✘,␣,␣,␣,␣,✘,✘,␣,1991.4.22,␣,8,✘,✔,✔,✘,✘,1983,␣,✔,␣,␣,␣,␣,␣,␣,19,198778337785,✘,✘,␣,✘,✘,1,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0005.jpg,␣,✘,␣,✘,✘,JINDOJUN,✘,✘,␣,11,진도준,␣,␣,␣,✘,␣,␣,ALRC53,01034562901,✘,05-20-1234-21,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1982,␣,진도준,✘,✘,␣,✘,✘,␣,✘,✔,␣,2025,✘,✘,✔,␣,␣,␣,29,␣,✘,✘,✘,␣,✘,␣,광주시장,✘,✘,␣,✔,✘,␣,␣,␣,␣,✘,✘,␣,2008.10.13,␣,␣,✘,✘,✔,✘,✘,␣,␣,✔,␣,␣,␣,␣,␣,␣,11,192516730247,✘,✘,␣,✔,✘,02,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0006.jpg,␣,✘,␣,✘,✘,BYEONSIBICH,✘,✘,␣,02,변시빛,␣,␣,␣,✘,␣,␣,ALRC53,010-7890-3012,✘,06-21-5678-22,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1982,␣,변시빛,✘,✘,␣,✘,✘,␣,✘,✔,␣,2025,✘,✘,✔,␣,␣,␣,04,␣,✘,✘,✘,␣,✘,␣,울산시장,✘,✘,␣,✔,✘,␣,␣,␣,␣,✘,✘,␣,2004.06.29,␣,␣,✘,✘,✔,✘,✘,␣,␣,✔,␣,␣,␣,␣,␣,␣,1,193783078340,✘,✘,␣,✔,✘,3,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0007.jpg,␣,✘,␣,✘,✘,BYEONYEONGSEO,✘,✘,␣,04,변영서,␣,␣,␣,✘,␣,␣,ALRC53,010.1234.3123,✘,07-22-9012-23,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1982,␣,변영서,✘,✘,␣,✘,✘,␣,✘,✔,␣,2025,✘,✘,✔,␣,␣,␣,18,␣,✘,✘,✘,␣,✘,␣,울산시장,✘,✘,␣,✔,✘,␣,␣,␣,␣,✘,✘,␣,1995.07.25,␣,␣,✘,✘,✔,✘,✘,␣,␣,✔,␣,␣,␣,␣,␣,␣,17,192883482072,✘,✘,␣,✔,✘,03,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0008.jpg,␣,✘,␣,✘,✘,IMHYEONBICH,✘,✘,␣,06,임현빛,␣,␣,␣,✘,␣,␣,ALRC53,010.5678.3234,✘,08-23-3456-24,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1982,␣,임현빛,✘,✘,␣,✘,✘,␣,✘,✔,␣,2025,✘,✘,✔,␣,␣,␣,25,␣,✘,✘,✘,␣,✘,␣,대전시장,✘,✘,␣,✔,✘,␣,␣,␣,␣,✘,✘,␣,2004.09.10,␣,␣,✘,✘,✔,✘,✘,␣,␣,✔,␣,␣,␣,␣,␣,␣,04,192816273644,✘,✘,␣,✔,✘,04,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/422/A0009.jpg,␣,✘,␣,✘,✘,JISUHA,✘,✘,␣,08,지수하,␣,␣,␣,✘,␣,␣,ALRC53,010-9012-3345,✘,09-24-7890-25,✘,␣,␣,✘,✘,␣,✘,␣,✘,✘,✘,✘,␣,✘,1982,␣,지수하,✘,✘,␣,✘,✘,␣,✘,✔,␣,2025,✘,✘,✔,␣,␣,␣,12,␣,✘,✘,✘,␣,✘,␣,인천시장,✘,✘,␣,✔,✘,␣,␣,␣,␣,✘,✘,␣,2017.08.07,␣,␣,✘,✘,✔,✘,✘,␣,␣,✔,␣,␣,␣,␣,␣,␣,20,199031080992,✘,✘,␣,✔,✘,04,␣,✘,␣
