image_path,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0000.jpg,811124-4006349,✔,␣,✔,✘,옥재재,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0001.jpg,811211 3170997,✔,␣,✔,✘,왕진나,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0002.jpg,811227 3691015,✔,␣,✔,✘,민솔나,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0003.jpg,820103 4005984,✔,␣,✔,✘,명라채,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0004.jpg,820119 4453954,✔,␣,✔,✘,임윤라,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0005.jpg,820211-12345678,✔,␣,✔,✘,진도준,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0006.jpg,820301-32165498,✔,␣,✔,✘,변시빛,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0007.jpg,820317-14569872,✔,␣,✔,✘,변영서,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0008.jpg,820404-25478963,✔,␣,✔,✘,임현빛,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0009.jpg,820420-14785236,✔,␣,✔,✘,지수하,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0010.jpg,890122-4400185,✔,␣,✔,✘,하남하,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0011.jpg,890207-3114981,✔,␣,✔,✘,현슬서,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0012.jpg,890223-3238476,✔,␣,✔,✘,탁아성,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0013.jpg,890312-4673811,✔,␣,✔,✘,남궁진,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0014.jpg,890328-3552526,✔,␣,✔,✘,지슬호,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0015.jpg,890414-4709725,✔,␣,✔,✘,민진빛,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0016.jpg,890501-4537166,✔,␣,✔,✘,연솔하,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0017.jpg,890517-3323995,✘,␣,✔,✘,안솔윤,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0018.jpg,890607-3741465,✘,␣,✔,✘,류영솔,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0019.jpg,890623-3793314,✔,␣,✔,✘,백 시우,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0020.jpg,890709-3878574,✔,␣,✔,✘,장우영,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0021.jpg,890725-4656996,✔,␣,✔,✘,진시채,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0022.jpg,890811-4728903,✔,␣,✔,✘,천나연,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0023.jpg,890827-3024634,✔,␣,✔,✘,하은라,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0024.jpg,890903-4286470,✔,␣,✔,✘,채채서,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0025.jpg,890919-4875288,✔,␣,✔,✘,지빛별,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0026.jpg,891005 4797835,✔,␣,✔,✘,안초유,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0027.jpg,891021 4427248,✔,␣,✔,✘,문서라,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0028.jpg,891107-3240793,✔,␣,✔,✘,명우하,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/A0029.jpg,891123-4681099,✔,␣,✔,✘,차예현,␣,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0000.jpg,103-58-55390,✘,␣,✔,✘,␣,2016,13,1519530229,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0001.jpg,340-60-29412,✔,8,✘,✔,␣,2031,6,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0002.jpg,246-01-29217,✘,2,✔,✘,제갈인송,2033,␣,1408714430,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0003.jpg,886-48-11972,✘,9,✘,✘,␣,2024,4,␣,T9FMIWB,SP10NBA002
