image_path,011,005,007,006,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0000.jpg,␣,01,옥재재,15,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0001.jpg,␣,03,왕진나,22,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0002.jpg,␣,05,민솔나,08,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0003.jpg,␣,07,명라채,11,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0004.jpg,␣,11,진도준,29,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0005.jpg,␣,09,임윤라,03,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0006.jpg,␣,02,변시빛,04,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0007.jpg,␣,04,변영서,18,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0008.jpg,␣,06,임현빛,25,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0009.jpg,␣,08,지수하,12,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0010.jpg,␣,10,하남하,07,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0011.jpg,␣,12,현슬서,31,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0012.jpg,␣,01,탁아성,09,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0013.jpg,␣,03,남궁진,16,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0014.jpg,␣,05,지슬호,23,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0015.jpg,␣,07,민진빛,05,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0016.jpg,␣,09,연솔하,19,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0017.jpg,␣,11,안솔윤,14,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0018.jpg,␣,02,류영솔,28,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0019.jpg,␣,04,백시우,01,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0020.jpg,␣,06,장우영,17,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0021.jpg,␣,08,진시채,24,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0022.jpg,␣,10,천나연,10,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0023.jpg,␣,12,하은라,08,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0024.jpg,␣,01,채채서,21,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0025.jpg,␣,03,지빛별,30,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0026.jpg,␣,05,안초유,10,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0027.jpg,␣,07,문서라,26,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0028.jpg,␣,09,명우하,06,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/A0029.jpg,␣,11,차예현,20,2025,9COTTT002,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/D0000.jpg,␣,␣,가건명,28,2033,9COTTT002,9735059469,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/D0001.jpg,A4VQ2T0,4,김체희,12,␣,9COTTT002,9722653793,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/D0002.jpg,AON0PA1,␣,은규창,20,2008,9COTTT002,1268474157,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/435/E0000.jpg,␣,2,␣,1,␣,9COTTT002,9074461798,✔
