image_path,015,017,022,033,002,032,019,008,016,013,026,027,006,023,018,009,021,024,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0000.jpg,␣,✘,␣,∅,K8,✘,␣,✔,␣,류영태,✘,␣,✔,✘,␣,1201110682808,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,이시우네,47카 2345,✔,1201110682808,␣,␣,✔,1983.04.05,✔,이시우네
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0001.jpg,␣,✘,␣,∅,셀토스,✘,␣,✔,␣,차하나,✘,␣,✔,✘,␣,2849110339612,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,명문건축,48가 6789,✔,2849110339612,␣,␣,✔,1983.04.21,✔,명문건축
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0002.jpg,␣,✘,␣,∅,스포티지,✘,␣,✔,␣,장하나,✘,␣,✔,✘,␣,2844710017189,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,은광전기조명,49타 0123,✔,2844710017189,␣,␣,✔,1983.05.11,✔,은광전기조명
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0003.jpg,␣,✘,␣,∅,쏘렌토,✘,␣,✔,␣,강지솔,✘,␣,✔,✘,␣,2802110174595,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,청도 체육관,50하 4567,✔,280211017495,␣,␣,✔,1983.5.27,✔,청도체육관
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0004.jpg,␣,✘,␣,∅,EV6,✘,␣,✔,␣,하재나,✘,␣,✔,✘,␣,2301110334620,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,계명피아노교습소,51파 8901,✔,2301110334620,␣,␣,✔,1983-6-8,✔,계명피아노교습소
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0005.jpg,␣,✘,␣,∅,EV9,✘,␣,✔,␣,성유지,✘,␣,✔,✘,␣,2001210028319,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,(주)네트인 정보기술,52가 2345,✔,2001210028319,␣,␣,✔,1983.06.24,✔,(주)네트인정보기술
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0006.jpg,␣,✘,␣,∅,봉고3,✘,␣,✘,␣,정나,✘,␣,✘,✘,␣,2001110101207,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,주식회사 더스쿠프,53하 6789,✘,2001110101207,␣,␣,✘,1983.07.14,✔,주식회사 더스쿠프
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0007.jpg,␣,✘,␣,∅,카니발,✘,␣,✔,␣,유슬영,✘,␣,✔,✘,␣,1911110094305,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,캐리어티에스(주),54나 0123,✔,1911110094305,␣,␣,✔,1983-07-30,✔,캐리어티에스(주)
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0008.jpg,␣,✘,␣,∅,쏘울부스터,✘,␣,✔,␣,도나래,✘,␣,✔,✘,␣,1801111155084,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,에오스,55가 4567,✔,1801111155084,␣,␣,✔,1983-08-11,✔,에오스
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0009.jpg,␣,✘,␣,∅,포터 2,✘,␣,✔,␣,곽하나,✘,␣,✔,✘,␣,1701320001228,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,(주)두레원미래,56하 8901,✔,1701320001228,␣,␣,✔,1983-08-27,✔,(주)두레원미래
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0010.jpg,␣,✘,␣,∅,마이티,✘,␣,✔,␣,여슬영,✘,␣,✔,✘,␣,1701110715366,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,NONAME,57다 2345,✔,1701110715366,␣,␣,✔,1983-09-15,✔,NONAME
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0011.jpg,␣,✘,␣,∅,G70,✘,␣,✔,␣,송서윤,✘,␣,✔,✘,␣,1613110027100,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,(주)디엠산업,58가 6789,✔,1613110027100,␣,␣,✔,1983-10-01,✔,(주)디엠산업
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0012.jpg,␣,✘,␣,∅,G80,✘,␣,✔,␣,선우태,✘,␣,✔,✘,␣,1501110221759,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,케이에스스마트,59라 0123,✔,1501110221759,␣,␣,✔,1983-10-17,✔,케이에스스마트
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0013.jpg,␣,✘,␣,∅,G90,✘,␣,✔,␣,전도은,✘,␣,✔,✘,␣,1358110326017,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,(주)중소기업산업연구원,60하 4567,✔,1358110326017,␣,␣,✔,19831103,✔,(주)중소기업산업연구원
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0014.jpg,␣,✘,␣,∅,GV60,✘,␣,✘,␣,하윤초,✘,␣,✘,✘,␣,1349110140838,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,한국해양수산,61마 8901,✘,1349110140838,␣,␣,✘,19831119,✔,한국해양수산
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0015.jpg,␣,✘,␣,∅,GV70,✘,␣,✔,␣,하호우,✘,␣,✔,✘,␣,1348110418930,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,월드스틸(주),62가 2345,✔,1348110418930,␣,␣,✔,1983-12-06,✔,월드스틸(주)
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0016.jpg,␣,✘,␣,∅,GV80,✘,␣,✔,␣,제갈지,✘,␣,✔,✘,␣,1344140002842,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,금암 교회,63바 6789,✔,1344140002842,␣,␣,✔,1983-12-22,✔,금 암 교회
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0017.jpg,␣,✘,␣,∅,아반테,✘,␣,✔,␣,진도솔,✘,␣,✔,✘,␣,1341110656625,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,모든(장한평),64하 0123,✔,1341110656625,␣,␣,✔,1984-01-12,✔,모든(장한평)
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0018.jpg,␣,✘,␣,∅,쏘나타,✘,␣,✔,␣,장준나,✘,␣,✔,✘,␣,1341110089719,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,만두빗는사람들,65사 4567,✔,1341110089719,␣,␣,✔,1984 01 28,✔,만두빗는사람들
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0019.jpg,␣,✘,␣,∅,그랜져,✘,␣,✔,␣,이준준,✘,␣,✔,✘,␣,1314110533466,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,조은식품,66가 8901,✔,1314110533466,␣,␣,✔,1984.02.15,✔,조은식품
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0020.jpg,␣,✘,␣,∅,K8,✘,␣,✘,␣,김민준,✘,␣,✘,✘,␣,1314110496870,␣,␣,␣,␣,␣,✘,✘,␣,✔,✘,㈜ 로봇택시,58다 2346,✘,1314110496870,␣,␣,✘,1995.07.15,✔,(주) 로봇택시
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0021.jpg,␣,✘,␣,∅,셀토스,✘,␣,✔,␣,이서연,✘,␣,✔,✘,␣,1313110056022,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,주)슈퍼카레이서,78가 1234,✔,1313110056022,␣,␣,✔,1988-12-24,✔,주)슈퍼카레이서
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0022.jpg,␣,✘,␣,∅,스포티지,✘,␣,✔,␣,박도현,✘,␣,✔,✘,␣,1313110034024,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,주)번개돌이,19라 8456,✔,1313110034024,␣,␣,✔,2002-03-08,✔,주)번개돌이
/mnt/AI_NAS/Data/현대캐피탈/data/images/437/A0023.jpg,␣,✘,␣,∅,쏘렌토,✘,␣,✔,␣,최지우,✘,␣,✔,✘,␣,1311110628362,␣,␣,␣,␣,␣,✘,✘,␣,✔,✔,주)무지개다리,160하 4567,✔,1311110628362,␣,␣,✔,1991-09-10,✔,주)무지개다리
