image_path,015,017,022,088,082,002,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0000.jpg,✔,✘,"733,400",✘,✘,123하5678,✘,✘,✘,␣,✔,✘,␣,✔,✘,✘,✔,✘,✘,✘,✔,✘,␣,␣,✔,✘,✘,✔,✘,✘,✔,블랙잉크,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,✔,✘,✔,✘,␣,✔,␣,✘,✘,␣,✘,✘,✘,✘,"14,668,000",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,✔,∅,␣,"36,670,000",코나,✘,✘,✘,␣,␣,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0001.jpg,✘,✘,"1,066,400",✘,✘,456허7890,✘,✘,✘,␣,✘,✘,␣,✘,✘,✔,✔,✘,✘,✘,✔,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,화이트펄,✔,␣,✘,✘,✔,␣,✘,✘,✔,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,␣,✔,✘,✘,✘,"21,328,000",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✔,✔,✘,✘,✘,5,✘,✔,✘,✘,∅,␣,"53,320,000",디올 뉴 그랜저,✔,✘,✘,1,5,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0002.jpg,✘,✔,"865,995",✘,✘,789호0123,✘,✘,✘,␣,✘,✘,␣,✔,✘,✘,✔,✘,✘,✘,✔,✘,␣,␣,✔,✔,✘,✔,✘,✘,✘,아틀라스화이트,✘,␣,✘,✘,✘,␣,✔,✘,✘,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,✔,␣,✘,✘,␣,✘,✔,✘,✘,"17,319,901",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,✔,∅,␣,"43,299,752",K8,✘,✘,✘,␣,␣,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0003.jpg,✘,✘,"1,088,295",✘,✘,012하3456,✘,✘,✘,무제한,✘,✘,␣,✘,✘,✘,✔,✘,✘,✘,✔,✘,10,␣,✘,✘,✘,✘,✔,✔,✘,레드칩,✔,␣,✘,✘,✘,␣,✘,✘,✔,✘,␣,✔,✘,✘,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,✘,"21,765,900",␣,✘,✔,␣,␣,✘,␣,␣,✘,✔,✔,✘,✘,✘,✘,5,✘,✔,✘,✘,∅,␣,"54,414,750",더 뉴카니발,✔,✘,✘,1,5,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0004.jpg,✔,✘,"1,427,000",✘,✘,345허6789,✘,✘,✘,␣,✘,✘,␣,✔,✘,✘,✔,✘,✘,✘,✔,✘,␣,␣,✔,✘,✘,✔,✘,✘,✔,미스틱 실버,✘,␣,✘,✘,✘,60,✘,✘,✘,✘,␣,✘,✘,✘,✘,✔,✘,✔,✘,␣,✔,␣,✘,✘,␣,✘,✘,✔,✘,"28,540,000",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,✔,∅,␣,"71,350,000",G80,✘,✘,✘,␣,␣,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0005.jpg,✘,✘,"995,600",✘,✘,678호9012,✘,✘,✘,␣,✔,✘,␣,✘,✘,✘,✔,✘,✘,✘,✔,✘,␣,1300만원,✘,✘,✘,✘,✘,✔,✘,엠버레드,✔,␣,✘,✘,✔,␣,✘,✘,✔,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,␣,✔,✘,✘,✘,"19,912,000",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✔,✘,✘,✘,✘,5,✘,✔,✘,✘,∅,␣,"49,780,000",싼타페,✔,✘,✘,1,5,␣,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0006.jpg,✘,✔,"2,440,663",✘,✘,901하2345,✘,✘,✘,␣,✘,✘,␣,✔,✘,✔,✔,✘,✘,✘,✔,✘,␣,1400만원,✔,✔,✘,✔,✘,✘,✘,화이트,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,✔,␣,✘,✘,␣,✘,✔,✘,✘,"48,813,254",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,✔,∅,␣,"122,033,134",G 90,✘,✘,✘,␣,␣,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0007.jpg,✘,✘,"1,091,600",✘,✘,234허 5678,✘,✘,✘,무제한,✘,✘,␣,✘,✘,✘,✔,✘,✘,✘,✔,✘,10,1500만,✘,✘,✘,✘,✘,✔,✘,블랙,✔,␣,✘,✘,✘,␣,✔,✘,✔,✘,␣,✔,✘,✘,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,␣,✘,✘,✘,✘,"21,832,000",␣,✘,✔,␣,␣,✘,␣,␣,✘,✔,✔,✘,✘,✘,✘,5,✘,✔,✘,✘,∅,␣,"54,580,000",팰리세이드,✔,✘,✘,1,5,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0008.jpg,✔,✘,"732,400",✘,✘,567호8901,✘,✘,✘,␣,✘,✘,␣,✔,✘,✘,✔,✘,✘,✘,✔,✘,␣,1600만,✔,✘,✘,✔,✔,✘,✔,옐로우,✘,␣,✘,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,✔,␣,✘,✘,␣,✘,✘,✘,✘,"14,648,000",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,✔,∅,␣,"36,620,000",쏘나타,✘,✘,✘,␣,␣,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/454/A0009.jpg,✘,✘,"569,000",✘,✘,890하1234,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✔,✘,✘,✘,✔,✘,␣,1700만,✘,✔,✘,✘,✘,✔,✘,다크블루,✔,␣,✘,✘,✘,60,✘,✘,✔,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,␣,✔,✘,✔,✘,"11,380,000",␣,✘,✘,␣,␣,✘,␣,␣,✘,✘,✔,✘,✘,✘,✘,5,✘,✔,✘,✘,∅,␣,"28,450,000",셀토스,✔,✘,✘,1,5,␣,✘,✔
