image_path,015,017,002,014,008,011,016,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0000.jpg,∅,␣,1201110682808,✔,✘,01,␣,✘,✔,코나,✔,이시우네,이시우네,✔,123허4567,이시우네,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0001.jpg,∅,␣,2849110339612,✔,✔,03,␣,✔,✔,디 올 뉴 그랜저,✘,명문건축,명문건축,✘,234하8901,명문건축,27,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0002.jpg,∅,␣,2844710017189,✔,✘,05,␣,✘,✔,K8,✔,은광전기조명,은광전기조명,✔,345호2345,은광전기조명,05,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0003.jpg,∅,␣,280211017459,✔,✔,07,␣,✔,✔,더뉴카니발,✘,청도체육관,청도체육관,✘,456허6789,청도체육관,18,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0004.jpg,∅,␣,2301110334620,✔,✘,09,␣,✘,✔,G80,✔,계명피아노교습소,계명피아노교습소,✔,567하0123,계명피아노교습소,11,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0005.jpg,∅,␣,2001210028319,✔,✔,11,␣,✔,✔,싼타페,✘,(주)네트인정보기술,(주)네트인정보기술,✘,678호4567,(주)네트인정보기술,24,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0006.jpg,∅,␣,2001110101207,✔,✘,02,␣,✘,✔,G90,✔,주식회사 더스쿠프,주식회사 더스쿠프,✔,789허8901,주식회사 더스쿠프,08,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0007.jpg,∅,␣,1911110094305,✔,✔,04,␣,✔,✔,팰리세이드,✘,캐리어티에스(주),캐리어티에스(주),✘,890하2345,캐리어티에스(주),21,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0008.jpg,∅,␣,1801111155084,✔,✘,06,␣,✘,✔,쏘나타,✔,에오스,에오스,✔,901호6789,에오스,29,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0009.jpg,∅,␣,1701320001228,✔,✔,8,␣,✔,✔,셀토스,✘,(주)두레원미래,(주)두레원미래,✘,012허0123,(주)두레원미래,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0010.jpg,∅,␣,1701110915366,✔,✘,10,␣,✘,✔,팰리세이드,✔,NONAME,NONAME,✔,123하4567,NONAME,3,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0011.jpg,∅,␣,161311002710,✔,✔,12,␣,✔,✔,쏘렌토,✘,(주)디엠산업,(주)디엠산업,✘,234호8901,(주)디엠산업,30,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0012.jpg,∅,␣,1501110221759,✔,✘,01,␣,✘,✔,GV80,✔,케이에스스마트,케이에스스마트,✔,345호2345,케이에스스마트,06,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0013.jpg,∅,␣,1358110326017,✔,✔,03,␣,✔,✔,스포티지,✘,(주)중소기업산업연구원,(주)중소기업산업연구원,✘,␣,(주)중소기업산업연구원,19,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0014.jpg,∅,␣,1349110140838,✔,✘,05,␣,✘,✔,K8,✔,한국해항수산(주),한국해항수산(주),✔,567호0123,␣,26,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0015.jpg,∅,␣,1348110418930,✔,✔,07,␣,✔,✔,K5,✘,월드스틸 ( 주 ),월드스틸(주),✘,678허4567,월드스틸 ( 주 ),08,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0016.jpg,∅,␣,1344140002842,✔,✘,09,␣,✘,✔,K5,✔,금암교회,금암교회,✔,789하8901,금암교회,22,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0017.jpg,∅,␣,1341110656625,✔,✔,11,␣,✔,✔,투싼,✘,모든(장한평),모든(장한평),✘,890호2345,모든(장한평),07,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0018.jpg,∅,␣,1341110089719,✔,✘,2,␣,✘,✔,G70,✔,만두빗는사람들,만두빗는사람들,✔,901허6789,만두빗는사람들,25,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0019.jpg,∅,␣,1314110533466,✔,✔,04,␣,✔,✔,더뉴카니발,✘,조은식품,조은식품,✘,012하0123,조은식품,08,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0020.jpg,∅,␣,1314110496870,✔,✘,06,␣,✘,✔,아이오닉9,✔,주)로봇택시,주)로봇택시,✔,123호4567,주)로봇택시,14,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0021.jpg,∅,␣,1313110056022,✔,✔,8,␣,✔,✔,쏘나타,✘,주)슈퍼카레이서,주)슈퍼카레이서,✘,234허8901,주)슈퍼카레이서,28,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0022.jpg,∅,␣,1313110034024,✔,✘,10,␣,✘,✔,셀토스,✔,주)번개돌이,주)번개돌이,✔,345하2345,주)번개돌이,15,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0023.jpg,∅,␣,1311110628362,✔,✔,12,␣,✔,✔,G90,✘,주)무지개다리,주)무지개다리,✘,456호6789,주)무지개다리,11,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0024.jpg,∅,␣,1301111180718,✔,✘,01,␣,✘,✔,코나,✔,빵빵인테리어,빵빵인테리어,✔,576허0123,빵빵인테리어,23,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0025.jpg,∅,␣,1301110122932,✔,✔,3,␣,✔,✔,스타리아,✘,무지개멘션,무지개멘션,✘,678하4567,무지개멘션,31,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0026.jpg,∅,␣,1243110005515,✔,✘,05,␣,✘,✔,쏘렌토,✔,거북이익스프레스,거북이익스프레스,✔,789호8901,거북이익스프레스,12,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0027.jpg,∅,␣,121171-000674,✔,✔,07,␣,✔,✔,니로,✘,코끼리디자인,코끼리디자인,✘,890허2345,코끼리디자인,29,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0028.jpg,∅,␣,1115110036462,✔,✘,9,␣,✘,✔,레이,✔,씽씽모터스,씽씽모터스,✔,901하6789,씽씽모터스,5,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/A0029.jpg,∅,␣,1101118922901,✔,✔,11,␣,✔,✔,디 올 뉴 그랜저,✘,별똥별택배,별똥별택배,✘,12호0123,별똥별택배,18,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/D0000.jpg,∅,␣,␣,✘,✘,10,1883011807,✘,✘,␣,✔,␣,봉오율,✘,␣,␣,18,2015
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/D0001.jpg,∅,A4WWZHW,222-67-65060,✘,✘,6,␣,✔,✘,␣,✘,세븐시즌스,황보미미,✔,␣,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/D0002.jpg,∅,A4MSFYH,498-30-26749,✘,✘,3,9414412764,✘,✘,␣,✘,대우조선해양,␣,✔,2T1ZW2,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/D0003.jpg,∅,␣,891-19-98565,✘,✘,␣,1439125116,✘,✘,스타리아쉐보레 QM6,✘,␣,␣,✘,STMG10,␣,20,2002
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/D0004.jpg,∅,␣,␣,✔,✔,3,␣,✔,✘,␣,✘,환인제약,방정애,✘,␣,환인제약,21,2035
/mnt/AI_NAS/Data/현대캐피탈/data/images/470/D0005.jpg,∅,ALNYOEX,484-05-28600,✘,✔,9,␣,✔,✔,코나 마칸,✘,소니뮤직엔터테인먼트코리아,석송정,✔,VKDQ90,␣,␣,2025
