image_path,015,017,022,088,082,002,041,040,050,019,008,052,026,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,025,001,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0000.jpg,✔,✘,␣,✔,✘,699고 4438,✔,✔,✘,␣,✔,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,␣,✘,✘,✔,✔,✘,✘,✘,하는,✘,나뭇잎,✔,✔,␣,✘,✘,✘,✘,기도감염,✘,✘,✘,✘,✘,✘,✘,✔,2478만원,✘,␣,✔,✔,␣,✔,✔,✔,✘,3950000,␣,✘,✔,"7,130,000",1097384261,✘,␣,12,✘,✔,✘,✔,✘,✘,✘,␣,✘,✘,✘,✘,∅,IJCCAWH,"14,810,000",트래버스 그랜저,✔,✔,✘,8,5,14,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0001.jpg,✔,✘,␣,✔,✘,975어 0456,✘,✔,✘,8,✘,✘,␣,✔,✘,✔,✔,✘,✘,✔,✘,4244만원,␣,✔,✘,✘,✘,✔,✔,✘,␣,✘,나오는,✘,✘,␣,✔,✘,✔,✔,␣,✔,✔,✘,✘,✔,✘,✘,✘,2611만원,✔,경기도 용인시 기흥구 하갈동 150-9 (세종주택),✘,✘,33세,✘,✘,✘,✘,␣,063-6640-5522,✔,✘,"7,920,000",1459078471,✔,어현율,␣,✘,✘,✘,✔,✘,✔,✘,4,✘,✘,✘,✘,∅,IBYJ9CY,␣,␣,✘,✘,✘,␣,8,1,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0002.jpg,✘,✔,␣,✘,✔,23서 8641,✘,✘,✘,6,✔,✔,전사14,✘,✔,✘,✘,✘,✘,✘,✘,3746만원,␣,✔,✔,✘,✔,✔,✔,✘,없이,✘,하다,✘,✘,18,✔,✘,✔,✘,넣어,✘,✔,✘,✘,✔,✘,✘,✘,2100만원,✔,␣,✘,✔,79세,✔,✘,✘,✔,␣,041-1787-4878,✘,✘,"53,740,000",1868475201,✘,␣,␣,✘,✔,✘,✘,✔,✘,✘,3,✘,✘,✔,✘,∅,I3O9GG8,␣,아우디 아우디,✔,✘,✘,8,3,15,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0003.jpg,✘,✘,␣,✘,✘,␣,✘,✘,✘,4,✘,✘,것이었으니.,✘,✘,✘,✔,✘,✔,✘,✘,2902만원,"4,570,000",✘,✘,✔,✘,✘,✔,✔,␣,✘,효행하다,✘,✘,␣,✘,✘,✘,✘,집짓기하여,✘,✘,✔,✔,✘,✘,✘,✔,3678만원,✔,경상북도 경주시 광명동 663-3,✘,✔,51세,✘,✘,✘,✘,8160000,043-3068-2103,✘,✔,"47,360,000",1546758044,✘,배나휘,15,✘,✔,✘,✘,✘,✘,✘,6,✘,✘,✔,✔,∅,IC3GXU2,"76,880,000",토레스 QM5,✘,✔,✔,8,5,4,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0004.jpg,✘,✔,␣,✘,✘,␣,✘,✘,✔,6,✘,✔,␣,✘,✔,✔,✘,✘,✘,✘,✘,3376만원,"88,440,000",✘,✘,✘,✘,✘,✘,✘,진자오선을,✘,활용하여 자동화하는,✘,✘,12,✘,✘,✘,✘,대한,✘,✘,✘,✘,✔,✔,✘,✘,1230만원,✘,경기도 파주시 광탄면 명봉산로352번길 16-10 (용미리),✔,✔,76세,✘,✘,✘,✘,␣,␣,✘,✘,"49,930,000",1608963843,✔,장나오미,␣,✘,✔,✔,✘,✘,✔,✘,␣,✔,✘,✘,✘,∅,I3XXECT,84570000,프리우스 아반떼,✘,✔,✔,11,6,14,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0005.jpg,✘,✘,␣,✘,✔,485버 1854,✘,✘,✘,4,✘,✘,갖춘,✘,✔,✘,✘,✘,✘,✘,✔,3276만원,"22,470,000",✘,✔,✘,✔,✘,✘,✘,"변하고,",✘,자유롭게 이동하는,✘,✘,25,✘,✘,✘,✔,␣,✔,✘,✘,✘,✘,✔,✘,✘,1628만원,✘,전북특별자치도 익산시 동산동 667-36,✘,✘,75세,✔,✘,✔,✘,␣,064-9481-3667,✘,✔,"95,410,000",9400153961,✔,␣,9,✔,✔,✔,✔,✔,✘,✘,2,✔,✔,✘,✘,∅,ICFEQPS,␣,␣,✘,✘,✔,␣,1,11,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0006.jpg,✘,✘,␣,✘,✘,␣,✘,✘,✘,␣,✘,✘,␣,✘,✔,✔,✘,✔,✘,✘,✘,3053만원,"5,670,000",✘,✘,✘,✘,✘,✔,✘,자꾸,✘,쓸,✘,✘,␣,✘,✔,✘,✘,␣,✘,✘,✘,✘,✘,✔,✘,✘,␣,✔,부산광역시 서구 초장동 79-25,✘,✘,59세,✘,✘,✘,✘,"3,950,000",041-0864-0544,✘,✘,"5,590,000",9453162211,✘,지길수,␣,✔,✔,✘,✔,✘,✘,✔,␣,✘,✔,✘,✘,∅,IJ2Y3J1,␣,␣,✔,✔,✘,␣,␣,20,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0007.jpg,✔,✘,␣,✘,✘,␣,✘,✘,✔,␣,✔,✘,소경,✘,✘,✔,✘,✔,✘,✔,✘,␣,"36,490,000",✘,✘,✘,✔,✘,✔,✘,␣,✔,생산하는 공업.,✘,✘,␣,✘,✘,✔,✘,␣,✘,✘,✔,✘,✔,✘,✘,✘,4904만원,✘,␣,✔,✔,75세,✘,✘,✘,✘,4290000,044-2105-2509,✔,✘,"87,350,000",9855651866,✘,국세류,␣,✘,✘,✘,✘,✘,✘,✔,7,✘,✘,✘,✘,∅,IVC0WNU,␣,마칸 캐스퍼,✘,✔,✘,14,␣,1,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0008.jpg,✘,✘,"92,360,000",✘,✘,839루 5549,✔,✔,✘,6,✘,✘,어근.,✘,✔,✘,✘,✘,✘,✔,✔,3265만원,"97,230,000",✘,✔,✔,✘,✘,✔,✘,␣,✘,␣,✔,✘,18,✔,✘,✘,✔,따위로,✘,✘,✘,✘,✘,✘,✔,✘,2049만원,✘,␣,✘,✔,59세,✔,✔,✔,✘,"4,530,000",␣,✘,✔,␣,9042337760,✘,␣,28,✘,✘,✔,✘,✘,✘,✔,9,✘,✔,✘,✔,∅,IKJY6J4,␣,RAV4 A3,✘,✘,✔,1,5,4,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0009.jpg,✘,✔,"66,910,000",✘,✔,30소 7206,✘,✘,✘,3,✘,✔,␣,✘,✘,✘,✔,✔,✘,✘,✘,2232만원,"4,570,000",✘,✘,✘,✘,✔,✘,✘,␣,✘,␣,✘,✔,␣,✔,✘,✘,✔,왕세손이,✘,✘,✘,✔,✘,✔,✘,✘,␣,✔,␣,✘,✘,35세,✘,✔,✘,✔,␣,053-3243-8740,✘,✘,"7,360,000",9707786831,✔,␣,28,✔,✔,✘,✘,✘,✘,✘,␣,✘,✔,✘,✔,∅,IUW0U2B,␣,␣,✔,✘,✔,15,␣,␣,✘,✘,✘
