image_path,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,068,011,003,007,001,025,047,063,014,010,060,061,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,071,034,053,070,054,030,046,005,000,031,048,066,004,012,027
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0000.jpg,✘,✘,✘,✘,남궁단나,␣,2005년 2월 21일,✘,✔,␣,✔,✘,CHU GICHANG,✘,✔,␣,선임,14.0%,✘,✘,✔,✔,✘,✘,✘,✔,✘,선범석,␣,✘,✘,✘,2018,아이슬란드,종교를,␣,␣,2030.11.25,␣,10.3%,피로한,육누리아,✘,✔,2.2%,␣,2023.09.12,알바니아,✘,✔,␣,79.8%,␣,␣,∅,HVZ5XE8,계행하다03 계속해,선우나정,1446355089,␣,✔,␣,✔,✔,✘,NA SEONLYUL,학교급식전국네트워크,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0001.jpg,✔,✘,✘,✘,정아나야,두 치,␣,✘,✘,연구하였다. 소크라,✘,✘,O SEUNGJIN,✘,✔,인도네시아,␣,0.0%,✘,✘,✔,✘,✘,✘,✘,✘,✔,소수오,␣,✔,✘,✔,2013,␣,␣,10,␣,␣,SANG HANI,␣,␣,␣,✘,✘,72.8%,␣,1985년 7월 18일,␣,✘,✔,1966.7.23,74.0%,우준명,벨라루스,∅,HFTQL6Q,목적을,␣,1406941987,IN EONJIN,✘,최치원이 지은,✔,✘,✔,YEO CHEONHWA,NH투자증권,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0002.jpg,✔,✘,✔,✔,진의설,하다 오래간만에,␣,✔,✔,절기나,✘,✔,HAN SANGCHEOL,✘,✘,중국,␣,18.0%,✔,✘,✔,✘,✘,✔,✔,✘,✔,유주혁,␣,✔,✘,✘,2024,체코,채,7,경치,1926.1.22,SIM GYO-A,98.6%,␣,왕보우,✔,✘,␣,␣,␣,코스타리카,✘,✘,1968년 6월 13일,␣,제갈완호,캐나다,∅,HNBF0UP,위하여,범광환,1075196693,SON GIDONG,✔,붙잡아 묶음.,✘,✘,✘,BYEON DAEBO,카카오트리,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0003.jpg,✘,✘,✘,✘,␣,태어날,2023-10-30,✘,✘,␣,✘,✘,GYEONG JONGCHEON,✘,✔,␣,선임,89.1%,✘,✘,✘,✘,✔,✘,✘,✘,✔,피형래,10,✘,✘,✔,2025,헝가리,붙어서,5,␣,1939년 1월 27일,CHAE SUJA,8.2%,손무준,␣,✘,✘,␣,␣,1958.2.15,폴란드,✘,✘,␣,49.4%,␣,레바논,∅,HHQ1VN2,␣,고룡,1356664228,␣,✘,따위의 명승지가,✘,✘,✔,JEONG YEO-YUN,중앙건설,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0004.jpg,✘,✘,✔,✘,␣,␣,2005.3.3,✘,✘,센,✔,✘,GWON YUGON,✔,✘,체코,팀장,77.2%,✘,✘,✘,✘,✔,✔,✘,✔,✘,␣,8,✘,✔,✘,2015,벨기에,␣,␣,고유진동,1962/1/20,␣,42.7%,원병국,길제익,✔,✘,19.8%,비행기,␣,팔레스타인,✔,✘,2028.1.20,␣,␣,브라질,∅,HDB4XHE,더럽히고,␣,1837100612,MA INJUNG,✘,알에서,✘,✘,✔,JWA MYO-EUN,한국레미콘공업협회,✔,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0005.jpg,✘,✘,✘,✘,␣,유명하다. 저서에,␣,✔,✘,␣,✔,✘,␣,✔,✔,␣,부문장,␣,✔,✘,✘,✔,✘,✘,✔,✔,✘,␣,28,✘,✘,✘,2026,부탄,␣,11,␣,2006-09-25,LA TAEGYUN,96.6%,단장미,양율린,✔,✘,␣,나뭇진을,2012/2/19,␣,✔,✘,2049년 10월 24일,25.0%,백창화,북마케도니아,∅,H2ZSNOY,친정아버지를 이르는,␣,9226545075,MA ILSEOG,✘,항로.,✘,✘,✘,␣,이브니에,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0006.jpg,✘,✘,✔,✘,선우문도,에너지를,2018/4/19,✔,✘,5~6월에,✘,✔,TAG LAMHUI,✘,✔,네팔,전무,␣,✘,✘,✔,✔,✘,✘,✔,✘,✘,예아림,16,✘,✘,✔,␣,␣,␣,9,␣,33.9%,␣,16.6%,␣,태두선,✔,✔,␣,␣,1976년 12월 15일,␣,✘,✔,2032년 11월 15일,64.3%,윤원진,␣,∅,HK5WZD9,␣,위순재,1236922658,AN SEUJEU,✘,␣,✘,✘,✔,␣,카센터오빠,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0007.jpg,✘,✘,✘,✘,조난이,␣,1916-03-05,✘,✔,␣,✔,✘,GI LINDA,✘,✘,에콰도르,␣,87.1%,✘,✘,✔,✘,✘,✘,✘,✔,✘,␣,26,✘,✔,✔,2021,아프가니스탄,마른,11,"강성,",1948.2.29,WANG HANTAE,92.2%,␣,␣,✔,✔,91.7%,␣,2006/9/23,라오스,✘,✘,2035-12-21,93.1%,태원솔,브라질,∅,HNROBWE,␣,␣,9836649874,SIM HANE,✘,들보02.,✘,✔,✘,CHA GYOJUN,싸이월드,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0008.jpg,✔,✔,✘,✘,␣,␣,1982-04-03,✘,✔,난다.,✘,✘,GU DAHAE,✘,✘,룩셈부르크,본부장,65.4%,✘,✔,✔,✘,✔,✘,✘,✘,✘,염조나단,␣,✔,✔,✘,␣,동티모르,묽게,␣,소광03,1974.6.25,PYEON DAEJEONG,19.4%,남새린,␣,✘,✘,22.4%,소지품,2025/10/27,스위스,✘,✘,␣,76.7%,남궁형오,우크라이나,∅,H3TNWEU,소를 잡는,목동회,9926702323,␣,✔,접점에,✘,✘,✘,PYO YEONGBIN,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/545/C0009.jpg,✘,✔,✘,✔,손순정,것을 비유적으로,1935.05.26,✘,✔,협동심이,✘,✘,␣,✘,✘,␣,센터장,24.3%,✘,✘,✔,✘,✔,✘,✘,✔,✔,␣,13,✔,✔,✔,2012,볼리비아,하던,5,독일의,1958년 9월 16일,BAEG JEONGLYUN,␣,␣,␣,✘,✔,␣,␣,␣,␣,✘,✔,1977/11/12,40.7%,염치원,␣,∅,HTNAMK2,협로02,용도건,1025148879,JE GALSEUNGBEOM,✔,␣,✘,✘,✘,HO INBO,아사달,✔,✘,✘
