image_path,021,010,015,017,022,014,020,019,008,011,016,005,000,013,025,026,007,001,006,023,018,004,009,027,024,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0000.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,5,␣,✔,✘,김민준,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0001.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,02,␣,✔,✘,이서연,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,10
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0002.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,01,␣,✔,✘,박도현,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0003.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,09,␣,✔,✘,최지우,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,01
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0004.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,11,␣,✔,✘,정현우,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0005.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,4,␣,✔,✘,윤수아,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,5
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0006.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,3,␣,✔,✘,장우진,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0007.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,10,␣,✔,✘,송하윤,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0008.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,07,␣,✔,✘,강지훈,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,08
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0009.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,1,␣,✔,✘,한서준,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,12
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0010.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,5,␣,✔,✘,임준서,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,10
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0011.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,신동욱,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,18
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0012.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,신동욱,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,18
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0013.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,12,␣,✔,✘,권보람,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0014.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,6,␣,✔,✘,조현우,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0015.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,(주)미래솔루션,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0016.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,11,␣,✔,✘,(주)한빛개발,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,05
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0017.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,06,␣,✔,✘,(주)새롬테크,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0018.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,10,␣,✔,✘,(주)영진물산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0019.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,12,␣,✔,✘,(주)금강산업,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,03
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0020.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,7,␣,✔,✘,(주)대우무역,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,8
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0021.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,01,␣,✔,✘,에너지포스,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,12
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0022.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,2,␣,✔,✘,에어로스페이스,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,25
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0023.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,8,␣,✔,✘,매직제일물산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,18
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0024.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,12,␣,✔,✘,전자디스플레이,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,03
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0025.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,6,␣,✔,✘,삼성수산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0026.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,10,␣,✔,✘,현대모직,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0027.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,4,␣,✔,✘,제일수산,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,5
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0028.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,03,␣,✔,✘,제일주류,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,01
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/A0029.jpg,␣,2025,␣,␣,␣,✔,␣,✘,✘,5,␣,✔,✘,제일통신,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0000.jpg,4,␣,␣,5,␣,✔,2028,✔,✘,11,␣,✔,✘,␣,∅,1688752010,✘,✘,✘,육남지,␣,✔,✔,␣,✔,16
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0001.jpg,11,2004,2021,␣,28,✔,␣,✘,✘,2,12,✘,✘,␣,∅,9967182652,✘,✘,✔,류위준,남승순,✘,✘,PU04VYA,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0002.jpg,4,␣,2020,11,␣,✔,2030,✘,✘,9,5,✔,✘,천지,∅,9801160888,✔,✘,✘,홍명운,␣,✔,✘,PQMEOHN,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0003.jpg,3,2007,2012,14,␣,✘,␣,✘,✘,␣,␣,✔,✘,목부연,∅,9382385855,✘,✘,✘,선우세채,␣,✔,✘,␣,✔,23
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0004.jpg,␣,2013,2006,␣,6,✘,2017,✘,✘,␣,1,✘,✘,홍맹자,∅,␣,✘,✘,✘,어정도,한명애,✘,✔,PZ24KZ3,✘,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0005.jpg,8,2009,2026,␣,␣,✘,2027,✔,✘,10,10,✘,✔,␣,∅,9612167212,✘,✔,✘,선레이카,우새임,✘,✘,P50SA51,✔,29
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0006.jpg,5,2025,2000,6,26,✔,2007,✘,✘,␣,␣,✘,✔,염여을,∅,9108081417,✘,✘,✘,옥우영,감현제,✘,✔,␣,✔,26
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0007.jpg,11,2035,2037,10,␣,✘,2000,✔,✔,10,␣,✘,✔,␣,∅,1762065504,✔,✘,✘,호모니카,␣,✘,✘,␣,✔,5
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0008.jpg,1,2005,2011,24,␣,✔,␣,✔,✘,␣,␣,✘,✘,표혜욱,∅,9297260834,✘,✘,✔,예상음,엄종율,✔,✘,PN9ZMYE,✔,14
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0009.jpg,8,␣,2014,14,9,✘,2002,✘,✔,␣,1,✔,✔,차쏘피,∅,9638806018,✘,✘,✔,단해준,감세익,✘,✔,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/D0010.jpg,␣,␣,2025,31,4,✘,2023,✔,✘,␣,␣,✔,✘,␣,∅,1081847840,✘,✘,✘,함서여,차윤영,✔,✘,PP1P9OW,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/554/E0000.jpg,␣,2037,␣,␣,␣,✔,2038,✔,✘,␣,7,✘,✔,나연율,∅,1093498664,✘,✘,✘,배희솔,조시빈,✘,✔,LBJBY6M,✔,␣
