image_path,015,017,022,088,082,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,025,007,077,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,075,066,048,031,073,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0000.jpg,✔,✘,이사,염원하,실무자,✘,✘,✘,✘,✘,✘,␣,✔,✘,✘,043-8185-8007,✘,✔,유로완,서문다이애나,✘,투르크메니스탄,SK스페셜티,✔,내주는,✘,5651-76-927765,✔,␣,16,✘,✘,✘,✘,✘,✘,✘,␣,✔,✘,✘,✘,✔,AULM37,✘,✘,2013,␣,1641940483,2010,✘,✔,✘,중국은행,✔,GU LISOM,✔,✘,경상북도 칠곡군 왜관읍 매원리 513-3,✘,✘,✘,방성구,✔,✘,✘,✘,2041/11/23,␣,✔,2009/6/10,✘,✘,조부모,✔,✔,✘,␣,U7WXSS6,2013,✘,✘,✔,␣,붓으로,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0001.jpg,✘,✔,선임,␣,부회장,✘,✔,✔,✘,✘,✘,3979만원,✘,✘,✔,033-5961-4753,✘,✔,팽기준,기제한,✘,␣,한국섬유산업연합회,✔,생기는,✘,576-666391-256,✘,어미나,␣,✘,✔,✔,✔,✘,✔,✘,24,✔,✔,✘,✘,✘,AULM37,✘,✘,␣,방향이,1625455842,2021,✔,✘,✘,우리은행,✘,HEO BONUI,✔,✘,전북특별자치도 김제시 금산면 청도리 399-3,✘,✔,✘,영수하다02,✔,✘,✔,✘,1927.9.30,␣,✘,1991.09.12,✘,✘,␣,✔,✘,✘,10,UCJDP7E,2017,✘,✘,✔,␣,␣,✘,위선용
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0002.jpg,✔,✘,␣,탁선호,선임,✘,✔,✘,✘,✔,✔,4217만원,✘,✘,✘,063-7123-2049,✘,✘,선우희로,송레임,✘,보스니아헤르체고비나,␣,✘,정당하다02,✘,503-510164-64,✘,소산지,7,✘,✘,✔,✘,✘,✘,✘,29,✔,✘,✘,✔,✔,AULM37,✘,✘,2028,조종할,1402621197,2018,✘,✔,✘,␣,✔,LYU EUNGYEOL,✔,✔,␣,✘,✔,✘,박아,✘,✔,✘,✔,1903-07-24,차필재,✘,␣,✘,✘,친척,✔,✘,✔,3,UB1F70F,2022,✘,✘,✔,␣,옷차림을,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0003.jpg,✘,✘,회장,␣,␣,✘,✘,✘,✘,✔,✔,4439,✘,✘,✘,␣,✘,✔,우수우,은대건,✘,미얀마,␣,✘,비단백성,✔,172-311830-995,✘,편경택,6,✘,✘,✘,✔,✘,✘,✘,1,✔,✘,✔,✘,✘,AULM37,✔,✘,2022,화각06,1386079160,2015,✘,✘,✘,토스뱅크,✘,␣,✔,✔,부산광역시 서구 천마로143번길 29-14 (남부민동),✘,✘,✔,제물을,✘,✘,✘,✘,␣,동설희,✘,1919-06-07,✘,✘,손녀,✔,✔,✘,10,UZKKV53,2021,✘,✘,✘,2017,의식의,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0004.jpg,✔,✔,CTO,␣,상무,✘,✘,✔,✔,✘,✘,␣,✘,✘,✔,063-8931-5591,✔,✘,천율규,설뜰에봄,✘,슬로베니아,풀무원,✔,및,✘,131-749545-98,✔,국하근,␣,✔,✘,✔,✘,✘,✘,✘,2,✘,✔,✔,✔,✘,AULM37,✘,✘,␣,␣,9829659765,2019,✘,✘,✘,␣,✔,␣,✘,✔,인천광역시 동구 동산로63번길 16 (송림동),✘,✔,✘,␣,✘,✔,✘,✔,1963.8.2,␣,✔,␣,✘,✔,␣,✔,✔,✘,␣,UXKLG7F,2017,✘,✘,✔,2012,정도.,✔,온나들
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0005.jpg,✘,✔,차장,황수용,␣,✘,✘,✔,✘,✘,✔,4896만원,✔,✔,✘,044-2943-4005,✘,✘,␣,배채온,✘,␣,LX판토스,✘,␣,✘,695-779909-14649,✘,␣,27,✘,✔,✘,✘,✘,✔,✘,␣,✔,✘,✘,✘,✔,AULM37,✔,✘,␣,결정이,1890117348,2028,✘,✘,✘,␣,✘,GONG KEULLO-ISALANG,✔,✘,서울특별시 중랑구 봉우재로 13 (면목동),✔,✘,✘,␣,✘,✘,✘,✔,␣,황임규,✔,1933/7/23,✔,✘,아들,✘,✘,✔,␣,UMCPE50,2029,✔,✔,✘,␣,입즉착래,✘,설형언
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0006.jpg,✔,✔,실무자,␣,전무,✔,✘,✘,✘,✘,✘,3457,✔,✘,✔,043-6909-9141,✘,✘,␣,문창영,✘,레바논,동국제약 훼라민Q,✔,␣,✔,␣,✘,신이렌,1,✔,✔,✘,✘,✘,✔,✘,20,✔,✘,✔,✘,✘,AULM37,✔,✘,2021,찐,1995791123,2023,✘,✔,✘,BNP파리바,✘,YEO TAEHWA,✔,✘,서울특별시 관악구 신림동 1581-15 (금화채),✔,✔,✘,개부심하다,✘,✘,✘,✘,1969/4/11,안용천,✘,2003.09.21,✘,✘,친척,✘,✘,✘,1,UAEW3K2,2025,✘,✘,✔,2012,벼,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0007.jpg,✘,✔,부장,␣,파트장,✔,✔,✘,✘,✘,✘,␣,✘,✘,✔,052-6941-2833,✘,✘,␣,허영나,✔,대만,포스코인터내셔널,✘,치맛자락으로,✘,782-923229-06,✘,시루은,22,✘,✘,✘,✘,✘,✘,✘,17,✘,✘,✔,✘,✔,AULM37,✘,✘,2017,새,9258651356,2022,✘,✘,✘,소시에테제네랄,✘,␣,✔,✔,경상북도 봉화군 물야면 오록리 391-5,✘,✔,✔,작업을,✘,✘,✔,✔,␣,␣,✔,␣,✘,✘,부,✘,✘,✘,␣,ULL9JP1,2029,✘,✘,✔,2017,제정된,✘,양인유
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/C0008.jpg,✘,✘,␣,␣,CIO,✘,✘,✘,✔,✘,✔,␣,✘,✘,✘,02-311-8544,✘,✔,신휴리,호소여,✔,캐나다,벽산그룹,✘,어깨로,✘,659-533-358594,✘,␣,␣,✘,✔,✔,✘,✔,✘,✘,2,✘,✘,✘,✔,✘,AULM37,✘,✘,2011,경계면에서,1107294901,2011,✘,✘,✔,미즈호은행,✘,GWON IGJU,✘,✘,대구광역시 달성군 가창면 상원리 56,✘,✔,✔,␣,✘,✔,✘,✘,1956/11/1,마세의,✘,1914.10.28,✘,✘,형제,✔,✔,✔,11,UY5SCLI,2020,✘,✔,✘,2026,이르는,✘,좌선률
/mnt/AI_NAS/Data/현대캐피탈/data/images/626/D0000.jpg,✘,✘,주임,모이송,감사,✘,✘,✔,✘,✘,✔,4591,✘,✘,✘,062-3804-4541,✔,✘,송욱미,␣,✘,이스라엘,린나이코리아,✘,돈이나,✘,524777-23-235638,✘,태승용,26,✘,✘,✔,✘,✘,✔,✔,9,✔,✘,✘,✔,✘,AULM37,✔,✘,2035,␣,1118039362,␣,✘,✘,✘,ANZ은행,✘,SO IM-EL,✘,✔,경기도 화성시 우정읍 기아자동차로 481 (화산리),✘,✘,✘,␣,✘,✘,✘,✘,1998.10.24,음국현,✘,1963.02.07,✘,✔,조모,✘,✘,✔,␣,L2YWMZU,␣,✘,✔,✘,2037,␣,✘,금다예
