image_path,061,065,017,051,022,002,062,056,050,019,059,052,016,067,055,006,023,018,021,058,057,069,049,053,070,054,020,064,068,005,000,003,007,001,066,048,063,004,060
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0000.jpg,␣,␣,✔,이지혜,✘,✘,✘,␣,15,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,05,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0001.jpg,␣,␣,✔,박서준,✘,✘,✘,␣,09,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,06,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0002.jpg,␣,␣,✔,김민지,✘,✘,✘,␣,23,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,06,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0003.jpg,␣,␣,✔,최현우,✘,✘,✘,␣,13,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,07,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0004.jpg,␣,␣,✔,정수아,✘,✘,✘,␣,27,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,07,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0005.jpg,␣,␣,✔,강지훈,✘,✘,✘,␣,09,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,08,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0006.jpg,␣,␣,✔,윤서연,✘,✘,✘,␣,23,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,8,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0007.jpg,␣,␣,✔,장동건,✘,✘,✘,␣,5,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,9,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0008.jpg,␣,␣,✔,송하늘,✘,✘,✘,␣,19,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,9,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0009.jpg,␣,␣,✔,한지민,✘,✘,✘,␣,08,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,10,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0010.jpg,␣,␣,✔,임준서,✘,✘,✘,␣,22,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,10,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0011.jpg,␣,␣,✔,서예진,✘,✘,✘,␣,05,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,11,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
