image_path,015,017,022,002,032,019,008,016,013,026,027,006,023,018,009,021,024,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0000.jpg,✘,2025,␣,05,␣,15,이지혜,␣,✘,␣,␣,✔,"25,000,000",05,✔,현대 쏘나타,␣,∅,123 가 4567,␣,␣,✘,오토갤러리,␣,15,"서울특별시 강남구 테헤란로 123, 5층",2025,␣,␣,1015568210,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0001.jpg,✘,2025,␣,06,␣,09,박서준,␣,✘,␣,␣,✔,"24,000,000",06,✔,기아 K5,␣,∅,34 나 8901,␣,␣,✘,시온모터스,␣,09,"경기도 성남시 분당구 정자동 456, 7층",2025,␣,␣,1713305347,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0002.jpg,✘,2025,␣,06,␣,23,␣,␣,✘,␣,␣,✔,"22,000,000",06,✘,삼성 SM6,␣,∅,567 다 2345,␣,␣,✘,탑모터스,␣,23,"부산광역시 해운대구 마린시티 1로 789, 10층",2025,␣,␣,1119469511,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0003.jpg,✘,2025,␣,07,␣,13,최현우,␣,✘,␣,␣,✔,"35,000,000",07,✔,현대 그랜저,␣,∅,78 라 6789,␣,␣,✘,리아모터스,␣,13,"대전광역시 서구 둔산로 1011, 3층",2025,␣,␣,1119469511,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0004.jpg,✘,2025,␣,07,␣,27,정수아,␣,✘,␣,␣,✔,"38,000,000",07,✔,기아 K8,␣,∅,90 마 1234,␣,␣,✘,우주모터스,␣,27,"인천광역시 부평구 부평대로 234, 8층",2025,␣,␣,1413981274,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0005.jpg,✘,2025,␣,08,␣,09,강지훈,␣,✘,␣,␣,✔,"50,000,000",08,✔,제네시스 G80,␣,∅,12 거 5678,␣,␣,✘,아라모터스,␣,09,"광주광역시 북구 용봉동 345, 2층",2025,␣,␣,1514718695,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0006.jpg,✘,2025,␣,8,␣,23,윤서연,␣,✘,␣,␣,✔,"18,000,000",8,✔,현대 아반떼,␣,∅,345 너 9012,␣,␣,✘,자동차뱅크,␣,23,"울산광역시 남구 삼산로 678, 6층",2025,␣,␣,1013244950,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0007.jpg,✘,2025,␣,9,␣,5,장동건,␣,✘,␣,␣,✔,"30,000,000",9,✔,기아 쏘렌토,␣,∅,56 더 3456,␣,␣,✘,나눔모터스,␣,5,"강원도 춘천시 퇴계로 901, 4층",2025,␣,␣,1514583195,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0008.jpg,✘,2025,␣,9,␣,19,송하늘,␣,✘,␣,␣,✔,"23,000,000",9,✔,현대 코나,␣,∅,789 러 7890,␣,␣,✘,인천모터스,␣,19,"경기도 안산시 단원구 고잔동 1213, 9층",2025,␣,␣,1511660085,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0009.jpg,✘,2025,␣,10,␣,08,한지민,␣,✘,␣,␣,✔,"22,000,000",10,✔,기아 셀토스,␣,∅,90 머 1234,␣,␣,✘,통진점현대자동차,␣,08,"경기도 김포시 통진읍 1415, 1층",2025,␣,␣,1706350687,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0010.jpg,✘,2025,␣,10,␣,22,임준서,␣,✘,␣,␣,✔,"40,000,000",10,✔,벤츠 C클래스,␣,∅,123 버 5678,␣,␣,✘,럭키모터스,␣,22,"전라북도 전주시 완산구 효자동 1617, 5층",2025,␣,␣,1482346654,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0011.jpg,✘,2025,␣,11,␣,05,서예진,␣,✘,␣,␣,✔,"38,000,000",11,✔,BMW 3시리즈,␣,∅,34 서 9012,␣,␣,✘,S&K모터스,␣,05,"충청남도 천안시 서북구 성정동 1819, 7층",2025,␣,␣,1008741670,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0012.jpg,✘,2025,␣,11,␣,19,신동욱,␣,✘,␣,␣,✔,"35,000,000",11,✔,아우디 A4,␣,∅,567 어 3456,␣,␣,✘,청솔모터스,␣,19,"경상북도 포항시 남구 대송면 2021, 3층",2025,␣,␣,1415823724,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0013.jpg,✘,2025,␣,12,␣,8,권보람,␣,✘,␣,␣,✔,"15,000,000",12,✔,폭스바겐 골프,␣,∅,78 저 7890,␣,␣,✘,AMG모터스,␣,8,"제주특별자치도 제주시 노형동 2223, 10층",2025,␣,␣,1217131702,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0014.jpg,✘,2025,␣,12,␣,22,조현우,␣,✘,␣,␣,✔,"28,000,000",12,✔,렉서스 ES,␣,∅,901 고 1234,␣,␣,✘,AMG모터스,␣,22,"세종특별자치시 조치원읍 2425, 2층",2025,␣,␣,1217131702,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0015.jpg,✘,2025,␣,1,␣,2,미래기획,␣,✘,␣,␣,✔,"25,000,000",1,✔,테슬라 모델3,␣,∅,12 노 5678,␣,␣,✔,JP모터스,␣,2,"충청북도 청주시 흥덕구 오송읍 2627, 6층",2025,␣,␣,1012569010,␣,␣,강민준
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0016.jpg,✘,2025,␣,1,␣,16,한빛개발건설,␣,✘,␣,␣,✔,"35,000,000",1,✔,포드 머스탱,␣,∅,345 도 9012,␣,␣,✔,네바퀴사랑,␣,16,"경상남도 창원시 성산구 상남동 2829, 8층",2025,␣,␣,1510100835,␣,␣,김서연
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0017.jpg,✘,2025,␣,2,␣,2,새롬정보통신,␣,✘,␣,␣,✔,"30,000,000",2,✔,쉐보레 말리부,␣,∅,56 모 3456,␣,␣,✔,대영모터스,␣,2,"전라남도 순천시 해룡면 3031, 4층",2025,␣,␣,1910939689,␣,␣,박지훈
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0018.jpg,✘,2025,␣,2,␣,16,영진무역상사,␣,✘,␣,␣,✔,"28,000,000",2,✔,지프 랭글러,␣,∅,789 보 7890,␣,␣,✔,MotoRaMa,␣,16,"강원도 강릉시 경포동 3233, 1층",2025,␣,␣,1711652367,␣,␣,이하윤
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0019.jpg,✘,2025,␣,␣,␣,10,금강철물,␣,✘,␣,␣,✔,"20,000,000",3,✔,랜드로버 디스커버리,␣,∅,␣,␣,␣,✔,SUN모토스,␣,␣,"경기도 파주시 운정구 3435, 9층",␣,␣,␣,1517246015,␣,␣,최현우
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0020.jpg,✘,2025,␣,␣,␣,24,신한에너지솔루션,␣,✘,␣,␣,✔,"30,000,000",3,✔,현대 팰리세이드,␣,∅,␣,␣,␣,✔,아라오토,␣,␣,"대구광역시 수성구 만촌동 3637, 7층",␣,␣,␣,1617193816,␣,␣,정수아
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0021.jpg,✘,2025,␣,4,␣,3,한화물류,␣,✘,␣,␣,✔,"40,000,000",4,✔,기아 카니발,␣,∅,34 너 9012,␣,␣,✔,애플카,␣,3,"인천광역시 연수구 송도동 3839, 5층",2025,␣,␣,1813180928,␣,␣,윤도현
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0022.jpg,✘,2025,␣,4,␣,17,아성전자,␣,✘,␣,␣,✔,"35,000,000",4,✔,현대 스타리아,␣,∅,567 더 3456,␣,␣,✔,주식회사 케이자동차,␣,17,"부산광역시 기장군 정관읍 4041, 3층",2025,␣,␣,1311112863,␣,␣,장예진
