image_path,017,051,002,041,056,050,036,043,008,052,016,013,026,055,006,023,038,039,042,009,045,044,035,057,049,053,054,028,046,011,005,000,007,001,047,048,004,012,027,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0000.jpg,✘,␣,␣,✘,1514732316,그,"57,130,000",␣,중국은행,XJ866E7Z,✘,␣,"48,240,000",∅,✔,␣,✔,✔,✘,상율,1,␣,␣,T251SXQ,2004.7.27,␣,✘,10,맹사리,736-50358833-64,경기도 파주시 문산읍 선유리 955-22 (경남세탁),홍리령,✘,2028-09-17,✘,사이의 절연이,사업시설 유지ㆍ관리 서비스업,4,7.7,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0001.jpg,✘,매우,063-0318-6540,✘,1734222906,넉넉하지,"9,720,000",10,뱅크오브아메리카,␣,✘,24,"46,970,000",∅,✘,"62,750,000",✔,✔,✘,국주노,28,␣,␣,T5I792I,1916/11/1,금언약,✘,12,라윤리,␣,충청남도 서산시 대산읍 명지3로 6-5 (대로리),␣,✘,␣,✘,비슷한데,탐정 및 조사 서비스업,10,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0002.jpg,✘,␣,␣,✔,9577493707,무너지고,␣,30,제주은행,WLH5E60D,✔,28,␣,∅,✘,"36,270,000",✔,✘,✘,␣,15,12,59.5,TLNK1RM,1994.12.7,김서우,✔,␣,문천준,7480-19-485852,경기도 하남시 하남대로 711 (천현동),갈직미,✘,1975.09.30,✘,죽을,␣,8,56.8,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0003.jpg,✔,25cm,031-1962-1167,✘,9196558667,들연의,"76,650,000",11,␣,␣,✔,15,␣,∅,✘,"32,320,000",✔,✔,✘,␣,7,1,␣,TR3BOA4,␣,어기대,✔,11,은주화,␣,부산광역시 남구 용호로106번길 41 (용호동),␣,✘,1936/1/24,✔,위하여,␣,11,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0004.jpg,✔,전리사,042-6596-4737,✘,1498919646,␣,"9,120,000",24,␣,7C4LEYKG,✘,5,␣,∅,✘,␣,✘,✔,✔,성아유미,9,5,84.7,T7SBZKQ,2025-09-21,간캘리,✔,32,형섬,193-34081985-27,␣,설루까스,✘,␣,✘,정극감지하다,지상파 방송업,12,41.9,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0005.jpg,✘,황제숭배,055-8692-5246,✘,9586609561,␣,␣,18,␣,␣,✔,4,"81,580,000",∅,✔,28260000,✔,✘,✘,선앨리슨,8,10,38.8,TNXD5JR,1993-07-01,␣,✘,␣,␣,␣,경상남도 진주시 집현면 진산로 1015 (대암리),␣,✔,␣,✔,␣,오락 및 스포츠용 보트 건조업,8,74.2,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0006.jpg,✘,기울이다.,␣,✘,1911448667,방망이.,4570000,12,␣,␣,✔,20,"87,670,000",∅,✔,6780000,✔,✔,✘,␣,17,␣,␣,TWK8RQR,1951년 5월 25일,␣,✔,␣,서문주리,955020-93-823521,␣,전령선,✘,1956.02.03,✔,␣,␣,␣,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0007.jpg,✔,끝냄.,043-119-4619,✔,9163947836,␣,"99,120,000",␣,␣,7XU8N2OY,✔,31,"23,210,000",∅,✘,"1,350,000",✔,✔,✘,␣,␣,8,␣,TWZCIID,1914/4/11,복푸름,✘,23,국진금,␣,␣,␣,✘,1965-11-11,✔,␣,주점업,6,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0008.jpg,✘,␣,061-5358-9995,✘,1813049940,따위를,"75,760,000",␣,␣,F0ZQESZL,✘,␣,"58,860,000",∅,✘,"64,860,000",✔,✔,✘,␣,12,10,73.4,THUZB87,1908.12.8,석빈센트,✘,31,고의근,␣,␣,하관휘,✘,␣,✔,꿀물에 반죽하여,␣,2,97.9,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0009.jpg,✔,둘러싸고,053-3848-3860,✔,1199615785,␣,␣,15,␣,␣,✘,22,"3570,000",∅,✔,3240000,✔,✔,✘,␣,21,3,45.5,TJ1BVRZ,1906.6.2,서리내,✔,␣,␣,␣,␣,␣,✘,1924/1/20,✔,나라에서 신성시하여,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",9,␣,✘
