image,011,005,000,003,007,001,013,006,002,004,009,012,010,014,008
A0000,✔,✘,2025,(주)에스엔피커뮤니케이션,2025,01,␣,✔,15,✔,15,9C1CCC004,장곡유하,␣,01
A0001,✔,✘,2025,티에이치산업개발,2025,03,␣,✔,22,✔,22,9C1CCC004,남재서민,␣,03
A0002,✔,✘,2025,서현기계(주),2025,05,␣,✔,08,✔,08,9C1CCC004,구초우은,␣,05
A0003,✔,✘,2025,대한예수교장로회중원햇빛교회,2025,07,␣,✔,11,✔,11,9C1CCC004,인도슬,␣,07
A0004,✔,✘,2025,광전운수,2025,09,␣,✔,03,✔,03,9C1CCC004,명예서,␣,09
A0005,✔,✘,2025,올리브떡볶이,2025,11,␣,✔,29,✔,29,9C1CCC004,유유영,␣,11
A0006,✔,✘,2025,파리바게트 ( 북수점 ),2025,02,␣,✔,04,✔,04,9C1CCC004,염우영채,␣,02
A0007,✔,✘,2025,기독교한국침례회생명의빛교회,2025,04,␣,✔,18,✔,18,9C1CCC004,인현시,␣,04
A0008,✔,✘,2025,멕시카나미룡대명점,2025,06,␣,✔,25,✔,25,9C1CCC004,하현예,␣,06
A0009,✔,✘,2025,(주)이포에프,2025,8,␣,✘,12,✔,12,9C1CCC004,채예현,␣,08
A0010,✔,✘,2025,공장개발종합건설,2025,10,␣,✘,7,✔,7,9C1CCC004,소라초,␣,10
A0011,✔,✘,2025,(주)한일통운,2025,12,␣,✔,31,✔,31,9C1CCC004,설재수,␣,12
A0012,✔,✘,2025,주식회사 남경전기,2025,1,␣,✘,9,✔,9,9C1CCC004,반현재,␣,1
A0013,✔,✘,2025,석재용달화물,205,03,␣,✔,16,✔,16,9C1CCC004,윤초도,␣,03
A0014,✔,✘,2025,대한예수교장로회예심교회,2025,05,␣,✔,23,✔,23,9C1CCC004,안초초,␣,05
A0015,✔,✘,2025,어상식품영농조합법인,2025,07,␣,✔,05,✔,05,9C1CCC004,신서우,␣,07
A0016,✔,✘,2025,화원산업개발(주),2025,09,␣,✔,19,✔,19,9C1CCC004,강우도,␣,09
A0017,✔,✘,2025,사단법인 사회적기업 청람,2025,11,␣,✔,14,✔,14,9C1CCC004,홍수슬,␣,11
A0018,✔,✘,2025,대륙엔지니어링,2025,2,␣,✔,28,✔,28,9C1CCC004,한영진,␣,2
A0019,✔,✘,2025,부전수산,2025,04,␣,✔,01,✔,01,9C1CCC004,성연빛,␣,04
A0020,✔,✘,2025,연천상운,2025,06,␣,✔,17,✔,17,9C1CCC004,남궁영나래,␣,06
A0021,✔,✘,2025,대구컴퓨터학원,2025,08,␣,✔,24,✔,24,9C1CCC004,박채지,␣,08
A0022,✔,✘,2025,(주)수호전자,2025,10,␣,✔,10,✔,10,9C1CCC004,탁태솔,␣,10
A0023,✔,✘,2025,(주)아주산업,2025,12,␣,✔,08,✔,08,9C1CCC004,신빛지,␣,12
A0024,✔,✘,2025,(주)세미레외장,2025,01,␣,✔,21,✔,21,9C1CCC004,마성서,␣,01
A0025,✔,✘,2025,태백약초영농조합,2025,03,␣,✔,30,✔,30,9C1CCC004,장곡유은,␣,03
A0026,✔,✘,2025,(주)미래ENG,2025,5,␣,✔,13,✔,13,9C1CCC004,백연진,␣,5
A0027,✔,✘,2025,(주)대상,2025,07,␣,✔,27,✔,27,9C1CCC004,위영솔,␣,07
A0028,✔,✘,2025,(주)뉴컴퍼니,2025,9,␣,✔,6,✔,6,9C1CCC004,길서나래,␣,9
A0029,✔,✘,2025,(주)광명도장산업,2025,11,␣,✔,20,✔,20,9C1CCC004,심빛도,␣,11
D0000,✘,✘,2026,␣,2002,5,1836876517,✘,16,✔,28,9C1CCC004,탁창식,I9UHYWE,6
D0001,✘,✘,2019,␣,␣,␣,1843428280,✔,6,✔,25,9C1CCC004,␣,␣,␣
D0002,✘,✔,␣,모경오,␣,9,1770472867,✔,15,✔,30,9C1CCC004,온린경,␣,␣
D0003,✔,✘,␣,방일선,2004,␣,␣,✘,31,✘,␣,9C1CCC004,␣,I17Y54N,12
D0004,✘,✘,2026,부효근,2039,␣,1718096281,✘,8,✔,29,9C1CCC004,␣,␣,7
D0005,✔,✘,2033,␣,2000,7,␣,✘,13,✔,␣,9C1CCC004,곽영곤,␣,␣
D0006,✘,✘,2010,손택균,2010,␣,9148456827,✘,9,✔,19,9C1CCC004,오초언,I48PXL1,7
D0007,✘,✘,2018,곽캐런,2038,7,1784536414,✘,23,✔,␣,9C1CCC004,석의용,␣,8
D0008,✔,✘,␣,␣,2031,10,9996393801,✘,13,✔,28,9C1CCC004,배이리스,␣,8
E0000,✔,✔,␣,␣,2008,11,1020722927,✘,␣,✘,␣,9C1CCC004,주서전,␣,␣
E0001,✘,✔,␣,길아시아,2026,␣,1384178024,✘,␣,✔,␣,9C1CCC004,안효겸,␣,␣
