image,021,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,027,024,012
A0000,01,✘,✔,✔,15,장곡유하,✘,2025,✔,✘,✔,✘,800101-3439903,(주)에스엔피커뮤니케이션,✔,JANGGOGYUHA,␣,010-4455-6677,␣,전략기획팀,SP10FAA004,장곡유하,✘,대한민국,✔,␣,✔,✘
A0001,03,✘,✔,✔,22,남재서민,✘,2025,✔,✘,✔,✘,810205-3439364,티에이치산업개발,✔,NAMJAESEOMIN,␣,010-5566-7788,567-89-01234,사업개발팀,SP10FAA004,남재서민,✘,대한민국,✔,␣,✔,✘
A0002,05,✘,✔,✔,08,구초우은,✘,2025,✔,✘,✔,✘,820310-3431745,서현기계,✔,GUCHOUEUN,␣,010-6677-8899,678-90-12345,미래전략팀,SP10FAA004,구초우은,✘,대한민국,✔,␣,✔,✘
A0003,07,✘,✔,✔,11,인도슬,✘,2025,✔,✘,✔,✘,830415-3436193,대한예수교장로회중원햇빛교회,✔,INDOSEUR,␣,010-7788-9900,7890123456,시장분석팀,SP10FAA004,인도슬,✘,대한민국,✔,␣,✔,✘
A0004,09,✘,✔,✔,03,명예서,✘,2025,✔,✘,✔,✘,840520-3431656,광전운수,✔,MYEONGYESEO,␣,010-8899-0011,8901234567,경쟁정보팀,SP10FAA004,명예서,✘,대한민국,✔,␣,✔,✘
A0005,11,✘,✔,✔,29,유유영,✘,2025,✔,✘,✔,✘,850625-3437450,올리브떡볶이,✔,YUYUYEONG,␣,010-9900-1122,9012345678,신규사업팀,SP10FAA004,유유영,✘,대한민국,✔,␣,✔,✘
A0006,02,✘,✔,✔,04,염우영채,✘,2025,✔,✘,✔,✘,860730-343702543,파리바게트 ( 북수점 ),✔,YEOMUYEONGCHAE,␣,010-0011-2233,123456789,사업전략팀,SP10FAA004,염우영채,✘,대한민국,✔,␣,✔,✘
A0007,04,✘,✔,✔,18,인현시,✘,2025,✔,✘,✔,✘,870805-3433806,기독교한국침례회생명의빛교회,✔,INHYEONSI,␣,010-1234-0000,1122334455,성장전략팀,SP10FAA004,인현시,✘,대한민국,✔,␣,✔,✘
A0008,06,✘,✔,✔,25,하현예,✘,2025,✔,✘,✔,✘,880910-3433319,멕시카나미룡대명점,✔,HAHYEONYE,␣,010-5678-1111,2233445566,혁신 전략팀,SP10FAA004,하현예,✘,대한민국,✔,␣,✔,✘
A0009,8,✘,✔,✔,12,채예현,✘,2025,✔,✘,✔,✘,891015-3438064,(주)이포에프,✔,CHAEYEHYEON,␣,010-9012-2222,3344556677,디지털전략팀,SP10FAA004,채예현,✘,대한민국,✔,␣,✔,✘
