image,010,017,022,020,036,019,008,011,016,000,025,026,001,027,023,038,018,009,021,024,037
A0000,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,주우지은나,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0001,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,정윤영솔,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0002,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,권현별,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0003,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,신예시,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0004,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,엄나래솔,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0005,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,현별수,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0006,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,채솔은,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0007,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,모성진,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0008,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,방솔진,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0009,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,강라,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0010,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,맹초라,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0011,✘,✔,✘,✘,SP10PAA027,✘,✘,✘,✘,✘,␣,하남우나,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0012,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,반준하,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0013,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,홍호서,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0014,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,전시별,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0015,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,최유시,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0016,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,박진우,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0017,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,노유진,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0018,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,여연민,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0019,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,류도유,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0020,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,양연진,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0021,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,육영윤,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0022,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,사공연,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0023,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,박현우,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0024,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,홍나현,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0025,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,맹민서,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0026,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,차재우,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0027,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,나연수,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0028,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,공시빛,✔,✔,␣,␣,✘,✔,✘,␣,␣
A0029,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,서문우,✔,✔,␣,␣,✘,✔,✘,␣,␣
D0000,✘,✘,✘,✘,SP10PAA027,✘,✘,✘,✘,✘,␣,␣,✘,✘,␣,␣,✔,✘,✘,␣,1619064690
D0001,✘,✘,✘,✘,SP10PAA027,✘,✘,✘,✘,✘,␣,␣,✘,✘,␣,␣,✘,✘,✔,␣,9174220651
D0002,✘,✘,✘,✔,SP10PAA027,✘,✔,✘,✘,✘,8,␣,✔,✘,2012,HESSVKN,✘,✘,✔,9,9539340562
D0003,✘,✘,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,␣,소에미리,✘,✔,␣,␣,✘,✘,✘,8,␣
E0000,✔,✘,✘,✘,SP10PAA027,✘,✘,✘,✘,✔,21,진은준,✘,✘,2012,␣,✘,✘,✘,␣,9848404545
