image,015,017,022,088,082,041,040,050,019,008,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,025,007,077,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,075,066,048,031,073,012,027,078
C0000,✘,✘,과장,도초린,CEO,✘,✔,✘,✔,✘,1183만원,✘,✔,✔,054-8966-1711,✘,✘,␣,단대경,✘,마카오,␣,✔,총이,✘,␣,✘,김기오,13,✘,✘,✘,✘,✔,✘,✔,14,✔,✔,✘,✘,✘,ANCA01,✔,✔,␣,어미,9314123506,2019,✘,✘,✔,SC제일은행,✘,PYEON SEUL-U,✘,✘,경상북도 경주시 남산순환로 803-6 (배동),✘,✘,✘,␣,✘,✘,✘,✘,1978.11.29,␣,✔,2001-03-30,✘,✘,␣,✘,✘,✔,2,UDUWJDP,2014,✘,✔,✔,2030,␣,✔,␣
C0001,✘,✘,과장,견채희,␣,✘,✘,✘,✘,✔,3749만원,✔,✘,✔,␣,✘,✘,단찬준,문혜,✘,온두라스,␣,✘,말을,✔,4785-55-340239,✔,남궁윤영,9,✘,✘,✘,✔,✘,✘,✘,23,✔,✘,✘,✘,✘,ANCA01,✘,✘,2012,비유적으로,1538065899,2019,✘,✔,✔,중국교통은행,✘,CHA MYEONGGYEONG,✘,✘,␣,✘,✔,✔,하루,✘,✘,✘,✘,␣,␣,✘,1929년 10월 7일,✘,✔,␣,✘,✘,✘,␣,UBXGYH7,2026,✘,✘,✘,2015,␣,✘,인아의
C0002,✔,✔,대리,오성협,부회장,✔,✘,✘,✔,✔,3473만원,✘,✘,✘,054-944-8872,✘,✔,두라의,␣,✘,오스트리아,한화토탈,✘,눈병을,✘,880-764954-112,✘,␣,14,✘,✘,✔,✘,✘,✘,✘,4,✘,✘,✘,✘,✘,ANCA01,✔,✘,␣,말.,9328984346,␣,✘,✘,✘,모건스탠리,✔,I HUIGWANG,✘,✘,␣,✘,✘,✘,␣,✘,✘,✘,✔,1962.1.3,추지현,✔,2037.07.02,✔,✘,모,✘,✘,✘,11,USIIXKQ,2022,✘,✘,✘,2025,␣,✔,권재경
C0003,✘,✘,␣,엄순성,과장,✘,✘,✘,✘,✘,␣,✔,✘,✘,␣,✘,✔,기승혁,승민예,✘,투르크메니스탄,␣,✔,노력한,✘,457-62440619-85,✘,고루이스,␣,✘,✔,✘,✘,✔,✘,✘,1,✘,✔,✘,✘,✘,ANCA01,✘,✘,␣,␣,9476477991,2011,✔,✘,✘,한국씨티은행,✘,␣,✔,✘,전북특별자치도 남원시 하정동 50,✘,✔,✘,빌려주었던,✘,✘,✘,✘,␣,차키이라,✔,␣,✘,✘,형제,✘,✔,✔,␣,UW9CPVE,2017,✘,✘,✘,2021,권무,✘,신치용
C0004,✔,✘,COO,윤야라,␣,✘,✘,✘,✔,✘,␣,✘,✘,✘,␣,✔,✘,함환휘,가러브,✘,튀르키예,␣,✘,벗겨지지,✘,892-89648047-20,✘,곽조히,4,✔,✔,✔,✔,✘,✔,✘,30,✔,✔,✘,✘,✔,ANCA01,✘,✘,2010,프로그램.,1982157004,2020,✔,✔,✔,중국공상은행,✔,HWANG BOHOMYEONG,✘,✘,␣,✘,✘,✘,따라,✔,✘,✔,✔,2000-02-09,␣,✘,1925.09.18,✘,✘,아들,✘,✘,✔,7,UT71MYA,␣,✘,✘,✘,2013,되다.,✘,␣
C0005,✘,✘,연구원,␣,차장,✔,✘,✘,✘,✘,␣,✘,✔,✘,031-6583-0115,✘,✘,␣,엄도완,✔,라오스,국제약품,✘,에누리도,✘,791-786358-05674,✘,우나실,␣,✘,✘,✔,✘,✘,✘,✘,␣,✘,✘,✘,✘,✘,ANCA01,✔,✔,2023,␣,1151612462,2025,✘,✔,✘,우리은행,✘,DO LU-ISEU,✘,✘,서울특별시 중랑구 동일로149길 62 (묵동),✔,✔,✘,놂.,✘,✘,✘,✔,2021/8/26,가이상,✔,1947/7/30,✘,✔,배우자,✘,✔,✘,␣,U97D9WH,␣,✘,✔,✘,2022,내는,✘,␣
C0006,✘,✘,␣,␣,전무,✔,✘,✘,✘,✘,1658,✔,✔,✘,02-660-2731,✘,✔,인주열,서문화비,✔,부탄,SK임업,✘,소리로,✘,␣,✘,공준구,22,✔,✘,✘,✔,✘,✘,✘,25,✘,✘,✔,✘,✘,ANCA01,✘,✘,2020,이사장.,9954653625,␣,✔,✘,✘,뱅크오브아메리카,✘,NAM CHANSEOB,✘,✘,전라남도 담양군 대전면 대치4길 6-32 (대치리),✘,✘,✘,있다.,✔,✔,✘,✔,2022/9/23,함감찬,✘,1971.12.7,✘,✘,아들,✔,✔,✘,12,UK3J3HG,2030,✔,✘,✘,2029,조선,✘,␣
C0007,✘,✔,회장,허비송,본부장,✘,✘,✘,✔,✔,␣,✔,✘,✘,052-8042-6662,✔,✘,␣,␣,✘,아이슬란드,쌍용그룹,✘,␣,✔,␣,✘,표한아름,1,✘,✔,✘,✔,✘,✘,✔,23,✔,✘,✔,✔,✘,ANCA01,✔,✔,␣,씨근덕거리다,9223318868,␣,✘,✔,✔,제주은행,✘,␣,✘,✘,␣,✘,✔,✘,␣,✘,✘,✔,✘,␣,승켈리,✔,␣,✔,✘,␣,✘,✘,✘,␣,UCEWLTM,␣,✘,✘,✘,2012,␣,✘,␣
C0008,✔,✘,COO,모세흰,␣,✘,✘,✘,✔,✘,1958,✔,✔,✘,041-5328-4423,✘,✔,왕범기,한산지,✔,아르헨티나,더달콤,✘,␣,✔,␣,✔,␣,␣,✘,✔,✘,✘,✘,✘,✔,19,✘,✔,✘,✘,✔,ANCA01,✔,✘,2018,조라기.,9219893524,␣,✘,✘,✘,도이체방크,✘,JE GALSI-WON,✘,✘,경기도 화성시 송산면 육일리 550,✘,✘,✔,이번에,✔,✔,✘,✔,2025.11.29,손채설,✘,2047.12.8,✘,✘,아들,✔,✔,✘,2,URKL9N4,␣,✔,✘,✘,␣,있다.,✘,동겸서
D0000,✘,✘,인턴,␣,회장,✘,✘,✔,✔,✘,4960만원,✘,✘,✘,02-208-4269,✘,✘,홍여향,␣,✘,아르헨티나,KG그룹,✘,␣,✔,␣,✔,명상지,13,✘,✔,✘,✘,✔,✘,✘,18,✔,✔,✘,✘,✘,ANCA01,✘,✔,2012,␣,␣,␣,✘,✘,✔,한국수출입은행,✔,␣,✘,✘,강원특별자치도 영월군 주천면 바둑골길 20-6 (금마리),✔,✘,✔,나가는,✔,✘,✘,✘,1990년 7월 10일,현범솔,✘,2037-06-13,✔,✘,부,✔,✘,✘,12,LRZQS7R,19,✘,✘,✔,␣,고요함.,✘,단빛가온
