image,015,017,022,033,002,041,032,040,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
C0000,2040-05-23,DANG TAEHYEOG,␣,✘,␣,9,✘,7,✔,␣,␣,레바논,041-488-9538,␣,02-835-6927,␣,벌그스레,✔,2016,010-7812-9748,␣,교과,␣,인턴,✔,범빛하나,✘,✔,✘,✘,경기도 양평군 단월면 재인동길 238 (보룡리),34,"4,660,000",∅,␣,조부,왕영휘,EUN BO-UN,043-1322-3030,1965년 5월 23일,1,✘,9841147945,UJLIAW9,␣,␣,민현미,과장
C0001,␣,YUG CHEHUI,바디프랜드,✔,␣,␣,✔,1,✘,부,␣,미국,02-611-1088,␣,042-9042-3940,울산광역시 울주군 두동면 월평리 1095-1,␣,✔,2030,␣,태정우,위수분지,␣,부문장,✘,추유헌,✔,✘,✘,✘,␣,12,"92,180,000",∅,␣,␣,나선경,GO HA-EUNG,063-4984-6624,␣,13,✘,9731073357,UFVZGCG,␣,서울특별시 중랑구 중화동 326-112,␣,전무
C0002,␣,␣,␣,✔,시리아,30,✘,4,✘,모,␣,␣,␣,서울특별시 도봉구 우이천로16길 12-3 (창동),␣,경상남도 함양군 유림면 옥매리 373,␣,✘,␣,␣,엄의승,뭔가,053-6769-0577,실무자,✘,호재동,✔,✘,✔,✘,경기도 남양주시 와부읍 경강로 843-12 (도곡리),␣,"54,920,000",∅,25,형제,연앨리스,GONG JEMMA,032-8788-5139,2015-04-15,7,✘,9504642271,UDS7P5E,010-1346-8124,강원특별자치도 동해시 구미동 477-2,진은철,CEO
C0003,1936년 12월 6일,␣,롯데마트,✘,␣,11,✘,11,✔,아들,NICE평가정보,␣,␣,전라남도 담양군 가사문학면 학선리 15-3,032-7489-5198,경상남도 창원시 진해구 용원동 1174-9,소아06,✘,2010,010-2007-8814,승요찬,따위가,␣,␣,✔,맹채람,✔,✘,✔,✘,경기도 김포시 운양로 111-16 (운양동),5,"45,170,000",∅,20,본인,왕나진,BOG CHIHYEOG,␣,1900/5/29,18,✘,9689320670,U1YV89B,010-0727-8372,␣,␣,␣
C0004,2000-01-25,DONG MYEONGGU,␣,✘,␣,27,✘,␣,✔,아들,웹젠,예멘,␣,␣,␣,"경기도 성남시 수정구 시민로150번길 5 (신흥동, 스카이캐슬)",전륜왕이,✔,2021,␣,심송훈,같은,061-1038-7965,전무,✔,␣,✘,✔,✘,✘,"전라남도 신안군 흑산면 예리1길 108 (예리, 신일수산)",21,"4,130,000",∅,14,손자,채제호,␣,02-272-8199,1968.08.05,24,✘,1076689652,UN8KY46,010-4130-0833,경기도 광명시 하안동 887-5,인기종,␣
C0005,1947.12.23,GYEONG GYEONGLYEOL,제주맥주,✘,불가리아,␣,✘,6,✔,손자녀,SG세계물산,오만,␣,␣,043-8713-6523,␣,␣,✘,2025,010-2596-1685,경선향,때에,061-9786-1885,␣,✘,␣,✘,✔,✘,✘,␣,3,"28,290,000",∅,6,␣,␣,␣,043-3486-7167,␣,11,✔,1291024307,UOR0TX5,010-4030-2524,␣,음유원,전무
C0006,␣,␣,숙명여자고등학교,✘,␣,␣,✘,5,✔,손자녀,이스타항공,이탈리아,␣,전북특별자치도 익산시 함라면 금성리 733,051-4588-8145,␣,␣,✘,2016,010-6591-6652,승오준,시각을,064-5376-3424,␣,✔,이다균,✘,✘,✔,✘,␣,␣,"3,750,000",∅,27,기타,여관석,GA SAE-YEON,032-0614-3202,␣,10,✘,9111958261,UCE6A4J,010-5954-9514,경상북도 영양군 청기면 청기리 605-6,␣,부장
C0007,␣,PI SAEBYEOGBYEOL,␣,✘,카자흐스탄,10,✘,2,✔,기타,한국비철금속협회,북마케도니아,064-8931-1589,광주광역시 광산구 신가동 763-4,044-0596-8745,경상남도 통영시 북신동 56-7,어근.,✘,2015,010-3662-4507,제갈시음,나가는,02-647-6130,파트장,✘,␣,✔,✘,✘,✔,␣,23,"53,470,000",∅,8,손자녀,좌유오,SEO LINAGIM,␣,2025/3/13,␣,✘,9945251739,UXB1TI4,010-4251-8491,전북특별자치도 익산시 중앙로9길 30-4 (마동),␣,과장
C0008,1991-06-06,BAE HYEONGSEON,삼우종합건축사사무소,✘,이란,12,✘,8,✘,␣,호반건설,␣,␣,경기도 이천시 모가면 진가리 442-11,␣,␣,␣,✔,2028,010-0431-5275,␣,␣,␣,CMO,✘,예모은,✔,✘,✘,✘,경기도 평택시 지제동 53-3,15,␣,∅,14,␣,갈이음,␣,044-8165-6561,2044년 10월 2일,30,✔,9790899856,UL5MOCS,␣,울산광역시 울주군 웅촌면 대복동천로 162 (석천리),염천율,실장
C0009,1909.11.27,␣,영림몰딩,✘,영국,26,✘,7,✔,친척,LG그룹,몽골,032-3537-7778,전라남도 목포시 산정로134번길 8 (산정동),02-530-6420,강원특별자치도 동해시 지양길 14 (효가동),␣,✘,␣,010-8511-8413,␣,영리를,␣,COO,✘,주예겸,✘,✘,✔,✔,"인천광역시 중구 참외전로 13 (송월동1가, 송월아파트)",␣,"2,780,000",∅,␣,␣,박금진,␣,041-7072-3808,␣,29,✔,1131884490,UY76RRI,010-0739-7552,␣,승항성,주임
