image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,068,011,003,007,001,025,047,063,014,010,060,061,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,071,034,053,070,054,030,046,005,000,031,048,066,004,012,027
C0000,✔,✘,✔,✘,부려희,␣,␣,✘,✘,용의주도하다의 어근,✔,✘,BOG DAMBYEOL,✘,✘,␣,CMO,70.3%,✘,✘,✔,✘,✘,✘,✘,✘,✘,경창의,23,✔,✘,✘,2022,아랍에미리트,␣,␣,갖는,1964.5.4,SEOL DODO,48.1%,황규림,␣,✘,✔,␣,일.,␣,␣,✘,✘,2037년 7월 22일,␣,문린희,크로아티아,∅,HEK5JCN,깨달음을 이른다.,추례나,1414417011,SEONG BEULENDA,✘,␣,✔,✘,✘,BONG GWANSEONG,디어유,✔,✘,✘
C0001,✔,✘,✔,✘,차선민,␣,␣,✘,✘,먹어 몸의,✘,✘,␣,✔,✘,타지키스탄,␣,20.4%,✘,✘,✔,✘,✘,✘,✘,✘,✘,␣,20,✔,✘,✘,2010,캄보디아,때가,11,␣,1905-12-04,␣,82.3%,진두림,승재상,✘,✘,54.3%,다른,1937.06.07,␣,✘,✘,1917/3/28,␣,␣,이스라엘,∅,HSMNETM,␣,류주학,1550402608,EUM GWANGHYE,✔,계통으로 하는,✘,✘,✔,MO GAMI,한국도로공사,✘,✘,✘
C0002,✘,✘,✘,✘,승미지자,살펴 밝히다.,1913.12.2,✔,✔,␣,✘,✔,JI TAEJIN,✔,✘,태국,실무자,84.0%,✔,✘,✘,✘,✘,✔,✘,✘,✔,동장환,␣,✘,✘,✘,2023,페루,␣,␣,␣,1914-04-25,CHOE AENJI,␣,제갈위서,서문여언,✘,✘,36.5%,␣,1926/5/27,이스라엘,✔,✘,1958년 3월 6일,17.8%,␣,캄보디아,∅,H9NXEHS,"양양,",육금실,1699652289,␣,✔,글자체 가운데,✔,✘,✘,SONG EBELLIN,OCI,✘,✘,✘
C0003,✘,✘,✔,✘,염영원,때 연합국,␣,✘,✔,말이,✔,✘,NA HUIJAE,✔,✘,콜롬비아,COO,51.3%,✔,✘,✘,✘,✘,✔,✘,✘,✔,␣,7,✘,✔,✘,2020,핀란드,집중되어,␣,측정하는,1959년 5월 15일,JWA ONGI,47.4%,왕정민,전승원,✘,✘,␣,전편보다,␣,보스니아헤르체고비나,✘,✘,1921-08-14,6.3%,남궁재휘,␣,∅,HUWNOQJ,세계를,␣,9241337660,MOG JU-EUM,✘,덕이 후하다.,✘,✘,✔,JU LIB,넥센타이어,✘,✔,✘
C0004,✘,✔,✔,✔,김휘주,나라.,1920-09-29,✘,✔,앉음. 노수신이,✔,✘,PI EOSEUTIN,✔,✘,러시아,␣,46.2%,✘,✘,✔,✘,✘,✘,✘,✘,✘,상아야나,␣,✘,✘,✘,␣,카자흐스탄,재할인료,␣,␣,1982.05.23,DO LAHWI,␣,갈혜,␣,✘,✔,24.8%,퇴좌,1918/7/12,네덜란드,✔,✔,␣,31.0%,손민혁,␣,∅,HFW6K4Y,까마아득한 옛날.,나사키,9188791984,WANG IGWON,✘,"등식. ,",✘,✔,✔,PYEON CHUNGSEONG,금양인터내셔날,✘,✘,✘
C0005,✘,✘,✔,✘,여규택,봉착했다.,2034.03.24,✘,✘,경유차 경유를,✘,✔,GIL CHANSEUL,✘,✘,␣,전임,85.5%,✘,✘,✔,✔,✘,✘,✘,✘,✘,␣,␣,✘,✘,✘,2024,이탈리아,␣,␣,␣,1930.2.11,␣,66.4%,곽시양,구상진,✘,✘,␣,위의,1960/5/26,쿠바,✘,✔,␣,54.9%,부채진,␣,∅,H7D2FRF,창업과,문비주안,1709703732,JEONG SANGGYUN,✔,하다 요대하여,✘,✔,✘,YUN SOHYANG,제스프리 키위,✘,✔,✘
C0006,✘,✘,✘,✘,박재서,하다 매흉하여,␣,✘,✘,하면 처벌할,✘,✘,YEO ILSU,✘,✔,쿠바,연구원,96.5%,✘,✔,✘,✔,✘,✘,✘,✘,✘,반연홍,3,✔,✘,✘,2020,코스타리카,태우고,11,장식을,␣,␣,1.9%,좌순명,온소마,✘,✘,␣,말이다.,␣,␣,✔,✘,2000.01.23,71.6%,␣,␣,∅,HMY99LX,일.,␣,9790998035,GYEON LEUMHWA,✘,움직이도록 설계된,✘,✔,✘,I SUGEUN,금강공업,✘,✘,✘
C0007,✘,✘,✔,✔,홍눈솔,␣,1987년 6월 17일,✘,✘,맹자에서,✘,✔,HAM IGEON,✔,✔,덴마크,부회장,54.7%,✘,✘,✔,✘,✔,✘,✔,✔,✘,␣,8,✘,✘,✘,2011,코스타리카,␣,3,␣,␣,␣,␣,옥유인,심선운,✘,✘,46.2%,비난조로,1973년 5월 13일,카타르,✘,✔,␣,␣,␣,에콰도르,∅,HI6ADY9,␣,제소애,9847209023,␣,✘,␣,✘,✔,✔,␣,삼양화성,✘,✘,✘
C0008,✔,✘,✘,✘,복효문,모양으로 돋아난,1927년 4월 12일,✔,✘,␣,✘,✘,CHU SAMI,✔,✘,방글라데시,전무,11.4%,✘,✘,✘,✘,✘,✘,✘,✔,✘,안로연,7,✘,✘,✔,2017,␣,␣,11,␣,1995년 9월 10일,YANG YONGGYEOM,94.1%,␣,␣,✘,✘,32.4%,논밭에,1963/8/7,오만,✔,✘,␣,␣,하부준,␣,∅,HOFTRNK,␣,태유내,9970131412,BONG BYEONGCHEOL,✔,것을 받아서,✘,✘,✘,SEOL HUIHU,폴라리스엔터테인먼트,✘,✔,✘
D0000,✘,✘,✘,✘,옥주련,될 확률이,1900.07.29,✘,✔,␣,✘,✘,␣,✘,✘,몰디브,사장,91.7%,✔,✘,✘,✔,✔,✘,✘,✔,✔,␣,␣,✘,✘,✘,2025,칠레,␣,5,␣,␣,JIN GEON-YEONG,␣,선비은,주율온,✘,✘,67.2%,제삼자에게,1987.12.29,␣,✘,✔,␣,43.7%,어호택,␣,∅,LBB6ERO,노력함으로써,여현철,␣,BAE HUIHEON,✘,주위에서,✘,✘,✘,␣,SK와이번스,✘,✔,✘
D0001,✘,✔,✘,✘,민기덕,창.,2036.12.24,✘,✘,얼룩이 생기며,✔,✘,SEON EUNJI,✘,✘,␣,␣,␣,✔,✔,✘,✔,✘,✔,✘,✔,✔,피채월,31,✘,✔,✔,␣,요르단,모여서,6,나이를,2048-12-01,GA DONJA,33.4%,␣,␣,✘,✘,27.1%,␣,1985-03-30,␣,✘,✘,1954-06-21,4.7%,␣,온두라스,∅,LS4TSAZ,단체에 어떤,서도규,9472378507,MOG CHIHYEONG,✘,␣,✔,✘,✘,␣,␣,✘,✘,✘
D0002,✔,✔,✘,✘,␣,정도로,2045/2/28,✘,✘,과조하다 조세를,✔,✔,BANG JAE-YUN,✔,✔,몬테네그로,사원,71.0%,✘,✘,✘,✘,✘,✘,✘,✔,✘,최연웅,5,✘,✘,✔,2033,␣,␣,11,있는,1934년 11월 25일,␣,72.6%,엄도성,명새로운,✔,✘,66.3%,␣,␣,아프가니스탄,✘,✘,␣,96.3%,선우세준,헝가리,∅,LKVJ25L,많이,␣,9656701952,HAN SAN-UL,✘,위에 높직이,✘,✘,✔,SA GONGHAJEL,␣,✔,✔,✘
