image,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,021,024,012
A0000,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,1,✘,✘,✘,␣,황정준민,✘,12,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0001,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,3,✘,✘,✘,␣,허라태,✘,27,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0002,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,5,✘,✘,✘,␣,현솔아,✘,5,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0003,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,07,✘,✘,✘,␣,조별아,✘,18,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0004,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,9,✘,✘,✘,␣,곽하은,✘,11,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0005,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,11,✘,✘,✘,␣,채도예,✘,24,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0006,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,02,✘,✘,✘,␣,전영도,✘,28,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0007,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,04,✘,✘,✘,␣,손별재태,✘,15,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0008,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,06,✘,✘,✘,␣,반시초,✘,22,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0009,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,08,✘,✘,✘,␣,송준라,✘,03,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0010,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,10,✘,✘,✘,␣,심시서,✘,17,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0011,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,12,✘,✘,✘,␣,최채재,✘,30,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0012,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,1,✘,✘,✘,␣,전솔빛,✘,6,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0013,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,3,✘,✘,✘,␣,엄재빈,✘,19,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0014,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,5,✘,✘,✘,␣,장곡채빛,✘,29,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0015,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,7,✘,✘,✘,␣,마나별,✘,9,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0016,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,9,✘,✘,✘,␣,민태재,✘,22,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0017,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,11,✘,✘,✘,␣,양슬은,✘,05,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0018,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,2,✘,✘,✘,␣,염민빛지,✘,14,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
