image,011,005,000,003,007,001,013,006,002,004,009,012,010,008
A0000,RPRT02,2025.01.12,황정준민,010-3456-1901,01,1986-03-22,␣,2025,서울시 강남구 강남대로 292,"100,000,000",강남대로 지점,␣,✔,13
A0001,RPRT02,2025.03.27,허라태,010-7890-2012,03,1986-04-09,␣,2027,서울시 강남구 강남대로 626,"100,000,000",구정 대리점,␣,✔,28
A0002,RPRT02,2025.5.5,현솔아,010-1234-2123,5,1986-04-25,␣,2025,서울시 강남구 광평로 280,"100,000,000",수서역 대리점,␣,✔,6
A0003,RPRT02,2025-7-18,조별아,010-5678-2234,7,1986-05-15,␣,2025,서울시 강남구 남부순환로 2917,"100,000,000",개포 지점,␣,✔,19
A0004,RPRT02,2025-09-11,곽하은,010-9012-2345,09,1986-06-01,␣,2025,서울시 강남구 밤고개로 252,"100,000,000",율곡 대리점,␣,✔,12
A0005,RPRT02,2025.11.24,채도예,010 3456 2456,11,1986.6.17,␣,2025,서울시 강남구 봉은사로 115,"100,000,000",신사 대리점,␣,✔,25
A0006,RPRT02,2025.2.8,전영도,010 7890 2567,2,1986.7.2,␣,2025,서울시 강남구 삼성로 324,"100,000,000",신대치 대리점,␣,✔,9
A0007,RPRT02,2025.4.15,손별재태,010 1234 2678,4,1986.7.18,␣,2025,서울시 강남구 삼성로 648,"100,000,000",강남청담 지점,␣,✔,16
A0008,RPRT02,2025.6.22,반시초,010 5678 2789,6,1986.8.4,␣,2025,서울시 강남구 선릉로 531,"100,000,000",남서울 대리점,␣,✔,23
A0009,RPRT02,2025년08월03일,송준라,010-9012-2890,08,1986-08-20,␣,2025,서울시 강남구 언주로 122,"100,000,000",도곡중앙 대리점,␣,✔,04
A0010,RPRT02,2025년 10월 17일,심시서,010-3456-2901,10,1986-09-08,␣,2025,서울시 강남구 언주로 309,"100,000,000",경복 대리점,␣,✔,18
A0011,RPRT02,2025년 12월 30일,최채재,010-7890-3012,12,1986-09-24,␣,2025,서울시 강남구 언주로 738,"100,000,000",도산대로 지점,␣,✔,31
A0012,RPRT02,2025년 01월 06일,전솔빛,010-1234-3123,1,1986-10-10,␣,2025,서울시 강남구 영동대로 302,"100,000,000",대치 지점,␣,✔,7
A0013,RPRT02,2025.03.19,엄재민,010-5678-3234,03,1986-10-26,␣,2025,서울시 강동구 강동대로 199,"100,000,000",올림픽 지점,␣,✔,20
A0014,RPRT02,2025.05.29,장곡채빛,010-9012-3345,05,1986-11-13,␣,2025,서울시 강동구 상일로 141,"100,000,000",고덕 대리점,␣,✔,30
A0015,RPRT02,2025.07.09,마나별,010-3456-3456,07,1986-12-01,␣,2025,서울시 강동구 천호대로 1096,"100,000,000",성내 지점,␣,✔,10
A0016,RPRT02,2025.09.22,민태재,010-7890-3567,09,1986.12.17,␣,2025,서울시 강동구 천호대로 1220,"100,000,000",길동 대리점,␣,✔,23
A0017,RPRT02,2025.11.05,양솔은,010-1234-3678,11,1987.01.18,␣,2025,서울시 강동구 천호동 287‑14,"100,000,000",천호 대리점,␣,✔,06
A0018,RPRT02,2025.02.14,염민빛지,010-5678-3789,02,1987년 02월 03일,␣,2025,서울시 강북구 덕릉로 186,"100,000,000",강북중앙 지점,␣,✔,15
A0019,RPRT02,2025.04.02,성유채,010-9012-3890,04,1987 0219,␣,2025,서울시 강북구 도봉로 225,"100,000,000",강북 대리점,␣,✔,03
A0020,RPRT02,2025.06.15,변도하,010-3456-3901,06,1987 03 08,␣,2025,서울 강북구 삼양로 491,"100,000,000",우이 대리점,␣,✔,16
A0021,RPRT02,2025. 08.28,반채,010-7890-4012,8,1987-03-24,␣,2025,서울 강북구 삼양로 258,"100,000,000",수유 대리점,␣,✔,29
A0022,RPRT02,2025.10.01,신나나,010-1234-4123,10,1987-04-11,␣,2025,서울 강남구 강남대로 580,"100,000,000",강남영동 지점,␣,✔,02
A0023,RPRT02,2025. 12. 11,서재래,010-5678-4234,12,1987-04-27,␣,2025,서울 강남구 남부순환로 2941,"100,000,000",대치갤러리 지점,␣,✔,12
A0024,RPRT02,2025. 01. 23,윤영하,010-9012-4345,01,1987-05-17,␣,2025,서울 강남구 도곡로 313,"100,000,000",도곡 지점,␣,✔,24
A0025,RPRT02,2025. 03. 31,엄빛예,010-3456-4456,4,1987-06-03,␣,2025,서울 서초구 동산로 30,"100,000,000",동산로 대리점,␣,✔,1
A0026,RPRT02,2025.5.10,반민하,010-7890-4567,5,1987-06-19,␣,2025,서울 강남구 언주로 532,"100,000,000",신사 대리점,␣,✔,11
A0027,RPRT02,2025.07.25,류우윤,010-1234-4678,7,1987-07-05,␣,2025,서울 강서구 강서로 308,"100,000,000",발산 대리점,␣,✔,26
A0028,RPRT02,2025.9.7,황정나,010-5678-4789,9,1987-07-21,␣,2025,서울 관악구 남부순환로 1395,"100,000,000",토리 대리점,␣,✔,8
A0029,RPRT02,2025.11.18,백지예,010.9012.4890,11,1987-08-07,␣,2025,␣,"100,000,000",연신내 대리점,␣,✔,19
C0000,RPRT02,1908.11.26,␣,02-433-1757,10,2002년 12월 26일,SVV0S5N,␣,대구광역시 달서구 야외음악당로 19-9 (성당동),41710000,␣,1310752916,✘,␣
D0000,RPRT02,2003-10-06,␣,␣,5,␣,IRA5UF7,␣,제주특별자치도 서귀포시 하효동 38,␣,당도임,1340831240,✔,16
D0001,RPRT02,1955/12/5,황송운,055-5051-6339,2,␣,IAC69VQ,2014,대구광역시 서구 통학로21길 6-9 (평리동),␣,엄공,␣,✘,␣
D0002,RPRT02,2042.7.28,␣,033-1194-8297,3,2006/6/14,I9WSPKV,2020,서울특별시 관악구 봉천동 5-32,"3,320,000",국해들,1590047698,✔,10
