image,015,017,022,088,082,002,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
A0000,✔,김민준건축,␣,✘,␣,Kimminjun,"서울특별시 강남구 테헤란로 123, 10층",대표,✔,123-45-67890,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✔,✘,✘,건설업/건축,✘,✘,✘,✘,␣,✘,19880512,"서울특별시 강남구 테헤란로 123, 10층",김민준,✔,✘,✘,✘,✔,010.1234.5678,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,"서울특별시 강남구 테헤란로 123, 10층",␣,␣,2015-03-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1682090901,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0001,✔,␣,␣,✘,␣,ParkSeoyeon,경기도 성남시 분당구,␣,✘,␣,␣,✘,✔,␣,031-123-4567,␣,✘,✘,✘,✔,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1992-11-20,"경기도 성남시 분당구 정자동 111, 202호",박서연,✘,✘,✘,✘,✘,010-9876-5432,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,ABC주식회사,사무직,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1987654321,✔,✔,✘,✘,✘,␣,␣,✘,✘
A0002,✔,이지훈카페,␣,✘,␣,LeeJihoon,␣,␣,✘,987-65-43210,␣,✘,✘,␣,␣,␣,✔,✘,✘,✘,✔,✘,✘,서비스업/카페,✘,✘,✘,✘,␣,✘,1985-07-05,"부산광역시 해운대구 마린시티1로 55, 303호",이지훈,✘,✘,✘,✘,✔,010-5555-1212,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2018-10-01,␣,␣,␣,✔,✘,✘,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,APRT19,␣,␣,1579324680,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0003,✔,␣,␣,✘,␣,ChoiSua,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✔,✘,✘,✘,␣,✘,1995-02-18,"대전광역시 서구 둔산로 100, 505호",최수아,✘,✘,✘,✘,✘,010.2468.1357,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1472583691,✘,✔,✘,✘,✘,␣,␣,✘,✘
A0004,✔,정예진미용실,␣,✘,␣,JungYejin,␣,␣,✘,456-78-90123,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✔,✘,✘,서비스업/미용,✘,✘,✘,✘,␣,✘,1982-09-03,"인천광역시 연수구 송도문화로 222, 707호",정예진,✔,✘,✘,✔,✔,010.8765.4321,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2010-06-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,APRT19,␣,␣,1852963740,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0005,✔,␣,␣,✘,␣,KangJiwoo,광주광역시 북구,␣,✘,␣,␣,✘,✔,␣,062-123-4567,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1990-04-25,"광주광역시 북구 용봉동 333, 404호",강지우,✘,✘,✘,✘,✘,010.3692.5814,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,XYZ회사,영업직,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1368259470,✔,✔,✘,✘,✘,␣,␣,✘,✘
A0006,✔,윤서현화장품,␣,✘,␣,YoonSeohyun,␣,␣,✘,789-01-23456,␣,✘,✘,␣,␣,␣,✔,✘,✘,✔,✔,✘,✘,도소매업/화장품,✘,✘,✘,✘,␣,✘,1987.12.10,"울산광역시 남구 삼산로 444, 606호",윤서현,✘,✘,✘,✘,✔,010 1122 3344,✘,✘,␣,✘,✘,✔,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2017.5.1,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1749528361,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0007,✔,␣,␣,✘,␣,JangHaneul,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1993.8.15,"전주시 완산구 효자동 555, 808호",장하늘,✘,✘,✘,✘,✘,010 4455 6677,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,APRT19,␣,␣,1625894730,✘,✔,✘,✘,✘,␣,␣,✘,✘
A0008,✔,송지훈 정비소,␣,✘,␣,SongJihoon,␣,␣,✘,012-34-56789,␣,✘,✘,␣,␣,␣,✘,✘,✔,✘,✔,✘,✘,서비스업/정비,✘,✘,✘,✘,␣,✘,1984.1.8,"대구광역시 수성구 동대구로 666, 909호",송지훈,✔,✘,✘,✘,✔,010 8765 4321,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2012.11.1,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1296357840,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0009,✔,␣,␣,✘,␣,Bae Sujin,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,✘,1996.6.22,"제주특별자치도 제주시 연동 777, 1010호",배수진,✘,✘,✘,✘,✘,010 2345 6789,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,APRT19,␣,␣,1537926841,✘,✔,✘,✘,✘,␣,␣,✘,✘
A0010,✔,권민서인테리어,␣,✘,␣,KwonMinseo,␣,␣,✔,345-67-89012,␣,✘,✘,␣,␣,␣,✔,✘,✘,✘,✔,✘,✘,건설업/인테리어,✘,✘,✘,✘,␣,✘,1989-03-01,"경기도 용인시 수지구 동천로 888, 1111호",권민서,✘,✘,✘,✘,✔,010-5678-9012,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2016-08-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1864295370,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0011,✔,␣,␣,✘,␣,JoYena,마케팅,031-987-6543,✘,␣,␣,✘,✔,␣,␣,␣,✘,✘,✘,✔,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1991-10-15,"강원도 춘천시 퇴계동 999, 1212호",조예나,✘,✘,✘,✘,✘,010-8901-2345,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,LMN회사,경기도용인시,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1428579631,✔,✔,✘,✘,✘,␣,␣,✘,✘
A0012,✔,임준서식당,␣,✘,␣,ImJunseo,␣,␣,✘,456-78-90123,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✔,✘,✘,서비스업/식당,✘,✘,✘,✘,␣,✘,1986-05-07,"충청북도 청주시 흥덕구 오송읍 1010, 1313호",임준서,✔,✘,✘,✘,✔,010-1234-5678,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2014-02-01,␣,␣,␣,✔,✘,✘,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,APRT19,␣,␣,1975318640,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0013,✔,␣,␣,✘,␣,HanSeojun,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✔,✘,✘,✘,␣,✘,1994-12-28,"전라남도 나주시 빛가람동 1111, 1414호",한서준,✘,✘,✘,✘,✘,010-9876-5432,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1639582741,✘,✔,✘,✘,✘,␣,␣,✘,✘
A0014,✔,서지연 옷가게,␣,✘,␣,Seo Jiyeon,␣,␣,✘,789-01-23456,␣,✘,✘,␣,␣,␣,✔,✘,✘,✘,✔,✘,✘,도소매업/의류,✘,✘,✘,✘,␣,✘,1983.7.11,"경상남도 창원시 성산구 상남동 1212, 1515호",서지연,✘,✘,✘,✘,✔,010-5555-1212,✘,✘,␣,✘,✘,✔,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2011-09-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,APRT19,␣,␣,1258749360,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0015,✔,␣,␣,✘,␣,Shin Yejin,광주광역시 동구,␣,✘,␣,␣,✘,✔,␣,062-456-7890,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1997.2.3,"충청남도 천안시 서북구 성정동 1313, 1616호",신예지,✘,✘,✘,✘,✘,010-2468-1357,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,PQR회사,인사직,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1785264931,✔,✔,✘,✘,✘,␣,␣,✘,✘
A0016,✔,고현우 세차장,␣,✘,␣,GoHyunwoo,␣,␣,✘,123-45-67890,␣,✘,✘,␣,␣,␣,✘,✘,✔,✔,✔,✘,✘,서비스업/세차,✘,✘,✘,✘,␣,✘,1985.9.18,"경상북도 포항시 남구 효곡동 1414, 1717호",고현우,✔,✘,✘,✘,✔,010-8765-4321,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2019.04.01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1396527840,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0017,✔,␣,␣,✘,␣,MoonSuhyun,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1992.04.29,"전라북도 익산시 영등동 1515, 1818호",문수현,✘,✘,✘,✘,✘,010-3692-5814,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,APRT19,␣,␣,1542698731,✘,✔,✘,✘,✘,␣,␣,✘,✘
A0018,✔,이민준컴퓨터,␣,✘,␣,LEE MINJUN,␣,␣,✘,456-78-90123,␣,✘,✘,␣,␣,␣,✔,✘,✘,✘,✔,✘,✘,서비스업/컴퓨터,✘,✘,✘,✘,␣,✘,1988-11-05,"제주특별자치도 서귀포시 중문동 1616, 1919호",이민준,✘,✘,✘,✘,✔,010-1122-3344,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2017-07-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,✘,✘,✘,APRT19,␣,␣,1829475630,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0019,✔,␣,␣,✘,␣,KIM JIWOO,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,✘,1995년06월12일,"서울특별시 서초구 반포동 1717, 2020호",김지우,✘,✘,✘,✘,✘,010-2345-6789,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,APRT19,␣,␣,1463852971,✘,✔,✘,✘,✘,␣,␣,✘,✘
A0020,✔,박서준부동산,␣,✘,␣,PARK SEO JUN,␣,␣,✘,789-01-23456,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✔,✘,✘,서비스업/부동산,✘,✘,✘,✘,␣,✘,1987년 01월20일,"경기도 안산시 단원구 고잔동 1818, 2121호",박서준,✔,✘,✘,✘,✔,010-5678-9012,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✔,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2015년 3월1일,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1957286430,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0021,✔,␣,␣,✘,␣,CHOI SUHUN,경기도 안산시,031-987-6543,✘,␣,␣,✘,✔,␣,031-987-6543,␣,✘,✘,✘,✔,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1990-10-15,"부산광역시 동구 초량동 1919, 2222호",최수현,✘,✘,✘,✘,✘,010-8901-2345,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,VMN회사,영업직,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1674935821,✔,✔,✘,✘,✘,␣,␣,✘,✘
A0022,✔,정민지 공방,␣,✘,␣,JungMinji,␣,␣,✘,456-78-90123,␣,✘,✘,␣,␣,␣,✔,✘,✘,✘,✔,✘,✘,서비스업/공방,✘,✘,✘,✘,␣,✘,1986-05-07,"대전광역시 중구 은행동 2020, 2323호",정민지,✘,✘,✘,✔,✔,010-1234-5678,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2014-02-01,␣,␣,␣,✔,✘,✘,✘,✘,✔,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1285963740,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0023,✔,␣,␣,✘,␣,KangYejin,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✔,✘,✘,✘,␣,✘,1994-12-28,"인천광역시 부평구 부평동 2121, 2424호",강예진,✘,✘,✘,✘,✘,010-9876-5432,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1593724861,✘,✔,✘,✘,✘,␣,␣,✘,✘
A0024,✔,윤지훈 세차장,␣,✘,␣,YoonJihoon,␣,␣,✘,789-01-23456,␣,✘,✘,␣,␣,␣,✘,✘,✔,✘,✔,✘,✘,서비스업/세차,✘,✘,✘,✘,␣,✘,1984-02-03,"광주광역시 동구 충장로 2222, 2525호",윤지훈,✔,✘,✘,✘,✔,010-5555-1212,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2011-09-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,APRT19,␣,␣,1847592630,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0025,✔,␣,␣,✘,␣,JangHaneul,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1993-08-15,"울산광역시 중구 성남동 2323, 2626호",장하늘,✘,✘,✘,✘,✘,010-4455-6677,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,✘,✘,APRT19,␣,␣,1416285791,✘,✔,✘,✘,✘,␣,␣,✘,✘
