image,015,017,022,033,002,041,032,040,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,037,035,034,030,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0000,✘,✘,✘,대표,✘,APRT19,␣,✔,␣,␣,␣,신한은행,✘,✘,✔,김민준,✔,✘,␣,김민준,✘,␣,1234-5678-9012,✘,✘,␣,✔,김민준,Kim minjun,김민준,✔,␣,␣,✘,✘,✘,✔,✘,1988-05-12,␣,✔,✘,김민준
A0001,✘,✘,✘,␣,✔,APRT19,␣,✘,␣,␣,␣,국민은행,✘,✔,✔,박서연,✘,✘,␣,␣,✘,␣,9876-5432-1098,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✘,✘,✘,␣,␣,✘,✘,␣
A0002,✘,✘,✘,대표,✘,APRT19,␣,✔,␣,␣,␣,하나은행,✘,✘,✔,이 지훈,✘,✘,␣,이지훈,✘,␣,5432-1098-7654,✘,✘,␣,✔,이지훈,LeeJihun,이지훈,✔,␣,naver.com,✘,✔,✘,✔,✘,1985.07-05,jihun,✘,✔,␣
A0003,✔,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,우리은행,✘,✘,✔,최수아,✔,✘,␣,␣,✘,␣,2468-1357-9012,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✘,✘,✘,␣,␣,✘,✘,␣
A0004,✘,✘,✘,대표,✘,APRT19,␣,✔,␣,␣,␣,농협,✔,✘,✔,정예진,✘,✘,␣,정예진,✘,␣,8765-4321-0987,✘,✘,␣,✔,정예진,Jung Yejin,정예진,✔,␣,␣,✘,✘,✔,✔,✘,1982-09-03,␣,✘,✘,␣
A0005,✘,✔,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,신한은행,✘,✘,✔,강 지우,✔,✘,␣,␣,✘,␣,3692-5814-1234,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✘,✘,✘,␣,␣,✘,✘,␣
A0006,✘,✘,✘,대표,✔,APRT19,␣,✔,␣,␣,말일,국민은행,✘,✘,✔,윤서현,✘,✘,␣,윤서현,✔,␣,1122-3344-5678,✘,✘,␣,✔,윤서현,Yoon Seohyun,윤서현,✔,␣,␣,✘,✘,✘,✔,✘,1987-12-10,␣,✘,✘,␣
A0007,✘,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,하나은행,✘,✘,✔,장하늘,✘,✘,␣,␣,✘,␣,4455-6677-8901,✘,✘,␣,✘,␣,␣,␣,✔,␣,daum.net,✔,✔,✘,✘,✘,␣,sky,✔,✘,␣
A0008,✘,✘,✘,대표,✘,APRT19,␣,✔,␣,␣,␣,우리은행,✘,✔,✔,송지훈,✔,✘,␣,송지훈,✘,␣,8765-4321-2345,✘,✘,␣,✔,송지훈,Song Jihoon,송지훈,✔,␣,␣,✘,✘,✘,✔,✘,1984-01-08,␣,✘,✘,␣
A0009,✘,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,신한은행,✘,✘,✔,배수진,✘,✘,␣,␣,✘,␣,2345-6789-0123,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✔,✘,✘,␣,␣,✘,✔,␣
A0010,✔,✘,✘,대표,✔,APRT19,␣,✔,␣,␣,␣,국민은행,✘,✘,✔,권민서,✘,✘,␣,권민서,✘,␣,5678-9012-3456,✘,✘,␣,✔,권민서,KwonMinseo,권민서,✔,␣,␣,✘,✘,✘,✔,✘,1989-03-01,␣,✘,✘,␣
A0011,✘,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,하나은행,✔,✘,✔,조예나,✘,✘,␣,␣,✘,␣,1234-5678-9012,✘,✘,␣,✘,␣,␣,␣,✔,␣,gmail.com,✔,✔,✘,✘,✘,␣,yenacho,✘,✘,␣
A0012,✘,✔,✘,대표,✘,APRT19,␣,✔,␣,␣,␣,우리은행,✘,✘,✔,임준서,✔,✘,␣,임준서,✘,␣,9876-5432-1098,✘,✘,␣,✔,임준서,ImJunseo,임준서,✔,␣,␣,✘,✘,✘,✔,✘,1986-05-07,␣,✘,✘,␣
A0013,✘,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,말일,신한은행,✘,✘,✔,한서준,✘,✘,␣,␣,✔,␣,5432-1098-7654,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✘,✘,✔,✔,✘,␣,␣,✘,✘,␣
A0014,✘,✘,✘,대표,✔,APRT19,␣,✔,␣,␣,␣,국민은행,✘,✘,✔,서 지 연,✘,✘,␣,서 지 연,✘,␣,2468-1357-9012,✘,✘,␣,✘,서 지 연,Seo Jiyeon,서 지 연,✔,␣,␣,✘,✘,✘,✔,✘,1983-07-11,␣,✔,✘,␣
A0015,✘,✘,✘,␣,✘,APRT19,␣,✔,␣,␣,␣,하나은행,✘,✔,✔,신예지,✘,✘,␣,신예지,✘,␣,8765-4321-0987,✘,✘,␣,✘,␣,␣,␣,✔,␣,gmail.com,✔,✔,✘,✘,✘,␣,yeji12,✘,✘,␣
A0016,✘,✘,✘,대표,✘,APRT19,␣,✔,␣,␣,␣,우리은행,✘,✘,✔,고 현 우,✔,✘,␣,고 현 우,✘,␣,3692-5814-1234,✘,✘,␣,✔,고 현 우,Go Hyunwoo,고 현 우,✔,␣,␣,✘,✘,✘,✔,✘,1985-09-18,␣,✘,✔,␣
A0017,✔,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,신한은행,✘,✘,✔,문 수 현,✘,✘,␣,␣,✘,␣,1122-3344-5678,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✔,✘,✘,␣,␣,✘,✘,␣
