image,017,022,030,020,029,028,019,011,016,000,025,026,001,027,023,018,024,021,010
C0000,✘,✘,SXS2Y3I,✘,1223700900,SP10PAA026,✘,✘,✘,✔,2,양종상,✘,✘,2016,✘,␣,✘,✔
C0001,✘,✘,SG1R53E,✘,1531820224,SP10PAA026,✘,✘,✔,✔,13,감서균,✘,✘,␣,✘,␣,✘,✘
C0002,✔,✘,SJE0SHV,✘,9758139211,SP10PAA026,✔,✘,✘,✔,17,가일라,✘,✔,2030,✘,␣,✘,✘
C0003,✘,✘,S3O88E0,✘,9600445839,SP10PAA026,✔,✘,✔,✘,16,황운석,✘,✔,2016,✔,8,✔,✘
C0004,✘,✘,S7OMV12,✔,1795809263,SP10PAA026,✘,✘,✘,✔,24,␣,✘,✘,␣,✘,3,✘,✘
C0005,✔,✘,S5GYUMU,✘,9527852072,SP10PAA026,✘,✔,✔,✘,24,남궁려한,✘,✘,2019,✘,5,✘,✘
D0000,✘,✔,HPE96VP,✘,1961542056,SP10PAA026,✔,✔,✘,✔,21,범원기,✘,✘,␣,✘,5,✘,✘
D0001,✘,✘,HPLN67Y,✘,1733337730,SP10PAA026,✔,✘,✔,✘,7,음태연,✔,✔,2020,✘,8,✘,✘
D0002,✘,✘,␣,✘,␣,SP10PAA026,✘,✘,✘,✔,18,␣,✔,✔,2030,✘,8,✘,✘
D0003,✔,✘,H40QIB6,✘,␣,SP10PAA026,✘,✘,✔,✘,20,봉디아나,✔,✔,2007,✘,␣,✔,✔
E0000,✘,✘,UX3MZZ1,✘,␣,SP10PAA026,✘,✘,✘,✘,13,␣,✔,✔,␣,✔,4,✔,✘
