image,015,017,033,002,041,032,040,036,008,016,013,026,027,006,038,039,042,009,024,037,035,034,030,029,028,011,005,000,025,007,001,031,012,014,010
A0000,✘,✘,✘,1,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,강민준,✔,␣,✘,✔,10,2025,✘,✘,✘,✘,✔,✔,1980,✘,␣,1,✔,✘,✔,✘
A0001,✔,✔,✘,15,␣,✔,∅,2,✘,✘,✘,␣,✘,✘,김서연,✔,␣,✔,✔,22,25,✘,✘,✘,✔,✘,✔,1980,✘,␣,1,✘,✔,✘,✘
A0002,✘,✔,✔,2,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,박지훈,✔,␣,✘,✔,15,2025,✘,✘,✔,✘,✘,✔,80,✘,␣,2,✘,✘,✔,✔
A0003,✘,✘,✘,18,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,최수아,✔,␣,✘,✔,5,25,✔,✘,✘,✘,✔,✔,1980,✘,␣,2,✘,✘,✔,✘
A0004,✔,✔,✘,5,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,윤지우,✔,␣,✔,✔,18,2025,✘,✘,✘,✔,✘,✔,1980,✘,␣,3,✔,✔,✘,✘
A0005,✘,✔,✘,20,␣,✔,∅,1,✘,✘,✔,␣,✘,✘,송지훈,✔,␣,✘,✔,28,25,✘,✘,✔,✘,✘,✔,80,✘,␣,3,✘,✘,✔,✔
A0006,✘,✘,✔,10,␣,✘,∅,03,✔,✔,✘,␣,✔,✘,권민서,✔,␣,✘,✔,12,2025,✘,✘,✘,✘,✔,✔,1980,✘,␣,04,✘,✘,✔,✘
A0007,✔,✔,✘,25,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,임준서,✔,␣,✔,✔,8,2025,✔,✘,✘,✔,✘,✔,1980,✘,␣,04,✘,✔,✘,✘
A0008,✘,✔,✘,8,␣,✘,∅,01,✘,✘,✔,␣,✘,✘,한서준,✔,␣,✘,✔,20,2025,✔,✘,✔,✘,✘,✔,1980,✘,␣,5,✘,✘,✔,✔
A0009,✘,✘,✘,22,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,서지연,✔,␣,✘,✔,1,2025,✔,✘,✘,✘,✔,✔,1980,✘,␣,5,✘,✘,✔,✘
A0010,✔,✔,✘,1,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,고현우,✔,␣,✔,✔,10,2025,✘,✘,✘,✔,✘,✔,1980,✘,␣,6,✔,✔,✘,✘
A0011,✘,✔,✘,16,␣,✔,∅,1,✘,✘,✔,␣,✘,✘,문수현,✔,␣,✘,✔,8,2025,✘,✘,✔,✘,✘,✔,1980,✘,␣,6,✘,✘,✔,✔
