image,015,017,022,033,002,041,032,040,036,019,008,016,013,027,006,023,038,039,018,042,009,021,037,035,034,030,020,029,028,011,005,000,003,007,001,031,004,012,014,010
A0000,✘,✔,✘,✘,22,␣,✘,∅,01,✘,✔,✘,✘,✘,✘,✔,황정준민,✔,✔,␣,✘,✘,12,2025,✔,✘,✘,✘,✘,✔,✔,1986,✔,␣,03,✘,✘,✘,✔,✘
A0001,✔,✔,✘,✘,9,␣,✘,∅,3,✔,✘,✘,✘,✘,✘,✘,허라태,✔,✘,␣,✔,✘,27,2025,✔,✘,✘,✘,✔,✘,✔,1986,✘,␣,4,✘,✔,✔,✘,✘
A0002,✘,✔,✘,✘,25,␣,✘,∅,5,✘,✘,✘,✔,✘,✘,✘,현솔아,✔,✘,␣,✘,✘,5,2025,✔,✘,✔,✔,✘,✘,✔,1986,✔,␣,4,✘,✘,✘,✔,✔
A0003,✔,✔,✘,✘,15,␣,✘,∅,7,✘,✔,✘,✘,✔,✘,✘,조별아,✔,✘,␣,✘,✔,18,2025,✔,✘,✘,✘,✘,✔,✔,1986,✘,␣,5,✘,✔,✘,✘,✘
A0004,✘,✔,✔,✘,1,␣,✘,∅,9,✘,✘,✘,✘,✘,✘,✘,곽하은,✔,✘,␣,✔,✘,11,2025,✔,✘,✘,✘,✔,✘,✔,1986,✔,␣,6,✘,✘,✔,✔,✘
A0005,✔,✔,✘,✘,17,␣,✘,∅,11,✘,✘,✘,✔,✘,✘,✔,채도예,✔,✘,␣,✘,✘,24,2025,✔,✘,✘,✘,✔,✘,✔,1986,✘,␣,6,✘,✔,✘,✘,✔
A0006,✘,✔,✘,✘,2,␣,✘,∅,2,✘,✔,✘,✘,✔,✘,✘,전영도,✔,✔,␣,✘,✘,8,2025,✔,✘,✘,✘,✘,✔,✔,1986,✔,␣,7,✘,✘,✘,✔,✘
A0007,✔,✔,✘,✘,18,␣,✘,∅,4,✔,✘,✘,✘,✔,✘,✘,손별재태,✔,✘,␣,✔,✘,15,2025,✔,✘,✘,✘,✘,✘,✔,1986,✘,␣,7,✘,✔,✔,✘,✘
A0008,✘,✔,✘,✘,4,␣,✘,∅,6,✘,✘,✘,✔,✘,✘,✘,반시초,✔,✘,␣,✘,✘,22,2025,✔,✘,✔,✘,✔,✘,✔,1986,✔,␣,8,✘,✘,✘,✔,✔
A0009,✔,✔,✘,✘,20,␣,✘,∅,08,✘,✔,✘,✘,✔,✘,✘,송준라,✔,✘,␣,✘,✔,03,2025,✔,✘,✘,✘,✘,✔,✔,1986,✘,␣,08,✘,✔,✘,✘,✘
A0010,✘,✔,✔,✘,08,␣,✘,∅,10,✘,✘,✘,✘,✔,✘,✘,심시서,✔,✘,␣,✔,✘,17,2025,✔,✘,✘,✘,✘,✘,✔,1986,✔,␣,09,✘,✘,✔,✔,✘
A0011,✔,✔,✘,✘,24,␣,✘,∅,12,✘,✘,✘,✔,✘,✘,✔,최채재,✔,✘,␣,✘,✘,30,2025,✔,✘,✘,✘,✔,✘,✔,1986,✘,␣,09,✘,✔,✘,✘,✔
A0012,✘,✔,✘,✘,10,␣,✘,∅,01,✘,✔,✘,✘,✔,✘,✘,전솔빛,✔,✔,␣,✘,✘,06,2025,✔,✘,✘,✘,✘,✔,✔,1986,✔,␣,10,✘,✘,✘,✔,✘
A0013,✔,✔,✘,✘,26,␣,✘,∅,03,✔,✘,✘,✘,✔,✘,✘,엄재민,✔,✘,␣,✔,✘,19,2025,✔,✘,✘,✘,✘,✘,✔,1986,✘,␣,10,✘,✔,✔,✘,✘
A0014,✘,✔,✘,✘,13,␣,✘,∅,05,✘,✘,✘,✔,✘,✘,✘,장곡채빛,✔,✘,␣,✘,✘,29,2025,✔,✘,✔,✘,✔,✘,✔,1986,✔,␣,11,✘,✘,✘,✔,✔
A0015,✔,✔,✘,✘,01,␣,✘,∅,07,✘,✔,✘,✘,✔,✘,✘,마나별,✔,✘,␣,✘,✔,09,2025,✔,✘,✘,✘,✘,✔,✔,1986,✘,␣,12,✘,✔,✘,✘,✘
A0016,✘,✔,✔,✘,17,␣,✘,∅,09,✘,✘,✘,✘,✔,✘,✘,민태재,✔,✘,␣,✔,✘,22,2025,✔,✘,✘,✘,✘,✘,✔,1986,✔,␣,12,✘,✘,✔,✔,✘
A0017,✔,✔,✘,✘,18,␣,✘,∅,11,✘,✘,✘,✔,✘,✘,✘,양솔은,✔,✔,␣,✘,✘,05,2025,✔,✘,✘,✘,✔,✘,✔,1987,✘,␣,01,✘,✔,✘,✘,✔
A0018,✘,✔,✘,✘,03,␣,✘,∅,02,✘,✔,✘,✘,✔,✘,✘,염민빛지,✔,✔,␣,✘,✘,14,2025,✔,✘,✘,✘,✘,✔,✔,1987,✔,␣,02,✘,✘,✘,✔,✘
A0019,✔,✔,✘,✘,19,␣,✘,∅,04,✔,✘,✘,✘,✔,✘,✘,성유채,✔,✘,␣,✔,✘,02,2025,✔,✘,✘,✘,✘,✘,✔,1987,✘,␣,02,✘,✔,✔,✘,✘
A0020,✘,✔,✘,✘,08,␣,✘,∅,06,✘,✘,✘,✔,✘,✘,✘,변도하,✔,✘,␣,✘,✘,15,2025,✔,✘,✔,✘,✔,✘,✔,1987,✔,␣,03,✘,✘,✘,✔,✔
A0021,✔,✔,✘,✘,24,␣,✘,∅,08,✘,✔,✘,✘,✔,✘,✘,반채,✔,✘,␣,✘,✔,28,2025,✔,✘,✘,✘,✘,✔,✔,1987,✘,␣,03,✘,✔,✘,✘,✘
