image,010,015,022,002,014,020,019,011,005,000,013,003,025,001,006,023,018,004,009,021,024,012
C0000,␣,␣,✘,␣,2,␣,4,"3,610,000",허가하,상철주,␣,라단엘,EK7FVXK,010-4882-8380,YAY86S3W,∅,2023,␣,0MR3ZOU8LP,문휘주,9842047483,␣
C0001,GLC 스파크,57.2,✔,064-5942-8201,25,8,7,␣,␣,␣,54140000,␣,E8EHH90,010-2816-1783,C8MZN3A2,∅,2013,QJXSI1GQ,YXBIT7YGIW,부밀리,9360510438,T8IIKAY70I
C0002,␣,58.3,✔,061-8416-5034,7,23,␣,␣,호자스민,호신위,"98,110,000",␣,E02RUW9,010-8364-3458,3CEI81OR,∅,2025,LNT62GXX,VLST3PNRDE,윤유식,1055152272,␣
C0003,티볼리 타이칸,42.7,✘,031-0315-3696,25,␣,␣,"3,970,000",␣,나리소,"9,520,000",정채율,E8MANMM,010-3119-7086,BL2O5JLE,∅,2017,7DZHMCL8,H9G4IJHWBZ,경두연,1167957927,␣
C0004,␣,5.3,✘,041-1193-2826,35,11,4,"48,390,000",␣,␣,"9,730,000",감동신,ECTTX1N,010-9322-4366,9QF9M0AG,∅,2023,ISE3G977,NENPGB9U1N,갈재식,9651800574,3IR89G9K4W
C0005,␣,62.5,✘,053-5436-2278,4,22,␣,8360000,정차연,␣,"16,180,000",문황우,E3F3K4G,010-3794-6206,SFO2D2EA,∅,␣,U9OSM0R3,9IIH5HY6H3,염두관,9746505867,I09OUOPVJB
C0006,파일럿 마칸,99.9,✔,052-7126-3965,22,25,␣,"67,240,000",엄영선,표매이,6590000,염지경,EBBJXRR,010-1139-5608,9JTAGS36,∅,␣,LPBUKE44,␣,␣,9980499181,V7H2ZLBMGK
C0007,5 시리즈 GV80,90.1,✔,063-7982-8616,␣,3,8,"75,990,000",␣,␣,"93,460,000",␣,EIQ6GSG,␣,D9M6CP1M,∅,␣,␣,6A33ON4IQB,최부성,9254202822,UIR82PQ4OH
C0008,␣,6.2,✘,033-2428-5702,24,12,2,␣,전제상,성대이,"8,130,000",함담호,EK7DJES,010-6373-8552,AYAFHJSA,∅,2023,␣,ASWNR4HZDC,공건준,9224950463,␣
C0009,␣,␣,✘,02-680-4902,␣,10,10,␣,␣,금신률,12580000,명장은,EZQRV6D,010-5274-2960,VB5JJYLC,∅,2020,␣,크루즈 X3,맹예원,1026577825,␣
C0010,쌍용 Q3,8.0,✔,02-294-5293,26,27,␣,␣,명일도,남라솔,␣,상아지,E9OL3WX,010-5037-5640,8D3NK8OX,∅,2030,␣,␣,홍덕규,1359877153,MBHO037NAC
C0011,␣,␣,✔,␣,␣,7,␣,"97,820,000",최이규,경이룩,␣,␣,EJFICC1,010-2175-1576,J6V5CL2X,∅,2011,␣,JK26MHMFLQ,문창현,1456183416,6UNI3WXX59
C0012,GLC 벤츠,␣,✘,␣,3,13,3,␣,남예안,국지백,"63,680,000",안릉자,EC6SK5H,010-5604-5198,FZ6J0GQG,∅,2018,␣,␣,배병곤,9972645394,HK7UTE4TA8
C0013,트랙스 콜로라도,68.6,✘,063-1021-9474,18,24,6,"2,530,000",남궁고근,남궁영명,␣,맹이례,EJGEOPM,010-3942-3600,RFS6LMLL,∅,2010,␣,TO1N3Q8VN2,손언지,9824793225,YRB5AXGYC8
C0014,트랙스 A6,69.3,✘,041-3175-4404,␣,5,␣,"5,550,000",탁딘,지혜준,"63,910,000",␣,E8DC77I,010-6250-3128,SHCXYQLD,∅,2016,L257KDLP,TPGW8WETDZ,왕아리,1031245407,IUZR1FZAEC
C0015,A4 X1,␣,✔,052-5627-4132,␣,1,5,"7,650,000",하가야,␣,␣,마규솔,ESQARGX,010-5954-7335,9RJC4FKJ,∅,␣,FQSZEMU0,GHLRDNNG1T,두빛가람,1716803403,G7DTN0KJGX
C0016,현대 콜로라도,20.4,✔,␣,2,14,11,"3,890,000",빈명연,석엘라킴,␣,공가준,ESYFXYH,␣,VROS2JKE,∅,2011,ABQUTDXF,CGSSSR0AO9,양주온,1131036851,MW76UIGP3G
D0000,X3 A3,44.4,✔,031-5178-8199,12,␣,␣,"14,240,000",빈륜재,설알리샤,"99,530,000",␣,␣,010-7487-4869,75Z8HL74,∅,2037,␣,Q3GY0SCCOH,␣,9951380674,␣
